user_id,event,event_time
U000,enter,2026-08-01 10:00:00
U000,click,2026-08-01 11:00:00
U000,claim,2026-08-01 12:00:00
U001,enter,2026-08-01 10:00:00
U001,click,2026-08-01 11:00:00
U001,claim,2026-08-01 12:00:00
U002,enter,2026-08-01 10:00:00
U002,click,2026-08-01 11:00:00
U002,claim,2026-08-01 12:00:00
U003,enter,2026-08-01 10:00:00
U003,click,2026-08-01 11:00:00
U003,claim,2026-08-01 12:00:00
U004,enter,2026-08-01 10:00:00
U004,click,2026-08-01 11:00:00
U004,claim,2026-08-01 12:00:00
U005,enter,2026-08-01 10:00:00
U005,click,2026-08-01 11:00:00
U005,claim,2026-08-01 12:00:00
U006,enter,2026-08-01 10:00:00
U006,click,2026-08-01 11:00:00
U006,claim,2026-08-01 12:00:00
U007,enter,2026-08-01 10:00:00
U007,click,2026-08-01 11:00:00
U007,claim,2026-08-01 12:00:00
U008,enter,2026-08-01 10:00:00
U008,click,2026-08-01 11:00:00
U008,claim,2026-08-01 12:00:00
U009,enter,2026-08-01 10:00:00
U009,click,2026-08-01 11:00:00
U009,claim,2026-08-01 12:00:00
U010,enter,2026-08-01 10:00:00
U010,click,2026-08-01 11:00:00
U010,claim,2026-08-01 12:00:00
U011,enter,2026-08-01 10:00:00
U011,click,2026-08-01 11:00:00
U011,claim,2026-08-01 12:00:00
U012,enter,2026-08-01 10:00:00
U012,click,2026-08-01 11:00:00
U012,claim,2026-08-01 12:00:00
U013,enter,2026-08-01 10:00:00
U013,click,2026-08-01 11:00:00
U013,claim,2026-08-01 12:00:00
U014,enter,2026-08-01 10:00:00
U014,click,2026-08-01 11:00:00
U014,claim,2026-08-01 12:00:00
U015,enter,2026-08-01 10:00:00
U015,click,2026-08-01 11:00:00
U015,claim,2026-08-01 12:00:00
U016,enter,2026-08-01 10:00:00
U016,click,2026-08-01 11:00:00
U016,claim,2026-08-01 12:00:00
U017,enter,2026-08-01 10:00:00
U017,click,2026-08-01 11:00:00
U017,claim,2026-08-01 12:00:00
U018,enter,2026-08-01 10:00:00
U018,click,2026-08-01 11:00:00
U018,claim,2026-08-01 12:00:00
U019,enter,2026-08-01 10:00:00
U019,click,2026-08-01 11:00:00
U019,claim,2026-08-01 12:00:00
U020,enter,2026-08-01 10:00:00
U020,click,2026-08-01 11:00:00
U020,claim,2026-08-01 12:00:00
U021,enter,2026-08-01 10:00:00
U021,click,2026-08-01 11:00:00
U021,claim,2026-08-01 12:00:00
U022,enter,2026-08-01 10:00:00
U022,click,2026-08-01 11:00:00
U022,claim,2026-08-01 12:00:00
U023,enter,2026-08-01 10:00:00
U023,click,2026-08-01 11:00:00
U023,claim,2026-08-01 12:00:00
U024,enter,2026-08-01 10:00:00
U024,click,2026-08-01 11:00:00
U024,claim,2026-08-01 12:00:00
U025,enter,2026-08-01 10:00:00
U025,click,2026-08-01 11:00:00
U025,claim,2026-08-01 12:00:00
U026,enter,2026-08-01 10:00:00
U026,click,2026-08-01 11:00:00
U026,claim,2026-08-01 12:00:00
U027,enter,2026-08-01 10:00:00
U027,click,2026-08-01 11:00:00
U027,claim,2026-08-01 12:00:00
U028,enter,2026-08-01 10:00:00
U028,click,2026-08-01 11:00:00
U028,claim,2026-08-01 12:00:00
U029,enter,2026-08-01 10:00:00
U029,click,2026-08-01 11:00:00
U029,claim,2026-08-01 12:00:00
U030,enter,2026-08-01 10:00:00
U030,click,2026-08-01 11:00:00
U030,claim,2026-08-01 12:00:00
U031,enter,2026-08-01 10:00:00
U031,click,2026-08-01 11:00:00
U031,claim,2026-08-01 12:00:00
U032,enter,2026-08-01 10:00:00
U032,click,2026-08-01 11:00:00
U032,claim,2026-08-01 12:00:00
U033,enter,2026-08-01 10:00:00
U033,click,2026-08-01 11:00:00
U033,claim,2026-08-01 12:00:00
U034,enter,2026-08-01 10:00:00
U034,click,2026-08-01 11:00:00
U034,claim,2026-08-01 12:00:00
U035,enter,2026-08-01 10:00:00
U035,click,2026-08-01 11:00:00
U035,claim,2026-08-01 12:00:00
U036,enter,2026-08-01 10:00:00
U036,click,2026-08-01 11:00:00
U036,claim,2026-08-01 12:00:00
U037,enter,2026-08-01 10:00:00
U037,click,2026-08-01 11:00:00
U037,claim,2026-08-01 12:00:00
U038,enter,2026-08-01 10:00:00
U038,click,2026-08-01 11:00:00
U038,claim,2026-08-01 12:00:00
U039,enter,2026-08-01 10:00:00
U039,click,2026-08-01 11:00:00
U039,claim,2026-08-01 12:00:00
U040,enter,2026-08-01 10:00:00
U040,click,2026-08-01 11:00:00
U040,claim,2026-08-02 11:00:00
U041,enter,2026-08-01 10:00:00
U041,click,2026-08-01 11:00:00
U041,claim,2026-08-02 11:00:00
U042,enter,2026-08-01 10:00:00
U042,click,2026-08-01 11:00:00
U042,claim,2026-08-02 11:00:00
U043,enter,2026-08-01 10:00:00
U043,click,2026-08-01 11:00:00
U043,claim,2026-08-02 11:00:00
U044,enter,2026-08-01 10:00:00
U044,click,2026-08-01 11:00:00
U044,claim,2026-08-02 11:00:00
U045,enter,2026-08-01 10:00:00
U045,click,2026-08-01 11:00:00
U045,claim,2026-08-02 11:00:00
U046,enter,2026-08-01 10:00:00
U046,click,2026-08-01 11:00:00
U046,claim,2026-08-02 11:00:00
U047,enter,2026-08-01 10:00:00
U047,click,2026-08-01 11:00:00
U047,claim,2026-08-02 11:00:00
U048,enter,2026-08-01 10:00:00
U048,click,2026-08-01 11:00:00
U048,claim,2026-08-02 11:00:00
U049,enter,2026-08-01 10:00:00
U049,click,2026-08-01 11:00:00
U049,claim,2026-08-02 11:00:00
U050,enter,2026-08-01 10:00:00
U050,click,2026-08-01 11:00:00
U051,enter,2026-08-01 10:00:00
U051,click,2026-08-01 11:00:00
U052,enter,2026-08-01 10:00:00
U052,click,2026-08-01 11:00:00
U053,enter,2026-08-01 10:00:00
U053,click,2026-08-01 11:00:00
U054,enter,2026-08-01 10:00:00
U054,click,2026-08-01 11:00:00
U055,enter,2026-08-01 10:00:00
U055,click,2026-08-01 11:00:00
U056,enter,2026-08-01 10:00:00
U056,click,2026-08-01 11:00:00
U057,enter,2026-08-01 10:00:00
U057,click,2026-08-01 11:00:00
U058,enter,2026-08-01 10:00:00
U058,click,2026-08-01 11:00:00
U059,enter,2026-08-01 10:00:00
U059,click,2026-08-01 11:00:00
U060,enter,2026-08-01 10:00:00
U060,click,2026-08-01 11:00:00
U061,enter,2026-08-01 10:00:00
U061,click,2026-08-01 11:00:00
U062,enter,2026-08-01 10:00:00
