user_id,pay_date,amount_cent
A000,2026-08-01,1000
A001,2026-08-01,1000
A002,2026-08-01,1000
A003,2026-08-01,1000
A004,2026-08-01,1000
A005,2026-08-01,1000
A006,2026-08-01,1000
A007,2026-08-01,1000
A008,2026-08-01,1000
A009,2026-08-01,1000
A010,2026-08-01,1000
A011,2026-08-01,1000
A012,2026-08-01,1000
A013,2026-08-01,1000
A014,2026-08-01,1000
A015,2026-08-01,1000
A016,2026-08-01,1000
A017,2026-08-01,1000
A018,2026-08-01,1000
A019,2026-08-01,1000
A000,2026-08-02,500
A001,2026-08-02,500
A002,2026-08-02,500
A003,2026-08-02,500
A004,2026-08-02,500
A005,2026-08-02,500
A006,2026-08-02,500
A007,2026-08-02,500
A008,2026-08-02,500
A009,2026-08-02,500
A010,2026-08-02,500
A011,2026-08-02,500
A012,2026-08-02,500
A013,2026-08-02,500
A014,2026-08-02,500
A015,2026-08-02,500
A016,2026-08-02,500
A017,2026-08-02,500
A018,2026-08-02,500
A019,2026-08-02,500
A000,2026-08-03,500
A001,2026-08-03,500
A002,2026-08-03,500
A003,2026-08-03,500
A004,2026-08-03,500
A005,2026-08-03,500
A006,2026-08-03,500
A007,2026-08-03,500
A008,2026-08-03,500
A009,2026-08-03,500
A010,2026-08-03,500
A011,2026-08-03,500
A012,2026-08-03,500
A013,2026-08-03,500
A014,2026-08-03,500
A015,2026-08-03,500
A016,2026-08-03,500
A017,2026-08-03,500
A018,2026-08-03,500
A019,2026-08-03,500
A000,2026-08-04,400
A001,2026-08-04,400
A002,2026-08-04,400
A003,2026-08-04,400
A004,2026-08-04,400
A005,2026-08-04,400
A006,2026-08-04,400
A007,2026-08-04,400
A008,2026-08-04,400
A009,2026-08-04,400
A010,2026-08-04,400
A011,2026-08-04,400
A012,2026-08-04,400
A013,2026-08-04,400
A014,2026-08-04,400
A015,2026-08-04,400
A016,2026-08-04,400
A017,2026-08-04,400
A018,2026-08-04,400
A019,2026-08-04,400
A000,2026-08-05,350
A001,2026-08-05,350
A002,2026-08-05,350
A003,2026-08-05,350
A004,2026-08-05,350
A005,2026-08-05,350
A006,2026-08-05,350
A007,2026-08-05,350
A008,2026-08-05,350
A009,2026-08-05,350
A010,2026-08-05,350
A011,2026-08-05,350
A012,2026-08-05,350
A013,2026-08-05,350
A014,2026-08-05,350
A015,2026-08-05,350
A016,2026-08-05,350
A017,2026-08-05,350
A018,2026-08-05,350
A019,2026-08-05,350
A000,2026-08-06,300
A001,2026-08-06,300
A002,2026-08-06,300
A003,2026-08-06,300
A004,2026-08-06,300
A005,2026-08-06,300
A006,2026-08-06,300
A007,2026-08-06,300
A008,2026-08-06,300
A009,2026-08-06,300
A010,2026-08-06,300
A011,2026-08-06,300
A012,2026-08-06,300
A013,2026-08-06,300
