user_id,cohort,signup_date
A000,A,2026-08-01
A001,A,2026-08-01
A002,A,2026-08-01
A003,A,2026-08-01
A004,A,2026-08-01
A005,A,2026-08-01
A006,A,2026-08-01
A007,A,2026-08-01
A008,A,2026-08-01
A009,A,2026-08-01
A010,A,2026-08-01
A011,A,2026-08-01
A012,A,2026-08-01
A013,A,2026-08-01
A014,A,2026-08-01
A015,A,2026-08-01
A016,A,2026-08-01
A017,A,2026-08-01
A018,A,2026-08-01
A019,A,2026-08-01
A020,A,2026-08-01
A021,A,2026-08-01
A022,A,2026-08-01
A023,A,2026-08-01
A024,A,2026-08-01
A025,A,2026-08-01
A026,A,2026-08-01
A027,A,2026-08-01
A028,A,2026-08-01
A029,A,2026-08-01
A030,A,2026-08-01
A031,A,2026-08-01
A032,A,2026-08-01
A033,A,2026-08-01
A034,A,2026-08-01
A035,A,2026-08-01
A036,A,2026-08-01
A037,A,2026-08-01
A038,A,2026-08-01
A039,A,2026-08-01
A040,A,2026-08-01
A041,A,2026-08-01
A042,A,2026-08-01
A043,A,2026-08-01
A044,A,2026-08-01
A045,A,2026-08-01
A046,A,2026-08-01
A047,A,2026-08-01
A048,A,2026-08-01
A049,A,2026-08-01
A050,A,2026-08-01
A051,A,2026-08-01
A052,A,2026-08-01
A053,A,2026-08-01
A054,A,2026-08-01
A055,A,2026-08-01
A056,A,2026-08-01
A057,A,2026-08-01
A058,A,2026-08-01
A059,A,2026-08-01
A060,A,2026-08-01
A061,A,2026-08-01
A062,A,2026-08-01
A063,A,2026-08-01
A064,A,2026-08-01
A065,A,2026-08-01
A066,A,2026-08-01
A067,A,2026-08-01
A068,A,2026-08-01
A069,A,2026-08-01
A070,A,2026-08-01
A071,A,2026-08-01
A072,A,2026-08-01
A073,A,2026-08-01
A074,A,2026-08-01
A075,A,2026-08-01
A076,A,2026-08-01
A077,A,2026-08-01
A078,A,2026-08-01
A079,A,2026-08-01
A080,A,2026-08-01
A081,A,2026-08-01
A082,A,2026-08-01
A083,A,2026-08-01
A084,A,2026-08-01
A085,A,2026-08-01
A086,A,2026-08-01
A087,A,2026-08-01
A088,A,2026-08-01
A089,A,2026-08-01
A090,A,2026-08-01
A091,A,2026-08-01
A092,A,2026-08-01
A093,A,2026-08-01
A094,A,2026-08-01
A095,A,2026-08-01
A096,A,2026-08-01
A097,A,2026-08-01
A098,A,2026-08-01
A099,A,2026-08-01
B000,B,2026-08-07
B001,B,2026-08-07
B002,B,2026-08-07
B003,B,2026-08-07
B004,B,2026-08-07
B005,B,2026-08-07
B006,B,2026-08-07
B007,B,2026-08-07
B008,B,2026-08-07
B009,B,2026-08-07
B010,B,2026-08-07
B011,B,2026-08-07
B012,B,2026-08-07
B013,B,2026-08-07
B014,B,2026-08-07
B015,B,2026-08-07
B016,B,2026-08-07
B017,B,2026-08-07
B018,B,2026-08-07
B019,B,2026-08-07
B020,B,2026-08-07
B021,B,2026-08-07
B022,B,2026-08-07
B023,B,2026-08-07
B024,B,2026-08-07
B025,B,2026-08-07
B026,B,2026-08-07
B027,B,2026-08-07
B028,B,2026-08-07
B029,B,2026-08-07
B030,B,2026-08-07
B031,B,2026-08-07
B032,B,2026-08-07
B033,B,2026-08-07
B034,B,2026-08-07
B035,B,2026-08-07
B036,B,2026-08-07
B037,B,2026-08-07
B038,B,2026-08-07
B039,B,2026-08-07
B040,B,2026-08-07
B041,B,2026-08-07
B042,B,2026-08-07
B043,B,2026-08-07
B044,B,2026-08-07
B045,B,2026-08-07
B046,B,2026-08-07
B047,B,2026-08-07
B048,B,2026-08-07
B049,B,2026-08-07
B050,B,2026-08-07
B051,B,2026-08-07
B052,B,2026-08-07
B053,B,2026-08-07
B054,B,2026-08-07
B055,B,2026-08-07
B056,B,2026-08-07
B057,B,2026-08-07
B058,B,2026-08-07
B059,B,2026-08-07
B060,B,2026-08-07
B061,B,2026-08-07
B062,B,2026-08-07
B063,B,2026-08-07
B064,B,2026-08-07
B065,B,2026-08-07
B066,B,2026-08-07
B067,B,2026-08-07
B068,B,2026-08-07
B069,B,2026-08-07
B070,B,2026-08-07
B071,B,2026-08-07
B072,B,2026-08-07
B073,B,2026-08-07
B074,B,2026-08-07
B075,B,2026-08-07
B076,B,2026-08-07
B077,B,2026-08-07
B078,B,2026-08-07
B079,B,2026-08-07
B080,B,2026-08-07
B081,B,2026-08-07
B082,B,2026-08-07
B083,B,2026-08-07
B084,B,2026-08-07
B085,B,2026-08-07
B086,B,2026-08-07
B087,B,2026-08-07
B088,B,2026-08-07
B089,B,2026-08-07
B090,B,2026-08-07
B091,B,2026-08-07
B092,B,2026-08-07
B093,B,2026-08-07
B094,B,2026-08-07
B095,B,2026-08-07
B096,B,2026-08-07
B097,B,2026-08-07
B098,B,2026-08-07
B099,B,2026-08-07
