预算,订单,客户数,分组
11.49234353783542,122.0,139,0
99.21141723049111,503.0,196,1
26.27407796829502,152.0,127,2
82.57161992348206,396.0,96,0
66.93893209026952,352.0,73,1
60.38041473220061,320.0,45,2
38.12133145680272,198.0,54,0
65.50825067803228,303.0,124,1
11.22736254980962,153.0,180,2
80.63533911676521,356.0,51,0
61.67847287662242,350.0,81,1
45.212729509836464,223.0,93,2
54.11986917547157,279.0,160,0
30.73420726231797,185.0,82,1
45.4972586253785,281.0,65,2
72.57685495852523,281.0,81,0
13.974756775803598,95.0,164,1
61.52871515854535,231.0,42,2
58.49110194127565,224.0,159,0
10.676058612768221,72.0,175,1
18.663087184866896,96.0,114,2
70.04046096924515,407.0,30,0
30.794119786922504,198.0,167,1
38.094843556219324,176.0,53,2
63.737271090816876,264.0,155,0
10.066677611205899,45.0,67,1
38.998311797981266,104.0,163,2
45.56145277398309,230.0,194,0
50.35080800165079,253.0,136,1
13.368127329240064,108.0,150,2
56.464800345963404,204.0,128,0
91.01073029344789,397.0,40,1
20.12683545669139,89.0,58,2
59.227203116157355,224.0,170,0
88.5658973410791,397.0,116,1
11.713742427691725,146.0,146,2
62.097329770689186,313.0,199,0
59.33043745147585,237.0,195,1
50.13138062743933,269.0,131,2
20.309517018171505,176.0,80,0
38.5669343897544,239.0,49,1
82.19091518803498,375.0,190,2
32.742410846978146,138.0,195,0
65.37191149518898,199.0,66,1
63.84266407439205,272.0,77,2
82.29762049529299,389.0,101,0
50.16517705357291,118.0,162,1
38.620480972977305,240.0,43,2
19.281070864525837,196.0,139,0
11.650672276162227,114.0,97,1
76.06251578594474,289.0,176,2
26.62609299663402,2.0,68,0
23.113521912225732,47.0,62,1
98.92875490500809,440.0,147,2
25.797686317846356,171.0,195,0
96.40391607253926,416.0,197,1
22.218375108055962,97.0,179,2
48.55234072813899,234.0,97,0
12.843676127155003,73.0,197,1
91.67094791786273,390.0,141,2
83.16737783820922,368.0,55,0
57.41926180023657,400.0,62,1
10.426460286393793,158.0,134,2
92.7861188305879,429.0,124,0
75.02427157638454,314.0,81,1
59.48420852265324,248.0,188,2
57.895896317816316,242.0,154,0
14.868428733492156,28.0,165,1
55.425144513301674,256.0,196,2
46.4383415631241,164.0,183,0
74.1132623216457,285.0,159,1
61.09263895581347,240.0,85,2
90.30106367345759,405.0,154,0
23.621759586995616,55.0,65,1
10.410761262290153,123.0,94,2
10.677206188869576,28.0,113,0
80.20397866238943,350.0,30,1
51.31122029716657,219.0,186,2
96.92768571114945,375.0,86,0
51.649153317752656,245.0,168,1
69.11338126328332,294.0,59,2
12.862289890110631,115.0,126,0
19.19875565623874,76.0,51,1
33.34405211700032,160.0,60,2
34.405590053517436,172.0,163,0
67.12728200209881,266.0,198,1
41.5680893808442,157.0,141,2
49.22018281144963,238.0,180,0
62.22459429743724,282.0,163,1
39.14919361909906,173.0,181,2
21.787880448315416,91.0,88,0
42.07250972452862,228.0,118,1
13.648599976791367,51.0,137,2
90.86421582464584,403.0,105,0
79.96285024785398,330.0,78,1
97.32003847071311,350.0,176,2
26.30711782094984,123.0,101,0
41.9603415074762,217.0,54,1
98.04741419478543,442.0,39,2
15.66418119497427,106.0,118,0
91.83599605904996,405.0,138,1
85.55317090937126,419.0,118,2
62.638690786769544,303.0,69,0
98.76264338917798,421.0,67,1
16.65512324323505,50.0,139,2
37.05142405867285,128.0,125,0
76.34248369077257,322.0,89,1
66.50826577100781,264.0,32,2
32.19191223574471,146.0,38,0
27.567217029588047,131.0,38,1
79.11865720891511,382.0,137,2
85.1992819995612,406.0,34,0
11.598111470748659,24.0,132,1
71.50084915012971,274.0,140,2
73.56997021084588,257.0,83,0
65.71114664417073,279.0,103,1
11.71826723919244,73.0,82,2
72.93315175889403,314.0,160,0
80.66488409198193,422.0,98,1
41.13070553625097,228.0,89,2
39.09396311083245,182.0,69,0
58.59175040431537,293.0,76,1
43.872704283631805,226.0,48,2
51.878844086367344,219.0,97,0
98.56141693272082,357.0,83,1
45.53981876089341,204.0,178,2
29.724806505827342,231.0,134,0
83.17330996840168,403.0,167,1
98.89996351052962,429.0,162,2
81.90593459028173,373.0,103,0
87.45134373550869,301.0,57,1
42.71901731934228,214.0,132,2
32.79186928716966,93.0,179,0
62.05608225078825,196.0,191,1
16.698923540692867,110.0,59,2
72.4294097448319,378.0,37,0
77.52490099323347,399.0,110,1
25.808920314322613,175.0,69,2
41.43159797585753,244.0,101,0
91.11821444066476,322.0,85,1
