请求数,耗时
23.5309093,85.9360558
25.4739004,109.842241
22.1440324,96.8545414
62.1151107,191.986234
33.4620894,139.40914
18.1820266,82.899975
60.4240403,177.042531
23.5212375,99.7170332
42.7336278,157.216609
73.2828612,201.250486
71.6360421,233.402499
41.9467941,160.217274
24.6903868,90.5940912
29.7716234,99.6217661
37.924556,126.6357
52.2213184,154.990849
52.2019547,166.096415
30.2388197,101.781543
6.80182856,48.460005
40.0928053,152.648123
6.59021938,50.6554352
20.4515795,102.845475
33.866058,127.738506
19.462484,80.5947181
30.2789513,96.608514
25.872237,112.047917
35.0070867,114.630603
51.2709021,184.876746
37.1377269,124.377926
12.2196247,65.272114
25.4611304,114.847309
12.6032961,59.2149954
47.6877194,166.280934
19.7258997,84.6720558
48.994616,168.875134
56.5080177,165.136299
16.6768875,86.5746194
45.0388954,159.009967
10.8749886,103.584697
15.8802025,85.1317288
48.774938,150.53429
22.0778959,103.863937
37.2247341,129.561121
14.9737287,70.3424597
18.958313,104.073153
10.9993499,91.2522821
32.0765777,114.484878
123.99378,313.840461
6.16450825,72.7690237
120.471806,297.661711
15.9968577,108.589326
38.9892237,138.782774
22.985187,94.8554244
32.2084825,110.156429
38.0828382,138.263053
60.4777907,166.920752
10.1256294,74.3680274
10.7655991,60.4251675
96.906124,274.134891
34.4853475,121.833426
50.8485609,139.452103
41.4398332,151.580981
39.4062896,149.469351
33.5786192,143.813775
35.9309166,131.592828
9.24885854,62.5306377
20.9863551,83.6623641
34.001825,113.079046
112.581094,293.518298
13.7451706,73.369198
11.3776364,67.6936597
33.2027035,116.842335
61.4270569,177.121983
19.7245833,88.0684159
40.4234271,126.287655
47.0148151,134.541361
36.8772104,109.845308
34.9716044,113.79163
27.2231062,97.7000715
75.3059452,190.793638
33.9554595,111.85619
35.2632502,112.755793
20.5186464,108.844156
42.1953472,146.322012
21.7103973,79.4826647
44.7137495,136.495149
57.7936291,156.884358
45.7974481,163.924673
15.6867647,67.1014405
32.8263585,117.468031
39.8882725,151.366494
20.9972996,103.780376
43.9190293,141.259287
32.3275193,118.012451
16.763141,67.7591308
33.4424218,126.881606
24.7073744,93.3348303
38.1953538,123.978289
33.2546501,112.296954
32.6550354,122.250856
23.667409,115.098646
70.971388,189.84793
67.7393843,218.761866
55.3385044,150.646386
21.7529283,100.076305
20.7608162,86.3274889
22.7004943,129.694269
6.13250608,142.784327
26.8167152,94.376111
47.088441,140.50942
50.3958464,165.333851
33.8085999,122.183201
31.9944905,105.285498
8.83578401,70.0985064
46.6614381,150.189541
27.1817756,136.833147
17.67684,116.267562
34.7145656,140.949565
71.2582767,201.522718
19.9770529,78.8714507
22.3645276,91.0727372
23.8257032,104.518927
41.9829923,126.01063
28.8724644,128.095397
21.2284574,78.25641
24.8139073,82.4812338
54.3415244,154.978566
52.4360415,157.950348
75.3948986,221.701924
37.7615941,114.436243
27.4473487,130.986782
10.8912087,85.608239
24.2563355,88.4064874
45.209171,127.777083
28.9180198,94.8531513
31.2272207,144.885122
37.5264989,123.976684
22.4020088,80.9020471
56.4422185,173.235747
70.8835783,195.559804
10.6174064,61.460256
53.3915883,156.88899
73.9845942,201.58091
23.6130049,118.259808
13.5222954,90.6357306
22.2586795,81.1358469
71.3286498,183.696526
34.2468183,127.494606
51.1623693,149.620308
6.81527072,91.6380877
94.5173312,254.925023
34.7932747,114.263653
67.1550291,212.757629
27.9720217,103.322636
82.70443,234.725458
16.9154194,73.4414612
73.8396294,195.668881
8.08289546,64.0222493
26.9467351,107.154824
31.2688759,106.295231
34.4050636,120.564862
36.0174154,110.349916
13.2334325,101.504568
11.6028629,153.769218
8.4446503,60.0405068
21.6904732,95.2332991
45.7968657,133.895567
22.5328982,116.165372
24.3360695,94.4359105
8.54023944,84.3059207
66.6252082,190.656524
24.1691731,122.258202
58.6089905,172.632734
58.7978816,183.100002
43.1776518,130.043146
27.9613546,88.8193165
40.5833385,144.824608
33.9762859,131.614955
16.7014844,92.5201715
18.4108383,82.5378436
19.4184862,87.1137572
20.8607194,75.2816911
57.5940252,181.291227
50.2075087,162.186381
26.3437932,119.46642
56.9458181,152.659455
51.3794645,148.096202
55.4038963,234.347214
31.669348,126.244036
6.55919613,79.243937
38.5462218,146.575421
29.1399519,124.401764
17.7446921,77.2259039
41.7060829,149.745922
33.0229475,135.842908
54.7697989,152.951797
44.0543854,129.070461
105.905759,263.972229
41.8135376,139.025397
54.5206539,199.285367
33.6032125,119.499041
15.2213078,76.7299858
20.4044194,122.308617
13.8334048,86.7928182
27.4588528,119.464471
46.8958501,137.405799
59.3086371,159.99266
60.655181,172.400613
4.70344965,56.1087892
28.287965,94.2456017
116.461368,311.014285
46.3064707,136.48793
28.1112619,109.983815
8.39937402,63.0096806
7.91950027,83.570084
18.59035,77.2763837
13.890483,92.3966941
49.4604726,145.67899
48.3916348,146.782833
17.6273768,112.345393
36.7170767,116.248456
41.1439208,121.093391
33.1566422,124.991687
39.5009272,145.386563
36.5434949,109.90032
25.2222476,103.85777
16.0109001,93.0921795
20.956437,103.242985
15.3762231,74.1696917
40.43623,124.471098
49.5818265,148.92107
51.3536,183.812167
62.5543054,187.29953
16.2499055,98.7946467
7.87568932,62.0094207
36.0619012,110.774156
16.7074644,111.746524
72.1028623,204.94729
6.40788889,51.7965536
28.851336,108.86511
57.9524995,161.034535
14.1477208,96.4132751
47.3485279,167.08691
11.1382392,77.9490939
20.622247,99.2494324
69.1110042,200.576047
46.3535458,155.868792
95.608964,234.230148
34.5182878,153.912451
30.9215552,128.678352
45.5235005,129.321723
53.0783494,160.51002
13.5926058,65.558668
30.7459594,124.305723
27.5230102,98.233933
37.6055758,125.633038
23.1680121,86.1016026
23.0876908,120.383655
49.3475367,171.872983
14.8558226,69.9805129
22.4021614,94.7601625
65.4424361,168.264846
82.9884654,231.634087
36.4888843,157.435101
10.5057111,57.55104
55.4760842,175.718969
7.83640005,66.2691181
17.2609163,100.693002
15.5067022,72.2069352
40.2280913,127.248709
63.6404747,174.817719
42.1844925,137.676988
37.2905951,136.362317
74.0984863,200.094339
60.783861,209.076119
22.4286988,84.0467835
87.3237678,221.704736
25.2006762,85.819744
82.3881879,232.082637
63.3523621,179.42563
60.831778,169.631062
5.49079177,54.8344283
30.7059329,114.039334
39.9291972,156.80623
25.1527534,84.1111182
55.5731686,174.11091
26.3986797,126.743009
23.8469131,108.619449
32.647243,108.135364
69.6242583,207.271553
44.648845,137.804185
109.218401,285.32706
19.0146156,85.339279
52.6024536,160.85713
51.6223715,174.916011
12.3157272,81.7014724
35.2119193,144.378046
14.059008,80.7542273
61.4653033,165.610659
14.1335993,126.734322
6.86144613,69.2728567
26.1294016,129.039005
41.0661131,122.675532
26.7523248,100.809378
39.9626393,140.93927
33.9062674,138.600911
69.274132,218.441149
37.504827,131.470681
22.6535356,90.4062256
80.2460408,207.39211
17.002406,69.8569926
57.0025681,165.711556
41.8017877,128.804427
5.50862217,49.5644116
33.918712,132.945776
78.6035354,198.634155
33.7661996,128.250589
81.5923083,212.365086
20.074001,91.7575609
50.8287201,158.766491
95.1522544,247.781576
25.1946952,117.059019
50.9628006,138.603755
29.205467,107.828057
36.5748899,123.989948
1.23205845,43.7157772
22.4366188,89.119656
15.2763981,93.1301546
27.516794,105.596804
44.7195939,124.453631
49.6485204,160.094472
20.0936333,83.7755489
41.489501,135.288078
14.1152532,74.8499147
26.7604931,129.361644
46.7192899,141.559127
34.1917604,118.220052
37.68451,121.973127
24.0733322,87.8536658
52.5021735,157.026871
53.579517,187.813073
47.5812627,150.707676
30.1348289,93.8305623
48.3588028,155.779788
26.6450761,97.5059552
40.2091317,160.689064
54.5244545,147.232168
19.8403009,90.9554345
46.6973383,155.283446
58.4746774,175.332378
41.3655446,141.56877
22.8229555,113.864257
21.1039572,74.7203299
14.464909,62.4780447
31.888958,100.132488
37.2261809,138.27855
58.9498604,171.002115
52.9234317,177.548637
96.5007367,257.06882
24.6289125,98.2571783
56.9225124,169.592267
19.2307312,94.8699471
23.9893317,105.469909
49.6633126,164.010023
31.948513,100.758029
23.3432297,102.233752
67.2180042,199.621455
10.1792555,79.8618254
45.2385916,130.135311
13.5295531,66.5647768
7.96733406,56.8129626
42.5851902,132.205115
111.581697,289.173325
22.3686873,85.7782046
47.0610936,135.92472
33.7420201,116.272718
41.9230058,124.571767
29.3439902,119.485158
64.9418941,201.720677
83.999141,209.70197
48.5715585,158.173655
28.9821983,113.669804
4.24232126,68.2609299
55.8688487,167.589251
18.3507508,93.2058262
50.0904573,163.603055
107.775296,264.316479
48.495325,156.323694
36.7202233,125.783154
28.9864979,118.006863
13.8260842,88.7520854
34.7486436,119.73737
15.6007078,70.3023404
36.7445906,124.40611
2.44595915,43.5709253
25.4044308,176.544262
37.638902,111.507716
32.0445284,118.376345
50.0259724,156.306088
23.2756605,87.6200673
26.8318942,112.951527
32.2669216,138.740676
31.2256816,108.235567
58.8580333,165.90299
49.6749062,141.527779
16.4458735,75.3021712
25.0515529,80.6077289
17.9639187,93.9119129
34.5120596,134.420868
35.7391008,123.433372
32.2133272,116.742885
30.7665687,110.266509
30.0453718,98.1848494
57.4805219,162.902875
40.9329725,123.516403
13.8098439,68.089345
35.8966508,113.247837
142.946594,349.700603
79.7223434,221.398963
28.7035835,131.851353
60.5533983,169.287718
38.2745555,140.560714
24.7526528,86.338248
19.6014491,83.6066822
47.5570892,135.542653
20.9182639,96.730694
53.6024229,176.556138
11.9474397,65.9073434
42.2664328,123.867398
78.179782,232.841218
48.7987762,139.935592
27.7523074,138.662604
17.2267111,70.1389722
42.6431223,136.301885
27.7033818,94.1383185
57.3187415,161.312039
26.2816518,101.201036
58.0780524,198.109465
9.08260994,61.6471707
45.2043828,147.224737
103.208721,271.033015
46.2455777,162.010574
32.292027,104.260885
14.3251944,128.798853
31.9679778,142.122762
8.4412711,54.0156966
28.9268859,123.054144
75.0911002,209.739796
46.5865861,143.869804
42.2686173,140.851642
19.6730247,102.056658
29.0368624,107.084662
79.4518346,229.547968
37.1071046,122.959365
31.2938229,132.899444
51.7204273,140.936358
34.9935864,103.164609
7.86599246,57.808515
18.4451622,69.5620341
47.5700543,131.455034
19.339855,83.475063
32.5710215,133.612027
62.2097922,181.115398
15.9483875,85.4652115
31.1748335,119.551459
57.7814098,172.117613
62.1245241,177.466243
18.8851909,118.628816
22.7422547,76.2976294
35.5924037,141.797922
51.4510688,153.447771
41.1664244,125.496345
19.8891148,81.002669
28.1948819,105.063772
82.3141536,220.970645
18.9808253,87.5684489
4.378554,47.5388738
7.96076593,82.3636296
29.2452934,145.662422
30.7637377,107.860063
3.96461624,61.4641718
55.4748873,167.678896
37.9278945,130.656182
59.734994,173.49176
21.6599528,91.8427056
26.1896444,104.132731
17.7513214,70.313545
7.99746544,58.9001368
40.1225876,161.382977
27.7605102,106.929447
23.543584,109.366054
44.7909107,126.452043
68.7681901,192.370929
31.7336738,103.765192
34.332884,131.112264
57.1228836,157.380378
29.6317154,102.444468
51.2980054,161.514477
54.8427713,166.273055
55.923187,166.172932
26.9818337,96.812404
32.4735162,125.645728
63.9187434,186.329078
32.5900727,129.644074
25.2327077,113.181732
22.0207559,115.979913
15.3025374,94.1476965
14.7475747,97.4823454
35.4606459,148.427679
34.2079762,145.539482
53.0859928,155.90184
19.4195696,80.5996702
21.7706344,108.140715
14.4507549,125.105762
12.2384929,86.5817729
38.9596068,154.428091
35.8799723,116.001519
31.8214586,121.393104
32.1830071,136.359578
83.0007118,274.615248
14.5100484,90.14678
23.3104668,91.911394
10.3797853,67.8724311
41.4424008,155.045823
10.1273025,133.745267
17.3806511,98.350014
28.4761421,112.801888
43.2710278,171.212797
26.3514697,117.610482
12.5235845,70.412094
24.8486569,122.911189
30.8322002,110.293019
38.0328312,146.316392
25.0796053,110.798117
32.6559286,178.890144
14.3931896,86.4750505
26.9720318,95.6098736
19.5472596,78.2408217
11.230745,78.755735
22.6458137,95.1834605
43.0728988,123.271179
35.1933149,109.134746
43.6024429,148.159935
41.0699808,136.303718
40.851705,129.647546
20.1054509,87.1821157
9.48113107,94.2690204
24.5480466,101.701615
53.4273279,150.450757
25.2285986,103.13043
44.4500962,125.80015
68.3108934,180.085946
21.6069597,95.2523507
33.48657,105.410673
22.9808257,113.268433
5.7228176,55.5644915
9.88537076,56.6547434
42.0985954,121.349419
47.8182777,159.830234
60.3861543,168.922981
26.8203257,129.723646
21.2501576,106.152554
13.5647395,74.2630059
69.400229,187.03788
22.6777947,94.9743287
64.1330723,188.634116
13.5249583,81.4441184
24.9318996,96.8330921
15.8209299,77.3275024
56.7664137,172.641457
32.1431454,122.624354
27.1371197,166.191583
43.2670607,121.224319
39.8487956,154.783717
26.808315,83.6610294
44.5208134,173.481943
23.3227118,122.613638
24.0826064,98.1134586
29.0659302,118.054815
66.8051079,182.828092
25.0151969,102.304293
20.5128139,74.4365687
11.857091,67.0890537
20.6570953,76.2078664
40.6182476,148.397826
29.991595,113.689895
43.4051042,170.84762
46.347417,162.559409
16.5648876,84.2361664
15.7902659,97.6961452
28.2592215,101.772166
42.4219403,142.39754
32.6362526,124.861097
34.0386431,129.182865
28.1754946,101.883238
30.7678002,117.951911
8.38373887,64.7475604
19.5560015,71.1228981
24.6961444,111.460632
19.1886921,83.4699414
59.3749874,161.085471
74.3608208,194.775551
27.2129317,104.415106
95.4010656,233.183015
10.6555779,75.2964406
15.1544056,95.9500697
34.5817089,111.45214
30.3360383,99.2602466
26.4837122,122.456416
48.9988659,153.945716
25.3913548,87.5593014
17.374729,91.3102054
44.9367648,135.625462
53.5394708,190.481467
44.3255902,173.818325
40.2121576,135.31297
17.2951114,77.3020901
61.3353173,220.646467
54.7677481,179.134913
11.9059801,59.77862
21.7277469,86.5141736
18.2239267,74.1006687
16.2922189,84.1316216
23.8392293,128.998984
35.5798976,143.604269
24.4937759,107.426688
23.9647596,114.603755
16.2395266,85.4976357
53.0192518,172.815645
21.6387151,105.872306
18.0318572,67.849379
3.96182327,107.695476
12.5444092,100.172902
48.5701648,145.472752
38.8218147,117.910664
24.4319758,99.8070667
41.8141255,166.229953
48.7640672,145.485259
39.9338545,174.603184
53.2224016,155.120091
32.9887726,138.008743
20.4650095,77.6800588
25.0934903,102.65991
9.01391249,56.1718852
86.7461067,276.149645
34.9474299,128.125965
34.8232275,128.193191
47.5082325,154.153541
18.2569314,90.0752318
28.2859714,93.3264866
36.7623619,154.919604
16.8833311,96.1109641
12.6144472,74.2388141
37.0006875,115.129457
60.5800684,163.612828
45.7878998,131.564776
63.1834448,190.775967
60.2734967,171.951489
16.7618983,69.2681319
37.4354448,158.236521
28.5213388,100.233953
78.0914644,225.655651
20.1718194,81.461984
27.0484772,118.086511
9.29358132,77.7930539
52.1497986,171.084685
31.2404391,121.596277
33.7345373,152.372765
58.748595,173.50816
38.6289478,115.850044
27.7318064,113.88304
51.8678488,147.62399
27.7925824,135.932715
28.2522833,124.684888
50.1200242,166.511023
51.8669461,179.437576
59.3760134,158.123435
41.641952,124.331615
20.0115585,88.8030455
34.9557329,121.619429
32.0709535,112.155746
13.8755546,78.1617258
11.6986754,70.9172403
