投入,产出
2.80510655,3.63233902
1.79069848,3.19452064
2.45360986,2.83185924
2.15750466,2.9713932
2.33584219,4.56065078
0.278410424,2.21791092
2.01091073,2.23858725
2.36094629,2.66440584
1.9875123,2.4542054
0.585499123,1.75918962
1.88344778,1.76500349
1.63591516,2.08982029
3.25106024,2.631162
2.59767975,3.54503465
2.12293317,3.6564472
3.12396984,3.78911233
2.59531361,3.9004324
2.24853583,3.18927222
2.13946026,3.27915449
0.523187061,3.26790967
1.56592983,1.96840797
1.90890753,2.33519863
2.89280636,3.33826078
0.974334496,2.73607951
2.100198,3.67515247
3.01008468,2.27533003
2.80530273,3.03081235
3.25173366,3.33990684
4.09955967,4.77513989
3.15655412,3.98232187
1.24051785,0.910798403
3.68426925,4.07695345
2.21483627,3.39119229
1.09564424,2.71276446
2.44410318,4.53829252
1.30108701,2.72665693
1.8976199,3.79203045
2.97931882,2.35492145
2.90825919,4.01799601
1.56525102,2.85143127
3.25972894,4.39605101
2.12907459,3.16856717
1.72925128,3.06489001
1.44017367,2.31273316
1.91593103,3.27594877
1.43005803,3.29668814
2.21224988,3.53742025
2.14444946,3.56942284
2.56978297,3.26158066
2.77487553,4.08664034
3.13097306,3.43978275
1.72794332,3.00331217
1.7584832,2.6235385
1.94893736,3.75837895
2.52592543,3.26766856
1.51913597,2.18332502
2.90822749,4.38269277
1.34209,2.23335946
1.64502424,3.57478852
1.92973217,2.33404225
1.83295011,2.80029822
1.45592316,3.22408779
1.08131905,3.00421144
2.41382239,2.4257461
1.46596826,3.46442201
2.35848199,3.04640848
1.9196046,2.48284136
2.39136261,2.28668628
1.10292914,1.87333095
1.74105536,2.26777728
2.77905261,3.02901894
1.47872379,3.1210331
1.74469101,2.7485047
2.44432542,3.07258737
2.16588826,3.50297637
3.0485008,2.85733091
1.86035887,3.02884534
1.63395639,3.00357857
2.02275185,3.39240317
2.52951148,2.85851674
1.43756159,2.43073709
0.657803617,1.87645148
1.94129904,3.47312319
2.37671677,2.25186799
1.93408774,3.57768656
2.74680387,3.11152553
1.80745834,2.88722639
2.04021033,2.60681468
1.93889482,3.6775193
1.34540663,3.52843174
2.15785572,2.50153141
2.35881216,1.9346385
1.58241162,1.32139692
2.9785797,3.50671917
1.37796141,2.47779426
1.62077862,2.8679759
3.78029266,3.11916647
3.96165304,3.82965468
2.24145473,3.48927593
2.41962835,3.47004993
4.07480582,4.43011274
0.774223143,2.70514542
2.59788406,3.89357046
0.915283621,2.69324376
2.02584962,2.83401724
1.62604211,3.4536882
2.18558488,2.50548691
2.21441248,2.94096556
2.19775385,2.82477574
1.45657969,1.68400639
2.68489819,1.63234125
2.71551854,3.32722624
1.37352202,3.55066612
1.28892057,1.96055661
0.870789956,2.88943982
2.5833903,4.1650446
2.31962858,3.03773641
1.65250672,2.51269788
1.40644508,1.5633413
2.33316699,4.0220006
2.03785041,2.10384444
2.06525638,2.35880074
2.61279262,3.02423358
1.62859193,2.32899098
1.60549024,3.66487089
2.23403183,2.0325869
0.284062161,2.4310683
1.62642877,2.83879278
2.85120588,3.0921297
2.24368595,3.09845925
0.391937814,2.6944558
1.39261551,2.89775861
1.25388951,2.08852936
2.10441218,2.10599291
3.22817889,2.70175167
1.70525246,2.97683486
2.03554561,3.5535881
1.0212116,2.51201831
2.56551558,2.29618117
2.53387279,2.87595614
1.37988723,1.6091899
2.8235743,2.32800409
2.75090217,3.44198262
1.78351648,3.39630617
1.4331292,2.58960349
2.41570364,2.77790423
2.38586374,3.6865923
1.97301369,2.82520671
1.89654185,3.02761225
2.03891324,4.4136644
0.229049033,2.84070853
1.98151792,3.11157462
2.49060909,2.79045063
1.75997792,2.75726076
2.13193955,2.72663887
2.21029682,3.25994083
3.15436546,3.6939285
3.40564047,2.86615731
1.16283789,2.98176899
1.79861777,2.6604759
0.767500705,1.69461689
1.54721881,2.86828214
1.63705918,3.14908742
2.13406615,2.46532487
1.99469614,4.06269136
2.57630829,2.64931923
1.28993554,3.44025148
1.48555602,3.90261902
2.19139214,2.84190493
4.29811654,4.49287403
0.864877944,2.34486022
3.82163951,5.28404028
1.61358822,2.61756066
1.70659552,3.41646761
2.92941503,3.76023788
1.49800664,3.05944202
1.32299942,1.86419458
2.90576847,3.60324911
1.01458983,2.81803632
2.02332805,3.24673459
2.77662166,2.63264844
1.42649415,2.44385004
2.45448576,3.59863147
2.83092006,2.78593688
1.67826329,2.20412402
0.594113345,1.55197064
3.05180273,2.76662608
1.4984664,1.87181569
1.83556135,3.26772325
2.33814372,2.3126961
1.61586143,3.18767977
1.36219548,3.1181479
2.3495087,3.28599158
1.44582243,3.18735162
2.05406927,3.02323839
2.86985778,3.00435472
0.94443813,2.05241636
1.81843129,2.78702294
2.11624212,2.47364701
