X,Y,温升
-3,-3,0.0566941341
-2.88888889,-3,0.0799166237
-2.77777778,-3,0.109906665
-2.66666667,-3,0.147469284
-2.55555556,-3,0.193051586
-2.44444444,-3,0.246572275
-2.33333333,-3,0.307270296
-2.22222222,-3,0.373603543
-2.11111111,-3,0.443227901
-2,-3,0.513079572
-1.88888889,-3,0.579569611
-1.77777778,-3,0.638880692
-1.66666667,-3,0.687335909
-1.55555556,-3,0.721792139
-1.44444444,-3,0.740000755
-1.33333333,-3,0.740879113
-1.22222222,-3,0.724648133
-1.11111111,-3,0.692812464
-1,-3,0.647985895
-0.888888889,-3,0.593590326
-0.777777778,-3,0.533476245
-0.666666667,-3,0.471522524
-0.555555556,-3,0.411271871
-0.444444444,-3,0.355646844
-0.333333333,-3,0.30677321
-0.222222222,-3,0.26591716
-0.111111111,-3,0.233524736
0,-3,0.209338913
0.111111111,-3,0.192563684
0.222222222,-3,0.182044792
0.333333333,-3,0.176442003
0.444444444,-3,0.174375709
0.555555556,-3,0.174539091
0.666666667,-3,0.175774271
0.777777778,-3,0.177116019
0.888888889,-3,0.177809315
1,-3,0.177307874
1.11111111,-3,0.17526008
1.22222222,-3,0.171487455
1.33333333,-3,0.165959315
1.44444444,-3,0.158765936
1.55555556,-3,0.150091658
1.66666667,-3,0.140188814
1.77777778,-3,0.1293531
1.88888889,-3,0.117900947
2,-3,0.106149424
2.11111111,-3,0.0943991735
2.22222222,-3,0.0829208084
2.33333333,-3,0.071945007
2.44444444,-3,0.0616563711
2.55555556,-3,0.0521908723
2.66666667,-3,0.0436365075
2.77777778,-3,0.0360366161
2.88888889,-3,0.0293952046
3,-3,0.0236835813
-3,-2.88888889,0.0873322336
-2.88888889,-2.88888889,0.123103786
-2.77777778,-2.88888889,0.169299476
-2.66666667,-2.88888889,0.227158915
-2.55555556,-2.88888889,0.297370151
-2.44444444,-2.88888889,0.379806987
-2.33333333,-2.88888889,0.473295758
-2.22222222,-2.88888889,0.575459217
-2.11111111,-2.88888889,0.682684173
-2,-2.88888889,0.790248242
-1.88888889,-2.88888889,0.892619451
-1.77777778,-2.88888889,0.983913361
-1.66666667,-2.88888889,1.05846116
-1.55555556,-2.88888889,1.11141565
-1.44444444,-2.88888889,1.13930699
-1.33333333,-2.88888889,1.14046105
-1.22222222,-2.88888889,1.11521155
-1.11111111,-2.88888889,1.06586979
-1,-2.88888889,0.996456084
-0.888888889,-2.88888889,0.912236455
-0.777777778,-2.88888889,0.819138517
-0.666666667,-2.88888889,0.723135494
-0.555555556,-2.88888889,0.629685184
-0.444444444,-2.88888889,0.543292969
-0.333333333,-2.88888889,0.467240104
-0.222222222,-2.88888889,0.403487256
-0.111111111,-2.88888889,0.352735283
0,-2.88888889,0.314605439
0.111111111,-2.88888889,0.28789172
0.222222222,-2.88888889,0.270838604
0.333333333,-2.88888889,0.261405532
0.444444444,-2.88888889,0.257491653
0.555555556,-2.88888889,0.257107401
0.666666667,-2.88888889,0.258490548
0.777777778,-2.88888889,0.260172337
0.888888889,-2.88888889,0.261003486
1,-2.88888889,0.260151088
1.11111111,-2.88888889,0.257076421
1.22222222,-2.88888889,0.251501605
1.33333333,-2.88888889,0.243370733
1.44444444,-2.88888889,0.232809057
1.55555556,-2.88888889,0.220082383
1.66666667,-2.88888889,0.205557956
1.77777778,-2.88888889,0.189667724
1.88888889,-2.88888889,0.172874726
2,-2.88888889,0.155643346
2.11111111,-2.88888889,0.138414126
2.22222222,-2.88888889,0.121583708
2.33333333,-2.88888889,0.105490251
2.44444444,-2.88888889,0.0904043916
2.55555556,-2.88888889,0.076525482
2.66666667,-2.88888889,0.06398254
2.77777778,-2.88888889,0.0528391087
2.88888889,-2.88888889,0.043101061
