练习小时,成绩
5.77065843,51.8790863
9.36600379,58.8038438
6.68360939,64.8067361
6.63334031,82.9824879
4.12202001,30.4579783
2.14228721,42.678899
1.43601741,27.5615183
7.33237187,46.7604168
5.93420066,42.5455089
3.98377653,22.449136
1.71578494,32.2024137
6.705192,54.4785917
9.66631858,60.2712695
10.5733303,53.4811548
10.8151076,63.2470513
5.38257104,47.1659047
10.55343,60.0747677
2.77350343,30.3270141
6.3184534,52.945113
1.83510697,34.3636458
8.55113651,47.1096774
11.9993789,69.0488348
11.3860607,80.915019
6.82589741,61.6938485
1.19461832,42.2435765
4.62543128,31.4120698
8.38367989,58.4235818
1.57062133,21.5946529
1.53367428,44.8628552
11.6201813,67.2736998
6.58096447,54.9374257
6.92936755,65.1904615
5.19664402,62.2189746
6.0753149,43.0625341
5.74737617,45.8547316
11.4272702,67.0587366
10.441808,61.213673
10.7738135,69.7440345
4.71121392,38.0768938
1.14913357,30.3617197
1.87047857,34.2408022
8.22047043,60.2876061
2.71099481,37.4817584
11.1239469,68.2082469
8.96724768,42.1917917
9.4872102,72.453068
7.15894516,42.4890494
8.21424728,57.1786702
1.681994,34.4218673
11.3934247,67.3685827
11.7955042,85.9633319
6.98566807,44.4597488
11.1559928,81.8087058
5.01517297,48.2342034
8.99371111,64.4714507
3.14492843,75.2979313
11.9310712,73.4194426
10.6934595,72.2374526
4.95932822,41.4649112
9.77524398,68.174229
3.2328605,43.1371099
1.52724508,33.6376852
6.04583419,60.1300436
11.2639225,78.2129168
6.59342282,43.895273
2.12903601,25.6527118
5.59023083,50.4963038
4.9326086,69.352151
4.76692834,33.016649
11.1165261,50.4771088
6.43551956,46.3134589
10.1488765,68.5943017
1.09385553,16.8732625
5.42723508,51.2871597
10.6130162,61.0089936
4.41886635,42.8611098
11.2805333,71.1984337
6.02299067,51.2908452
8.17123395,64.5459233
11.2625728,49.1581214
3.64683663,28.6105373
2.33158293,26.2974891
10.9358372,61.5373558
8.38346422,54.1585007
2.30096009,18.2619943
5.56664948,47.6547434
2.08922391,21.2635027
1.95632247,27.4872526
5.24467971,48.6194863
11.6277746,61.5238457
9.90734154,70.8428402
11.7252779,67.5830789
1.47415536,26.6596645
4.30219831,29.4328602
8.8990413,71.0562954
10.7119479,53.7333205
10.7487827,53.1074018
10.730101,80.4414351
5.17629499,45.0686537
10.095463,60.1374041
2.40977011,36.4091741
4.87047366,28.6313929
11.9225935,61.2483716
8.95191775,58.670963
8.79882688,73.5109162
4.51196413,45.4999995
6.97059825,61.1021556
10.7228907,63.4386029
7.03815418,55.8391611
2.27484607,30.017222
11.6741927,69.6225658
4.4005525,27.7481347
8.61188438,70.9696849
5.99249069,29.7055416
4.41842076,50.3267204
3.12869819,29.3909079
10.5459802,70.6226172
7.27444952,46.3239563
5.83674548,39.1916924
3.33095052,27.772363
2.79464217,46.8181791
2.66296451,37.7318891
8.58492066,66.3845296
5.6646269,58.8474868
4.79373586,47.1411053
8.77096958,69.3789473
10.7528771,56.6601782
9.24832285,54.3068933
6.45137976,54.8549226
8.33158213,45.4428289
9.52301308,59.3397899
10.8495259,69.3729949
2.42026328,18.6832893
11.9488018,76.7587599
11.9130698,69.1295195
8.09048055,50.4348806
5.92642946,41.0945213
5.71866169,39.7828033
11.5334596,76.6344722
11.1831172,63.1742749
2.38709818,36.2193389
6.19935823,42.1236062
7.40487551,59.0280975
8.33870535,43.7600384
2.0875524,33.510778
6.29314811,32.4699352
2.94786871,25.0794769
7.03304557,58.1377344
3.01694294,43.0171802
9.68094286,49.6126113
9.57382427,61.9263709
4.90307429,31.9978151
7.60342032,52.8064546
6.55727373,56.6848299
6.16402918,44.2706517
4.65708064,43.6933446
10.8139136,67.1897276
8.32720456,63.6334475
8.64092937,44.4248367
1.36830122,35.9044914
11.7303734,55.3495539
5.35020353,36.3513735
2.99935921,28.4477881
4.59386582,51.5039803
2.18197776,42.825593
10.0566915,70.5785571
6.29339102,47.4476766
2.90966223,35.2184104
4.21583095,39.0524777
1.14020656,20.5176365
5.06960423,30.4712648
10.2791443,59.4305109
7.8175464,56.150321
6.88142834,51.3661373
2.7505011,31.2460456
4.90860716,32.6706927
1.27380433,31.8201506
5.16808575,49.2333514
1.50663875,40.4131825
10.6638702,72.6190457
