投入,产出,等待,经验
41.600668,53.5700725,63.4880349,4.89950886
53.1709726,87.7417288,54.1980311,6.43800241
39.5863675,53.2922964,51.2409541,5.92172188
47.8469406,65.291228,50.6382634,8.87370987
61.8722291,73.4034159,36.4475965,6.05352282
31.9110336,43.0277525,80.5758424,4.01035423
48.9981295,71.6063449,50.6668135,6.64139226
51.8611913,79.6740247,53.9667708,7.07620567
36.8483501,41.2694912,65.8378308,2.38713776
40.3048828,46.8747911,59.7861567,5.66731168
39.996091,55.4581912,63.1005895,3.43902845
56.8111407,89.4171919,64.8316511,7.77406142
59.0824807,82.8348837,51.1882019,6.66864615
49.127687,71.3282138,42.2868882,2.47003484
63.0993574,82.7633023,52.761778,5.54860938
71.9479317,105.575239,32.8757117,7.58022302
39.9361943,62.6387256,58.1042714,7.87198064
42.3470553,56.9204736,61.605303,7.17198332
40.496451,53.0182132,56.3074125,3.58672778
69.1949014,84.7460163,43.3417523,6.44277666
54.354941,93.0443015,54.4087413,2.87458961
45.3175732,66.9060308,56.5476113,1.97222855
42.9990339,65.9596861,64.3615645,6.83601748
33.8772785,45.5294619,58.3476081,8.9708919
37.2502368,39.3909785,56.2406595,3.86850525
64.2637108,105.765714,50.9258273,6.14322659
44.8770085,55.8074643,61.8871725,9.55656201
70.2343813,110.820878,42.5544935,7.26287708
55.6949937,70.3595697,54.746123,4.65261067
64.4257984,86.1881461,50.5864227,4.29619162
49.0121663,77.8338458,47.9204337,8.13076136
44.6541573,50.5442685,48.7933235,4.34210067
65.6256965,105.096044,46.0052664,5.44973985
37.0260314,52.6693484,51.7748361,9.12729277
62.9667907,83.1281798,41.9531958,5.62431452
67.5751182,95.0686411,53.1554842,3.82003746
41.0410639,61.4063499,57.3187414,9.05769812
51.4590468,67.9917424,39.0717338,7.62847309
47.9678779,80.9244196,64.4123066,9.24695123
55.332915,72.2729698,64.6070159,9.19269939
72.4159336,104.237782,45.0994066,5.84352109
54.1697344,76.1369209,60.8732264,8.61035219
54.5546334,73.8774666,71.0473365,6.56072009
32.5138219,43.0874348,62.0703835,4.98078621
51.203497,68.3561185,54.8848487,6.0143134
57.3761731,69.2701475,47.7205536,8.72019739
34.7519665,39.715296,67.6972086,8.4668716
35.9117169,29.1060045,73.2417862,2.80602597
63.0194307,90.5656128,39.295343,5.00940927
41.979459,60.0317909,58.6016084,5.39582547
52.2893998,85.3818449,58.0993577,6.65983322
44.0813985,53.3183636,50.4204861,2.27229653
46.4235642,61.8052825,55.7789817,9.80612607
54.9328938,89.4244867,57.7213302,6.21545418
50.8517196,74.4717115,52.3419184,9.40743717
63.7911922,92.5148439,46.0288592,2.59254718
21.6424108,21.2962482,69.0031066,2.59260171
49.6659026,77.8967693,56.6060575,3.05723835
56.644893,74.566123,49.380247,8.43604916
34.5422685,39.1653433,69.7473516,2.97806076
44.8347403,64.3107357,56.4258902,3.3396812
50.9234118,80.0227535,65.0893659,5.57967884
63.9593811,92.6221682,41.3910401,5.43050635
49.4103703,65.3253098,46.1901459,9.7902578
53.8574845,79.5543691,55.4924419,6.00665982
34.5833585,48.5988823,62.687082,5.83163848
49.5314603,75.2546091,58.0285622,4.54913447
41.864636,60.4162417,69.3227194,9.29853732
46.4458085,65.8144685,51.1052695,4.01693425
54.6536641,87.4624346,51.6809032,7.67675468
52.6124677,86.1297893,41.458931,5.92333165
57.6663475,71.8864858,52.1344707,7.33129886
27.7269507,29.8375541,77.1022136,7.03998066
46.6569755,71.2195701,59.4007094,1.42035663
52.9501553,76.1987825,66.5717983,4.0474155
47.5019958,60.7317011,52.9329934,7.77720844
40.2224864,51.5698583,59.501295,9.52358361
45.8395483,61.3113351,52.5743227,1.31230767
51.7341729,69.6037102,50.8780736,5.44709835
66.8344304,99.416058,47.4139939,4.32581573
