日期,读数
2025-01-01,69.939764
2025-01-02,75.4319283
2025-01-03,72.6616544
2025-01-04,66.5111541
2025-01-05,66.8652606
2025-01-06,65.7036547
2025-01-07,68.1902507
2025-01-08,71.0762682
2025-01-09,64.7814251
2025-01-10,61.0629102
2025-01-11,59.0189556
2025-01-12,61.2143169
2025-01-13,63.4921732
2025-01-14,68.1670303
2025-01-15,59.6809002
2025-01-16,75.4636417
2025-01-17,75.7088462
2025-01-18,65.9120292
2025-01-19,65.5800174
2025-01-20,74.7849264
2025-01-21,70.5763186
2025-01-22,69.2154733
2025-01-23,68.8842761
2025-01-24,68.5488776
2025-01-25,56.1742011
2025-01-26,74.6858011
2025-01-27,68.7125924
2025-01-28,68.740159
2025-01-29,60.1343129
2025-01-30,64.4165535
2025-01-31,57.317101
2025-02-01,66.5562798
2025-02-02,68.5129056
2025-02-03,69.5439223
2025-02-04,60.4558619
2025-02-05,65.3165218
2025-02-06,59.7694242
2025-02-07,62.1553802
2025-02-08,68.9426165
2025-02-09,72.3104163
2025-02-10,67.6087576
2025-02-11,58.9306507
2025-02-12,61.085445
2025-02-13,64.0681583
2025-02-14,69.2821795
2025-02-15,58.8629474
2025-02-16,60.5072048
2025-02-17,72.7321478
2025-02-18,57.3049889
2025-02-19,71.1743042
2025-02-20,65.7533357
2025-02-21,65.4745146
2025-02-22,57.0450125
2025-02-23,56.333261
2025-02-24,61.9978472
2025-02-25,58.7519193
2025-02-26,64.2096807
2025-02-27,61.6707987
2025-02-28,47.0693231
2025-03-01,66.828411
2025-03-02,65.7190121
2025-03-03,44.3390157
2025-03-04,44.9866039
2025-03-05,58.1737857
2025-03-06,59.8772797
2025-03-07,71.4530977
2025-03-08,62.4965494
2025-03-09,57.1411111
2025-03-10,53.8290146
2025-03-11,55.4182982
2025-03-12,58.1147747
2025-03-13,48.596127
2025-03-14,54.3798502
2025-03-15,61.9428285
2025-03-16,64.4591677
2025-03-17,62.6936196
2025-03-18,53.4110493
2025-03-19,62.4205184
2025-03-20,50.6165744
2025-03-21,52.8085791
2025-03-22,54.1369512
2025-03-23,58.3513348
2025-03-24,43.3088343
2025-03-25,48.1816585
2025-03-26,54.841498
2025-03-27,57.4503279
2025-03-28,58.549456
2025-03-29,50.6525756
2025-03-30,45.6624603
2025-03-31,50.8019137
2025-04-01,54.5378322
2025-04-02,50.9544571
2025-04-03,49.0478821
2025-04-04,45.4126401
2025-04-05,40.509109
2025-04-06,53.8746736
2025-04-07,53.8870698
2025-04-08,48.9229138
2025-04-09,49.2840271
2025-04-10,53.3791181
2025-04-11,47.6694688
2025-04-12,34.9089294
2025-04-13,44.8958701
2025-04-14,47.7600172
2025-04-15,55.7383313
2025-04-16,45.3781369
2025-04-17,47.0814679
2025-04-18,50.5008752
2025-04-19,42.3156535
2025-04-20,37.6745394
2025-04-21,46.6899734
2025-04-22,38.9375722
2025-04-23,34.6466282
2025-04-24,43.3812164
2025-04-25,46.2826275
2025-04-26,42.2264788
2025-04-27,40.3333454
2025-04-28,35.8032865
2025-04-29,49.4804748
2025-04-30,38.5004455
2025-05-01,38.3057522
2025-05-02,44.8276878
2025-05-03,30.0045826
2025-05-04,43.5235252
2025-05-05,39.4611403
