日期,mean,count,size,coverage,shown
2025-01-01,67.0533153,31,31,1,67.0533153
2025-02-01,63.3366359,28,28,1,63.3366359
2025-03-01,55.8594283,31,31,1,55.8594283
2025-04-01,45.6671687,30,30,1,45.6671687
2025-05-01,36.1957205,31,31,1,36.1957205
2025-06-01,,0,30,0,
2025-07-01,33.1167422,31,31,1,33.1167422
2025-08-01,37.3121022,31,31,1,37.3121022
2025-09-01,47.025358,14,30,0.466666667,
2025-10-01,53.1661869,31,31,1,53.1661869
2025-11-01,61.8701726,30,30,1,61.8701726
2025-12-01,66.7253688,31,31,1,66.7253688
