日期,订单,7日均值
2026-01-01,167,
2026-01-02,179,
2026-01-03,178,
2026-01-04,175,
2026-01-05,150,
2026-01-06,147,
2026-01-07,151,163.857143
2026-01-08,161,163
2026-01-09,189,164.428571
2026-01-10,179,164.571429
2026-01-11,168,163.571429
2026-01-12,161,165.142857
2026-01-13,151,165.714286
2026-01-14,170,168.428571
2026-01-15,173,170.142857
2026-01-16,206,172.571429
2026-01-17,198,175.285714
2026-01-18,186,177.857143
2026-01-19,177,180.142857
2026-01-20,163,181.857143
2026-01-21,171,182
2026-01-22,180,183
2026-01-23,204,182.714286
2026-01-24,209,184.285714
2026-01-25,189,184.714286
2026-01-26,179,185
2026-01-27,156,184
2026-01-28,178,185
2026-01-29,186,185.857143
2026-01-30,210,186.714286
2026-01-31,214,187.428571
2026-02-01,219,191.714286
2026-02-02,179,191.714286
2026-02-03,165,193
2026-02-04,187,194.285714
2026-02-05,200,196.285714
2026-02-06,248,201.714286
2026-02-07,224,203.142857
2026-02-08,209,201.714286
2026-02-09,174,201
2026-02-10,191,204.714286
2026-02-11,182,204
2026-02-12,217,206.428571
2026-02-13,230,203.857143
2026-02-14,237,205.714286
2026-02-15,238,209.857143
2026-02-16,222,216.714286
2026-02-17,209,219.285714
2026-02-18,203,222.285714
2026-02-19,217,222.285714
2026-02-20,248,224.857143
2026-02-21,248,226.428571
2026-02-22,228,225
2026-02-23,214,223.857143
2026-02-24,197,222.142857
2026-02-25,205,222.428571
2026-02-26,229,224.142857
2026-02-27,232,221.857143
2026-02-28,242,221
2026-03-01,235,222
