周,入门,实战,部署
1,41.6375454,11.3736729,10.000009
2,51.8605796,12.6022514,10.0000428
3,61.1286273,14.6632393,10.0001882
4,67.6473663,17.9049418,10.0007632
5,70,22.6759987,10.002857
6,67.6473663,29.2281818,10.0098728
7,61.1286273,37.5909581,10.0314935
8,51.8605796,47.4513841,10.0927383
9,41.6375454,58.0885291,10.2520889
10,32.0727665,68.4100587,10.6325643
11,24.2156655,77.1129488,11.4652511
12,18.4515053,82.9453358,13.1331116
13,14.6382844,85,16.1843792
14,12.3498337,82.9453358,21.2686737
15,11.0989383,77.1129488,28.9542207
16,10.4744232,68.4100587,39.4303553
17,10.1890667,58.0885291,52.1833939
18,10.0695538,47.4513841,65.8141061
19,10.0236201,37.5909581,78.1715031
20,10.0074046,29.2281818,86.8631551
21,10.0021428,22.6759987,90
22,10.0005724,17.9049418,86.8631551
23,10.0001412,14.6632393,78.1715031
24,10.0000321,12.6022514,65.8141061
