班级,得分
甲班,64.1179677
甲班,71.3531861
甲班,76.3757622
甲班,63.6892111
甲班,64.3322377
甲班,65.7425098
甲班,73.1321662
甲班,70.9444753
甲班,67.8693172
甲班,57.7921596
甲班,60.2537114
甲班,76.3828083
甲班,83.3757827
甲班,53.7998327
甲班,65.0512141
甲班,70.7702539
甲班,72.0230624
甲班,79.5743866
甲班,71.5978405
甲班,67.2559691
甲班,68.7443026
甲班,61.6809734
甲班,66.2513037
甲班,75.3360388
甲班,74.924822
甲班,74.6550517
甲班,73.8716945
甲班,60.5021764
甲班,65.7350227
甲班,76.0610341
甲班,73.7964537
甲班,69.1927067
甲班,62.2208744
甲班,72.1465228
甲班,69.4403542
甲班,69.2491955
甲班,61.0550638
甲班,69.9595847
甲班,70.4931934
甲班,82.1632407
甲班,71.4431089
甲班,66.427023
甲班,70.6295027
甲班,64.9163483
甲班,68.2302583
甲班,78.3535041
甲班,68.96479
甲班,73.5560202
甲班,83.1034641
甲班,78.0175349
甲班,73.6625882
甲班,70.0747589
甲班,53.5424579
甲班,75.3791297
甲班,78.5981489
甲班,62.1534265
甲班,82.9682777
甲班,68.5993524
甲班,67.6301406
甲班,67.0918415
甲班,79.1708383
甲班,80.6630262
甲班,75.8169762
甲班,81.8854399
甲班,70.3081547
甲班,65.053094
甲班,76.5343284
甲班,66.50266
甲班,63.6542611
甲班,77.819356
甲班,75.6236772
甲班,86.7061548
甲班,64.7905187
甲班,88.1468623
甲班,67.234758
甲班,79.6622782
甲班,72.9589204
甲班,76.6030625
甲班,68.3727152
甲班,90.3301831
甲班,66.5848474
甲班,62.2331194
甲班,69.1224441
甲班,64.0429449
甲班,58.7593592
甲班,70.311718
甲班,62.8031808
甲班,74.7782525
甲班,61.595759
甲班,77.3652192
甲班,65.104554
甲班,83.7858696
甲班,71.5168617
甲班,69.1357732
甲班,71.3236499
甲班,54.836398
甲班,78.6578488
甲班,69.5500227
甲班,71.1023564
甲班,83.598866
甲班,83.4838412
甲班,80.134878
甲班,61.2689815
甲班,76.5777167
甲班,56.1804456
甲班,69.9598405
甲班,68.8005855
甲班,78.6995032
甲班,73.2724493
甲班,73.4229989
甲班,63.3966612
甲班,60.6044132
甲班,84.2575832
甲班,69.1859997
甲班,62.2608564
甲班,75.7890258
甲班,63.1079092
甲班,71.8229565
甲班,80.5838335
甲班,70.3846331
甲班,78.5414347
甲班,69.64085
甲班,64.3977375
甲班,56.8188288
甲班,62.803325
甲班,69.5993124
甲班,73.1957148
甲班,71.4885266
甲班,74.3332079
甲班,68.5808353
甲班,70.1709216
甲班,74.873514
甲班,47.3189129
甲班,58.9056711
甲班,60.6776057
甲班,92.8970558
甲班,67.0522949
甲班,80.5432755
甲班,64.2133193
甲班,84.0896563
甲班,75.1715749
甲班,75.3602728
甲班,77.5506403
甲班,64.7716791
甲班,65.7451552
甲班,63.2637239
甲班,67.275175
甲班,66.1795563
甲班,69.0866485
甲班,75.471924
甲班,81.2167713
甲班,69.9603857
甲班,64.0206235
甲班,75.8683317
甲班,60.1505655
甲班,69.1706403
甲班,79.8914496
甲班,58.7671974
