组别,耗时
新手,27.6703427
新手,30.7570356
新手,24.5420345
新手,33.9824587
新手,39.3353715
新手,26.9287653
新手,33.2546889
新手,32.6186406
新手,34.723737
新手,24.1608941
新手,36.311662
新手,35.885799
新手,32.6843853
新手,25.8800863
新手,35.3899346
新手,29.5574338
新手,28.1489669
新手,32.2057947
新手,30.4245134
新手,28.7784077
新手,31.4088753
新手,33.7124611
新手,34.6732915
新手,35.1421396
新手,24.660898
新手,39.6358789
新手,44.921376
新手,28.0343597
新手,35.6640484
新手,30.745601
新手,30.5785864
新手,30.9888436
新手,33.0143226
新手,44.3635427
新手,36.345248
熟练,23.9294643
熟练,20.2141851
熟练,15.0768207
熟练,17.3219405
熟练,31.9709883
熟练,17.649397
熟练,26.3623294
熟练,23.6296615
熟练,23.6292931
熟练,22.4862391
熟练,22.4755598
熟练,14.47983
熟练,23.5230315
熟练,20.4841046
熟练,24.6198819
熟练,19.9265297
熟练,19.9537868
熟练,27.1085735
熟练,22.5281624
熟练,16.185427
熟练,19.3533164
熟练,20.609262
熟练,22.8111818
熟练,21.572542
熟练,22.0738554
熟练,26.5025648
熟练,26.7384532
熟练,26.2349714
熟练,15.3193841
熟练,30.1516189
熟练,28.3636975
熟练,28.3732364
熟练,19.2934373
熟练,23.7178973
熟练,26.311689
资深,16.1863485
资深,17.7904765
资深,14.8375976
资深,14.0732925
资深,16.2102795
资深,19.4366427
资深,19.0386866
资深,21.9948838
资深,18.4117898
资深,16.279068
资深,17.3137851
资深,16.0035325
资深,14.4659329
资深,15.7788034
资深,11.6004349
资深,16.8443301
资深,16.116231
资深,14.064791
资深,17.5790819
资深,17.4380334
资深,13.7399205
资深,14.8812207
资深,12.6298554
资深,17.697708
资深,17.7456551
资深,17.343924
资深,16.9159163
资深,16.6653362
资深,20.3893525
资深,12.4489896
资深,14.8076158
资深,14.4982879
资深,11.6225744
资深,19.7116804
资深,12.4791571
