流量,收入,等待,评分
-1.04893978,-0.554132375,1.358247,-1.18419376
-1.31459288,-1.3162795,0.955608773,3.29800133
0.734863451,0.107105215,-0.108550266,0.808326062
-1.15356339,-0.752120559,1.56279544,-0.0309064629
1.21819469,1.31337665,0.0061922589,1.18494479
1.4873615,0.947631226,-0.63250665,-0.782124886
-1.2617221,-0.618832327,0.0928561828,-0.353498957
0.741006549,0.211656904,-0.355050063,-0.553740598
-0.474444553,-0.883552353,-0.393815332,0.483639333
-0.985095187,-1.29730397,2.04803954,0.179484067
-1.03544079,-1.51390342,1.4691821,-1.14425175
-0.745635911,-0.522343113,0.765978561,-1.49832031
-0.255653192,-0.642038205,0.628382491,-0.734571429
-0.0378164803,0.56584786,0.668605395,-0.469006649
-0.220202631,0.688828876,-1.05709968,0.743343788
-0.427789671,-0.637518735,0.344054263,0.834979094
1.00645372,0.790890435,-1.09540634,0.129806146
0.787463701,0.709899212,-0.293005518,1.32071092
-0.39284698,-0.551629458,0.865647775,-0.769444092
0.42733145,-0.449457517,-1.17474794,-1.2419776
-0.0263025589,0.104339986,0.0844384822,-2.20406704
0.700306399,0.138636756,-0.308257363,-1.49771545
0.0102063067,-0.0850100383,1.04370679,0.575252257
0.795743954,0.321212857,-0.560928418,0.205943703
0.217030485,0.638718472,0.976773451,-0.0961919669
1.94664647,0.919528249,-0.695385995,-0.841633769
-2.37274031,-2.6747963,1.13000395,-0.817367378
0.356077264,0.264783241,-0.401335919,0.632282284
-1.92511681,-1.52776443,1.69468679,1.33066896
0.628137123,0.354815893,0.0174678588,-0.111276549
-0.391013061,-0.33167773,-0.122678474,1.63743559
0.990967387,0.737715227,-0.426003843,1.28294896
0.0644526436,0.207631329,-0.453082639,-0.381756527
-0.864397663,-0.728006401,0.509178524,0.544421034
0.64274013,0.541319125,-0.44347732,-1.18245778
-1.52233808,-1.15305256,-0.0301504685,-1.02117786
-0.194770903,-0.25101939,-0.041512317,2.22353577
0.116468462,0.0267137042,0.493044155,1.24196097
-0.644828119,-1.4458183,0.352223963,-0.327373741
-1.36603538,-0.456545868,2.30777101,1.88377918
-0.297931413,-0.267287992,0.332340465,0.929393434
-2.01788205,-0.960175585,1.51042659,0.571003651
1.68435143,0.88773371,-1.15010972,1.02649086
-1.13223842,-1.26329679,1.37127064,-0.852298128
0.211337884,0.86173318,0.354235375,-0.0915537976
-1.35937064,-0.982303199,0.734327088,0.941902519
-0.887732861,-1.10678657,0.721672705,0.189013
0.457181573,-0.0660756257,-0.545768471,-0.809102334
-1.59415927,-0.835345735,2.46693199,-0.453176551
2.92306335,1.700991,-2.97840657,-0.995033169
-0.79306187,-0.749196323,0.854171026,1.90539777
-0.663595516,0.0218126283,0.258258386,0.56223344
1.08850053,0.163795404,-1.73873059,0.77418403
1.19810689,0.677605622,-0.751233294,0.623380796
0.650421752,0.808667349,-0.136343931,-1.83945063
0.134757349,0.375897999,-0.135333853,2.31714536
1.73269584,1.23900359,-1.49778841,-1.02535219
-1.46977839,-0.764729981,1.11234861,0.297842981
-2.03726349,-1.91416383,1.27897503,0.745855732
-0.541263516,-1.24055006,0.341260594,-1.6968349
1.32595568,0.448915147,-1.33128084,0.373548959
1.56292704,1.01898681,-2.0430139,1.124565
0.260122354,0.250766165,0.0526678221,-0.306902944
-0.218118955,0.133249595,0.222486128,1.13222693
0.309646211,0.359691307,-0.150081933,0.250422607
0.323761999,0.536929113,-1.60929204,-1.38574844
0.550092265,0.302299497,-0.326570434,1.10702714
-1.02295001,-0.371678387,0.284753257,-0.0986463141
0.1115761,0.511949316,0.369642549,0.114979714
-0.219977556,0.409530217,-0.890032071,-0.674377328
-0.445110973,-0.0940932116,1.10558118,0.741232542
-1.92302744,-1.00310487,1.73482779,0.767480501
0.567447583,0.147603142,0.859189601,0.85046007
0.186008449,-0.404688973,-0.0960230454,0.332053315
1.00531379,0.227961027,-0.673007535,0.213289954
-2.44742806,-1.8979815,1.19968292,0.295700412
0.20163941,0.56028131,-0.796463671,0.292036096
0.215914733,0.572435238,-0.448643132,1.30710915
1.34568176,1.58697215,-2.3494842,-0.697630171
0.936552179,0.101540662,-0.97517037,-0.510555259
-1.07959338,0.161709174,1.69132888,-0.562415965
0.659810425,0.288321324,0.702151983,1.11992684
-0.441216692,-0.199070429,0.196869585,0.442991343
-2.05454336,-2.05137403,1.37275551,-0.278563736
0.49628566,0.772941548,-0.425421752,0.479336277
-0.147046538,0.188439699,0.415680444,-0.240383978
-0.636298423,0.0790557415,0.718313029,-0.115931576
1.77719081,1.00822535,-0.329594485,-0.884502201
0.856938826,1.05517036,-0.509013409,0.568305395
0.016487974,0.430673726,-0.710771037,-1.32393579
1.63457432,1.61039082,-0.921248021,1.58301381
0.431596507,0.0260247138,-0.940890876,-1.48094592
0.637379692,0.812755526,-0.6325141,0.646551242
-1.67052603,-0.833054074,1.083442,2.34205567
0.318936091,0.527521681,-0.154890288,-0.488325269
0.115749228,-0.638342757,-0.234183497,-0.469677251
0.00301418392,-0.534990892,0.299040127,0.00726180429
-0.394784189,-0.326870742,0.542175731,-1.13432024
0.147632878,0.301063426,-0.553585345,-0.770658933
0.203257367,-0.298648684,-0.551734899,-0.961464905
-0.224566659,0.339061757,-0.0855803119,1.94073032
0.346122932,0.663259595,-0.587747831,-1.99417475
0.0959573351,0.452046975,1.13024967,-1.16872824
1.94886885,1.2076902,-1.36892964,-1.56741213
-0.194332174,0.453520324,-0.329386022,0.478616928
-2.16768751,-2.36384529,1.23370585,1.61199066
0.497792662,0.625810056,-0.718758613,-0.171781391
0.424498702,-0.157868034,-1.13757938,1.10068417
0.271717827,0.22513287,0.123884623,1.57498397
-0.563482672,-0.130098784,0.480240266,-1.45942712
-0.412740235,0.194325519,0.878327006,1.14824854
-0.192982624,-0.113428719,-0.160272317,0.418075487
0.169697163,0.271349218,0.14464589,-0.0896477056
0.872205442,0.175913915,-0.875202703,0.878710066
-1.37508225,-0.603344858,1.49257744,-0.521629279
0.236019377,0.502410534,-0.739064601,-0.221472037
-1.21846259,-0.958641504,1.28038723,-0.235021976
