投入,得分,任务
2.61992958,80.4047751,简单
2.51778692,79.7331169,简单
2.22431928,79.6422438,简单
1.85272635,78.9880041,简单
1.44380791,77.8424854,简单
2.26168981,81.2652579,简单
3.86286506,83.8938403,简单
3.56916037,82.0568222,简单
1.98547595,79.087571,简单
1.02045185,77.1122264,简单
3.35607155,81.480637,简单
1.12143417,76.8289131,简单
2.2395155,81.8759935,简单
1.76235157,78.5198445,简单
2.35449791,80.5678033,简单
3.82178669,83.1368729,简单
2.54869245,80.9102274,简单
1.7387941,77.5454778,简单
1.60033782,78.5681439,简单
2.81027989,81.2851988,简单
2.83566822,82.0143477,简单
1.84395381,77.5663211,简单
2.78269358,80.4018973,简单
1.45640937,78.0675869,简单
1.00886884,76.8382322,简单
3.7917487,86.3302427,简单
1.43772601,76.8320637,简单
3.29457571,79.1999179,简单
1.95476101,79.5995319,简单
3.30412189,82.4375889,简单
2.70303824,79.1727195,简单
3.34520671,82.5734954,简单
1.78550481,76.3707822,简单
1.20353724,77.9219022,简单
2.28772903,81.1703454,简单
3.98384498,84.0092677,简单
1.83959081,78.1722479,简单
3.55952202,82.9517321,简单
2.91139519,80.366001,简单
1.79359319,79.5782636,简单
2.42520138,79.1834624,简单
3.52946088,82.0122793,简单
2.78808144,80.3969356,简单
1.44804355,78.4818501,简单
3.84195903,83.1135707,简单
1.07065685,76.5904493,简单
1.72741531,79.0864634,简单
3.17936267,82.2130351,简单
2.81915251,81.6599375,简单
1.62300456,76.1040393,简单
2.09120016,79.0431225,简单
1.75150141,78.9688651,简单
1.32097222,78.2920989,简单
3.43842419,82.6552295,简单
1.8020012,78.4550314,简单
2.28975769,79.5432454,简单
1.30533562,77.3422272,简单
1.62523843,77.7161718,简单
1.00620366,75.293929,简单
2.30614133,79.7524246,简单
2.0628976,79.1727695,简单
1.02301067,78.0885399,简单
1.70497818,77.4324763,简单
1.99989995,79.5455985,简单
2.74335663,80.3878457,简单
1.24773542,77.8150464,简单
2.1414899,79.7427584,简单
1.03407866,77.0848723,简单
3.33295222,81.9212182,简单
2.69521285,81.4234242,简单
2.83410619,80.4223521,简单
1.05668869,76.3853388,简单
1.28918977,77.7236516,简单
3.50534757,80.4842854,简单
1.03498286,77.1558865,简单
2.09711078,78.0979548,简单
2.0551094,80.2590357,简单
1.2244674,77.2871969,简单
3.62519054,82.7709836,简单
1.86418031,78.2080575,简单
2.13930489,79.0366475,简单
2.45207868,80.304685,简单
2.45318271,79.1036715,简单
