反馈编号,字数,情绪指数,优先复核
1,142,0.500207311,False
2,256,0.0867958028,False
3,113,0.40407237,False
4,346,-0.0276779726,True
5,57,-0.0739739291,False
6,158,0.0818111761,False
7,347,0.454503828,False
8,339,-0.659698575,True
9,199,0.608640474,False
10,136,0.221974243,False
11,430,0.649003318,False
12,211,-0.414619168,True
13,384,0.258439467,False
14,423,0.366505099,False
15,213,-0.38032154,True
16,26,0.193426221,False
17,431,0.25009575,False
18,275,0.489338644,False
19,399,0.429432532,False
20,420,-0.0416350831,True
21,425,0.485291609,False
22,140,0.583239825,False
23,107,0.197376092,False
24,84,0.214619977,False
25,152,0.202409889,False
26,29,0.270280559,False
27,130,-0.234207634,False
28,262,-0.228341749,True
29,254,0.0645976432,False
30,309,-0.00406577119,True
31,206,0.608978627,False
32,352,0.748068415,False
33,251,0.494063818,False
34,280,-0.356073972,True
35,395,0.156494896,False
36,112,-0.118836898,False
37,300,-0.593937949,True
38,342,0.0936996529,False
39,353,0.331527471,False
40,39,0.248180361,False
41,45,0.394912292,False
42,443,0.314370505,False
43,72,0.309081501,False
44,65,0.307870527,False
45,163,-0.307066885,False
46,140,-0.135159632,False
47,33,0.180442021,False
48,320,-0.0754403414,True
49,347,-0.29964076,True
50,223,0.0769057622,False
51,362,-0.529980595,True
52,192,-0.123239542,False
53,329,-0.775951122,True
54,298,-0.836949586,True
55,215,-0.527597977,True
56,422,0.631343983,False
57,348,-0.226930269,True
58,142,-0.18197711,False
59,271,0.174230142,False
60,192,0.557957473,False
61,179,0.944427075,False
62,35,-0.0259859668,False
63,228,-0.115521897,True
64,69,0.0872706254,False
65,59,0.649311341,False
66,201,0.463253912,False
67,309,-0.0658674514,True
68,344,0.00172129565,False
69,414,0.556301308,False
70,448,0.693402793,False
71,140,0.0366126341,False
72,33,0.103791551,False
73,348,0.156397517,False
74,122,0.140692893,False
75,170,-0.231540107,False
76,402,0.00937494441,False
77,165,-0.122409802,False
78,441,-0.269640028,True
79,174,-0.613509169,False
80,121,-0.258151409,False
81,231,-0.140587407,True
82,430,-0.135308821,True
83,213,-0.408719455,True
84,309,0.0942343274,False
85,103,-0.00412917434,False
86,154,-0.106257814,False
87,284,0.557504717,False
88,39,0.801625204,False
89,37,0.0687548065,False
90,330,0.57062518,False
91,213,0.305528484,False
92,128,1,False
93,128,-0.185111256,False
94,146,-0.793180187,False
95,167,-0.00782413952,False
96,184,0.00212949374,False
97,180,-0.0997269543,False
98,412,0.316221287,False
99,57,0.588957384,False
100,215,-0.161408448,True
101,22,0.562287476,False
102,134,0.270618826,False
103,297,0.581892132,False
104,72,-0.378223891,False
105,353,0.447298728,False
106,369,-0.323889689,True
107,430,-0.211205837,True
108,80,0.40195204,False
109,319,0.191783732,False
110,327,-0.129352458,True
111,133,0.091541605,False
112,260,0.122065548,False
113,432,-0.37451928,True
114,50,0.014662911,False
115,292,-0.179790859,True
116,217,0.024223595,False
117,225,-0.271088263,True
118,361,0.138977426,False
119,198,-0.0765262761,False
120,72,0.885966806,False
121,315,-0.838667174,True
122,176,0.24508355,False
123,37,0.112715541,False
124,326,0.0164738612,False
125,403,0.503632863,False
126,435,-0.0704835056,True
127,438,-0.421484262,True
128,239,-0.020751189,True
129,28,-0.0535254912,False
130,255,0.378325901,False
131,282,-0.139349459,True
132,53,-0.158439979,False
133,124,0.769707763,False
134,403,-0.16860094,True
135,372,-0.752697638,True
136,194,0.442674714,False
137,219,-0.151965258,True
138,80,0.0185560352,False
139,68,0.152796433,False
140,449,-0.789384334,True
141,334,-0.0435054693,True
142,130,-0.692433714,False
143,156,-0.6028781,False
144,256,0.145158286,False
145,236,0.0699626567,False
146,213,-0.05756773,True
147,408,0.569774295,False
148,409,0.23368008,False
149,397,-0.310594629,True
150,284,0.563262255,False
151,334,0.273636502,False
152,131,0.282916084,False
153,336,0.573806131,False
154,384,0.337569909,False
155,307,-0.0143488652,True
156,354,0.0322207356,False
157,372,0.36213286,False
158,404,-0.184241886,True
159,436,-0.332477586,True
160,50,0.0690862697,False
161,238,-0.211879181,True
162,102,-0.257996671,False
163,316,0.112147668,False
164,176,-0.132821477,False
165,444,0.543798179,False
166,231,0.356537218,False
167,382,-0.10081518,True
168,371,-0.772403944,True
169,141,0.691051361,False
170,24,-1,False
171,404,-0.391801951,True
172,191,-0.713739098,False
173,150,-0.696887089,False
174,350,-0.0106967699,True
175,210,0.437226281,False
176,227,0.71379573,False
177,285,0.802212675,False
178,433,-0.55668551,True
179,287,-0.62951477,True
180,205,0.0920988227,False
