组别,耗时
甲,19.1893475
甲,27.768707
甲,18.3251674
甲,23.5748689
甲,25.2689344
甲,20.6952381
甲,12.6184832
甲,20.0622099
甲,19.2182906
甲,18.6198978
甲,18.4587653
甲,16.1667257
甲,17.4825808
甲,21.1939209
甲,23.0555927
甲,15.1925941
甲,19.2840692
甲,22.8646922
甲,18.6585519
甲,25.6241749
甲,17.7655489
甲,27.6076677
甲,19.2667879
甲,21.2027957
甲,19.6264795
甲,28.4727807
甲,12.715245
甲,26.0213017
甲,18.5266424
甲,16.5547602
甲,18.7835223
甲,16.859169
甲,17.7455939
甲,18.122356
甲,20.388181
甲,18.7843581
甲,15.0543507
甲,19.4351534
甲,24.2171468
甲,15.4341767
乙,19.6782093
乙,23.4377075
乙,15.5720621
乙,25.7466996
乙,24.406888
乙,20.5158756
乙,20.9611206
乙,23.4309039
乙,21.2419025
乙,20.064064
乙,15.4713817
乙,19.997781
乙,15.8510302
乙,27.193334
乙,18.0985778
乙,15.8947872
乙,16.6750667
乙,11.6722624
乙,30.2235944
乙,28.8125669
乙,17.0152283
乙,21.238569
乙,22.7579203
乙,29.853829
乙,29.8939305
乙,23.4864186
乙,22.2156944
乙,20.0301552
乙,8.03930735
乙,28.1997161
乙,23.052838
乙,1.70099827
乙,23.6687737
乙,18.8755613
乙,13.9595102
乙,33.7659004
乙,29.0763919
乙,34.0265224
乙,27.5574729
乙,29.0196606
丙,20.9834536
丙,16.1557284
丙,18.51331
丙,16.2519793
丙,17.4148334
丙,22.8700193
丙,13.8076943
丙,20.9165453
丙,16.2824635
丙,21.0767609
丙,17.0123984
丙,16.7937973
丙,19.6273105
丙,11.5015179
丙,22.0367332
丙,20.4053103
丙,19.2649559
丙,18.4941462
丙,20.4317574
丙,14.1013379
丙,20.0531109
丙,24.5636229
丙,15.7503734
丙,15.0567669
丙,15.1229578
丙,17.1985033
丙,21.0449093
丙,16.6477519
丙,20.5986002
丙,18.446985
丙,20.6860621
丙,19.6648975
丙,10.5220624
丙,12.368525
丙,17.7297428
丙,22.1142197
丙,18.1492197
丙,16.2823165
丙,19.4029236
丙,13.3449065
丁,23.9600617
丁,27.601057
丁,18.9698649
丁,19.933352
丁,18.0576325
丁,24.7454174
丁,21.8568996
丁,30.5336288
丁,30.2593354
丁,26.8157203
丁,26.1074901
丁,21.1550105
丁,28.0757162
丁,21.2425616
丁,21.8356689
丁,22.168898
丁,32.3254309
丁,29.3533129
丁,22.5072802
丁,22.9061694
丁,22.5773458
丁,24.9180807
丁,21.6569668
丁,26.9645256
丁,26.4274861
丁,18.7385355
丁,22.8973016
丁,26.2949013
丁,27.0953112
丁,29.4807083
丁,27.0358361
丁,39.8489845
丁,26.3260403
丁,21.7629835
丁,24.1582525
丁,20.200221
丁,20.5847011
丁,24.3563492
丁,32.0183264
丁,28.5193371
