user_id,days_since_visit,sessions_30d,tickets_30d,tenure_days,churn_next14d
0,28,11,1,152,0
1,2,4,2,669,0
2,7,10,0,463,1
3,7,12,0,82,0
4,6,6,1,53,0
5,28,6,1,441,1
6,1,5,0,712,0
7,29,9,1,93,1
8,10,10,1,355,0
9,29,9,0,121,1
10,16,12,0,444,0
11,3,11,0,426,0
12,6,8,0,197,0
13,17,4,2,244,1
14,14,5,1,291,0
15,5,6,0,633,0
16,2,11,0,656,0
17,19,5,1,144,0
18,10,5,0,352,0
19,26,6,1,162,1
20,6,9,0,313,0
21,17,6,0,680,0
22,3,10,0,359,0
23,20,8,0,149,0
24,21,7,0,583,1
25,21,4,1,207,1
26,28,8,1,698,1
27,29,9,1,592,0
28,24,9,0,289,1
29,3,9,0,527,0
30,9,8,0,642,1
31,25,6,0,259,0
32,16,8,1,635,0
33,1,12,0,399,0
34,25,9,1,221,1
35,13,10,1,357,0
36,7,9,1,310,0
37,16,5,0,258,0
38,11,10,1,676,1
39,19,8,2,175,1
40,15,11,0,723,0
41,25,6,1,610,0
42,20,12,0,117,1
43,25,5,1,627,1
44,20,11,0,486,0
45,26,9,1,560,1
46,13,7,0,33,0
47,13,9,0,132,0
48,19,8,1,177,0
49,14,8,0,359,0
50,19,10,3,309,1
51,19,8,2,169,1
52,1,6,1,203,0
53,23,7,0,557,1
54,12,12,1,596,0
55,18,5,0,54,0
56,6,16,1,702,0
57,7,4,1,212,0
58,22,10,0,560,0
59,20,8,1,351,0
60,6,8,1,198,0
61,16,11,0,17,1
62,26,11,2,165,0
63,29,5,0,484,1
64,27,11,0,355,1
65,5,9,0,691,0
66,0,8,1,125,0
67,9,7,0,340,0
68,27,6,1,367,1
69,2,12,0,689,0
70,21,13,0,368,0
71,19,3,0,460,0
72,15,5,1,81,1
73,21,8,2,365,1
74,11,4,1,569,0
75,13,5,0,536,0
76,26,8,1,192,1
77,26,11,1,612,0
78,17,7,0,62,0
79,28,7,0,60,0
80,14,13,0,532,0
81,6,11,0,581,1
82,23,8,0,93,1
83,2,7,0,289,1
84,5,7,0,22,0
85,10,10,0,627,0
86,24,8,0,446,0
87,8,7,0,552,0
88,22,7,0,149,0
89,7,7,1,624,0
90,28,4,0,701,1
91,26,10,0,710,1
92,0,5,0,60,0
93,29,13,1,48,0
94,28,5,1,86,1
95,4,10,2,47,1
96,17,5,0,487,0
97,11,7,1,215,0
98,2,9,0,426,0
99,15,9,1,616,0
100,4,6,0,309,0
101,27,11,0,722,0
102,16,13,0,185,0
103,14,7,1,44,0
104,2,8,1,94,0
105,20,6,1,471,0
106,11,8,0,313,0
107,9,7,0,201,0
108,14,10,0,16,0
109,16,10,3,329,0
110,10,4,3,657,0
111,4,12,0,614,0
112,29,9,1,540,1
113,2,6,0,660,0
114,2,7,0,666,0
115,21,7,0,665,1
116,27,8,1,88,1
117,13,8,3,46,0
118,13,8,1,285,0
119,15,6,0,692,0
120,0,11,0,303,0
121,22,8,0,254,0
122,10,12,1,17,0
123,26,10,2,632,1
124,23,5,1,411,1
125,15,11,0,234,0
126,21,7,0,491,0
127,3,7,0,599,0
128,0,8,1,595,0
129,5,9,0,477,0
130,25,5,0,659,0
131,21,5,0,346,1
132,12,13,0,574,0
133,9,9,0,482,0
134,14,9,1,276,0
135,19,7,0,236,0
136,18,5,0,726,0
137,6,7,0,536,0
138,15,9,0,274,0
139,2,7,0,339,0
140,13,8,1,720,0
141,13,8,1,179,0
142,20,8,1,509,0
143,13,5,0,181,1
144,3,7,0,304,0
145,7,6,0,108,0
146,20,4,1,21,1
147,6,10,0,269,0
148,5,4,0,625,0
149,5,8,0,113,0
150,26,7,1,367,0
151,16,9,0,282,0
152,12,14,1,693,0
153,22,8,0,506,0
154,15,11,0,85,0
155,27,5,0,602,1
156,1,8,0,689,0
157,23,6,0,67,1
158,3,10,1,200,0
159,12,5,3,665,0
160,22,7,0,585,0
161,22,10,0,524,0
162,11,8,1,612,0
163,0,7,0,155,0
164,8,6,0,78,0
165,7,5,0,18,0
166,14,8,1,585,1
167,17,8,0,47,0
168,29,5,2,468,1
169,29,12,0,624,1
170,5,6,2,319,1
171,4,8,0,573,0
172,14,7,3,585,0
173,26,12,0,103,1
174,22,3,0,328,1
175,2,9,3,624,0
176,5,6,0,52,0
177,22,11,2,608,0
178,15,8,0,599,0
179,7,9,0,420,0
180,0,13,0,117,0
181,4,8,1,142,0
182,0,6,1,532,0
183,19,13,0,169,0
184,25,2,1,136,0
185,26,10,0,258,0
186,9,16,0,168,0
187,24,6,0,495,1
188,13,11,1,619,0
189,0,9,1,347,1
190,14,13,0,82,0
191,1,10,0,26,0
192,23,6,0,51,0
193,20,7,1,681,1
194,26,4,0,282,1
195,25,9,2,712,1
196,18,7,0,699,0
197,13,10,2,659,0
198,19,7,0,474,0
199,18,11,0,305,0
200,2,9,0,541,0
201,8,3,0,555,0
202,19,2,3,72,1
203,25,10,2,522,1
204,3,3,1,474,0
205,10,11,1,75,0
206,0,7,0,491,0
207,13,11,0,589,0
208,14,10,2,328,0
209,9,10,2,670,0
210,26,10,0,525,1
211,16,7,0,412,0
212,3,5,0,206,0
213,25,11,1,27,1
214,22,6,0,120,1
215,2,9,0,291,0
216,10,11,1,443,0
217,9,9,0,95,1
218,1,3,0,449,0
219,13,12,0,20,0
220,17,7,2,244,1
221,16,10,1,334,0
222,13,4,1,389,0
223,12,11,0,120,0
224,13,8,0,357,1
225,29,10,1,527,1
226,4,8,2,109,0
227,0,11,1,537,0
228,16,7,0,397,0
229,6,9,1,77,0
230,14,7,0,725,0
231,21,6,0,372,0
232,7,9,0,134,0
233,1,10,0,34,1
234,8,6,0,461,0
235,8,12,0,53,0
236,4,9,0,267,0
237,5,11,0,435,0
238,17,10,0,279,0
239,20,2,0,694,1
240,19,9,0,696,1
241,6,11,1,564,0
242,14,9,0,327,0
243,18,9,0,531,0
244,11,3,0,260,0
245,4,8,0,155,0
246,20,7,1,245,0
247,0,9,0,618,0
248,16,6,0,218,0
249,20,4,0,636,0
250,18,11,0,164,1
251,20,7,2,167,1
252,0,12,1,296,0
253,19,5,2,455,1
254,21,6,1,600,1
255,6,7,1,531,0
256,21,7,0,139,1
257,7,7,0,504,0
258,21,8,0,525,1
259,29,7,0,44,1
260,10,11,1,418,0
261,1,5,2,205,0
262,14,12,0,614,0
263,13,9,0,563,0
264,4,8,3,15,0
265,13,2,0,21,0
266,0,9,1,509,0
267,25,16,1,434,0
268,18,7,1,526,0
269,21,11,1,703,0
270,11,6,0,541,0
271,11,15,1,396,1
272,25,4,0,69,1
273,4,12,0,124,0
274,13,14,0,322,0
275,20,8,1,110,0
276,3,8,0,110,0
277,24,6,1,96,1
278,5,9,0,316,1
279,19,6,0,581,1
280,5,6,2,158,0
281,27,7,1,418,0
282,5,9,1,169,0
283,23,5,2,159,1
284,27,5,2,172,1
285,21,9,1,509,0
286,25,9,0,161,0
287,27,5,0,261,0
288,7,3,0,537,0
289,28,9,0,248,0
290,10,9,0,248,0
291,20,9,2,621,1
292,5,17,0,685,0
293,16,13,0,96,0
294,4,5,0,195,0
295,9,5,0,66,0
296,23,10,0,165,0
297,24,8,0,143,1
298,7,7,0,467,0
299,26,10,0,409,1
300,4,5,0,316,1
301,23,5,0,726,1
302,9,7,1,726,0
303,28,16,0,198,0
304,21,12,0,353,1
305,5,6,0,299,0
306,11,10,1,523,0
307,17,9,0,535,0
308,23,6,0,388,0
309,14,9,0,121,0
310,29,8,2,172,0
311,27,6,0,391,0
312,8,6,1,417,0
313,15,9,0,282,0
314,0,6,0,723,0
315,10,11,0,577,1
316,27,9,0,63,1
317,8,6,1,168,0
318,15,10,2,514,0
319,4,9,0,425,0
320,2,10,0,306,1
321,25,4,2,227,1
322,20,9,0,373,0
323,4,9,1,608,0
324,8,6,0,682,0
325,14,12,0,323,0
326,20,12,1,541,0
327,4,3,2,663,0
328,23,7,0,222,1
329,10,8,0,367,0
330,29,5,0,537,1
331,4,10,1,411,0
332,1,11,0,378,0
333,19,6,1,510,0
334,11,10,0,603,0
335,8,8,3,131,0
336,19,7,1,445,1
337,24,7,0,52,1
338,1,9,0,46,0
339,5,5,0,651,0
340,8,10,1,479,0
341,23,7,2,689,0
342,22,8,1,574,0
343,28,9,1,55,0
344,2,8,0,429,0
345,10,4,0,700,0
346,17,5,0,309,0
347,15,6,1,621,0
348,7,8,1,207,0
349,21,14,1,379,1
350,7,8,0,371,0
351,8,7,0,328,1
352,7,4,0,473,0
353,27,8,1,284,1
354,13,8,0,387,0
355,12,7,0,391,0
356,3,11,0,339,0
357,24,4,1,418,1
358,16,7,1,629,1
359,9,7,0,474,0
360,28,7,1,537,0
361,13,5,1,279,1
362,29,10,1,674,1
363,8,4,0,121,0
364,22,14,1,150,0
365,5,8,2,501,0
366,0,7,1,581,0
