user_id,recency_days,frequency_90d,monetary_90d
0,4,4,200.69
1,5,3,147.29
2,3,3,193.87
3,3,2,261.42
4,26,18,1101.78
5,5,3,133.49
6,34,15,1013.67
7,7,3,193.98
8,33,1,180.54
9,4,15,1189.38
10,59,1,122.97
11,3,18,1468.44
12,7,18,1221.17
13,39,14,754.63
14,39,1,78.1
15,4,29,1310.11
16,5,2,219.67
17,7,11,1661.35
18,8,3,267.63
19,4,3,220.33
20,18,13,1525.91
21,21,18,791.32
22,37,17,958.33
23,4,4,215.18
24,66,1,79.12
25,4,3,247.4
26,59,2,144.97
27,32,19,892.28
28,4,18,1795.19
29,22,11,1357.65
30,63,2,110.91
31,3,3,197.65
32,15,12,787.08
33,52,1,74.93
34,39,1,95.49
35,48,2,95.47
36,46,1,181.87
37,5,2,283.2
38,25,13,1751.64
39,25,15,930.29
40,5,16,1021.29
41,4,3,211.46
42,45,1,123.3
43,5,2,210.09
44,4,12,1160.67
45,4,4,241.94
46,6,19,1410.2
47,21,22,1447.68
48,7,2,271.87
49,4,3,173.17
50,22,21,1654.15
51,25,14,1142.09
52,6,12,2798.45
53,43,1,90.09
54,5,2,210.83
55,30,1,130.2
56,4,3,216.01
57,46,1,85.41
58,3,3,176.64
59,4,3,220.4
60,4,16,2016.88
61,5,14,1240.55
62,20,16,1057.15
63,6,17,1057.96
64,67,2,70.52
65,24,21,804.79
66,3,16,1984.53
67,3,12,2065.15
68,3,13,887.08
69,26,18,609.73
70,4,16,1907.43
71,2,11,2581.34
72,38,1,96.78
73,49,1,88.67
74,52,14,1105.3
75,6,2,141.49
76,4,3,213.74
77,10,16,1504.92
78,4,12,895.75
79,7,18,1606.77
80,23,18,1269.24
81,4,14,2394.27
82,4,3,385.17
83,28,20,1423.4
84,7,4,305.68
85,8,2,374.54
86,3,2,254.34
87,30,14,939.26
88,5,1,160.32
89,30,20,1545.29
90,57,2,152.27
91,54,1,110.9
92,6,2,198.73
93,5,15,1917.37
94,40,1,45.08
95,6,4,197.6
96,4,15,1925.73
97,55,4,134.98
98,3,3,324.26
99,4,17,1342.02
100,4,22,1166.91
101,4,2,140.08
102,23,21,996.53
103,6,2,306.13
104,18,15,790.97
105,4,15,1280.53
106,42,1,121.67
107,56,1,152.25
108,4,4,244.66
