user_id,spend_30d,orders_30d,active_days_30d,spend_next30d
0,549.28,5,3,521.88
1,42.6,4,21,426.71
2,449.21,6,9,693.52
3,464.89,6,3,516.33
4,316.11,7,30,681.93
5,249.26,5,8,416.66
6,334.11,4,4,576.36
7,242.71,3,8,218.76
8,361.71,2,10,284.43
9,938.75,2,6,862.0
10,1149.96,4,24,1071.06
11,516.91,7,26,703.75
12,614.32,6,19,691.63
13,536.02,1,13,637.18
14,430.21,8,8,589.68
15,363.71,4,27,737.73
16,733.72,3,30,749.32
17,469.03,5,13,679.03
18,795.14,4,21,866.2
19,208.38,6,23,535.99
20,344.69,4,12,431.28
21,253.96,7,27,642.34
22,955.88,4,16,966.64
23,264.75,4,26,363.37
24,930.28,1,17,959.77
25,378.35,3,12,637.11
26,214.49,1,1,310.37
27,361.44,7,24,680.24
28,251.65,8,21,636.23
29,240.65,8,29,734.79
30,685.78,4,16,703.14
31,698.65,2,10,882.15
32,98.55,4,3,250.41
33,338.37,4,7,419.21
34,708.93,7,28,988.66
35,228.4,4,11,476.79
36,957.42,4,13,986.4
37,327.28,2,4,362.87
38,479.83,3,7,515.89
39,1232.52,2,26,1143.09
40,501.18,6,28,801.24
41,345.91,2,2,321.43
42,421.12,1,9,280.73
43,690.88,3,24,742.36
44,392.07,6,20,561.24
45,712.23,4,17,785.13
46,186.03,3,9,332.67
47,473.48,7,29,772.1
48,295.58,3,24,413.53
49,365.99,5,28,586.99
50,746.21,6,26,749.22
51,186.18,7,26,540.68
52,794.17,4,3,759.95
53,211.73,3,13,379.46
54,534.72,7,3,696.36
55,1064.51,5,6,923.43
56,395.54,3,30,798.13
57,342.14,6,29,745.03
58,224.85,4,17,342.62
59,132.75,3,29,621.42
60,803.79,5,14,896.23
61,311.76,3,18,510.45
62,318.3,1,8,509.6
63,1078.25,3,12,925.96
64,142.22,2,10,350.53
65,988.58,3,2,923.04
66,998.87,6,8,1121.71
67,446.54,4,1,469.71
68,396.02,3,17,601.72
69,688.87,2,12,747.83
70,435.15,4,6,594.25
71,858.78,3,23,1072.46
72,886.3,3,20,830.2
73,639.52,8,30,1051.88
74,550.95,4,16,566.19
75,401.6,6,22,750.38
76,708.24,6,9,854.63
77,722.19,1,15,701.79
78,133.58,4,11,358.41
79,603.7,4,12,718.91
80,188.64,4,30,532.48
81,242.45,2,18,305.87
82,259.08,4,2,421.64
83,420.13,4,19,679.03
84,244.82,3,23,410.8
85,176.13,8,10,460.72
86,361.48,3,26,574.85
87,110.13,2,6,158.87
88,540.31,3,6,538.57
89,227.28,3,12,337.26
90,333.19,3,19,405.26
91,188.17,5,10,475.97
92,277.02,3,25,517.92
93,852.4,2,22,760.57
94,707.1,3,19,550.97
95,586.7,5,29,875.81
96,393.32,3,18,547.43
97,194.84,6,1,422.86
98,597.77,4,18,741.8
99,196.01,7,19,504.03
100,901.45,7,4,869.97
101,936.1,6,14,944.22
102,117.6,5,30,625.54
103,484.17,6,7,564.34
104,1338.6,3,30,1349.57
105,1121.49,8,22,1147.86
106,403.33,4,13,657.52
107,242.91,2,18,328.95
108,503.76,6,8,762.31
109,1294.8,6,28,1446.64
110,248.14,4,22,739.26
111,267.76,2,5,394.92
112,143.91,5,6,329.35
113,250.67,6,18,774.31
114,738.29,4,17,788.31
115,436.69,2,9,621.12
116,722.91,2,12,684.78
117,821.76,6,2,758.27
118,752.25,3,25,754.66
119,496.27,3,20,724.62
120,155.52,1,1,346.13
121,497.06,4,19,626.06
122,598.26,6,27,738.02
123,389.35,7,27,729.73
124,106.76,1,19,278.27
125,302.8,5,4,414.07
126,218.58,6,9,499.82
127,141.98,3,24,554.52
128,1360.61,5,6,1066.08
129,192.55,7,12,473.75
130,678.72,5,4,587.05
131,720.58,2,4,796.48
132,315.51,4,24,536.41
133,561.1,4,13,682.56
134,896.15,3,16,901.37
135,380.62,6,7,595.14
136,352.64,6,27,802.95
137,368.64,1,13,451.32
138,1624.96,5,13,1469.88
139,830.14,2,20,848.31
140,1288.58,3,22,1159.03
141,617.01,3,7,627.41
142,1023.01,3,24,985.83
143,180.08,4,30,647.05
144,585.37,7,15,772.47
145,644.45,3,25,702.15
146,1161.81,4,30,1233.34
147,752.06,4,25,787.55
148,351.38,3,13,576.67
149,212.36,3,7,367.3
150,273.41,3,20,493.77
151,150.95,3,26,521.74
152,777.64,4,21,890.65
153,1326.18,5,12,1157.31
154,408.81,3,2,392.09
155,527.13,4,11,668.34
156,401.66,3,17,556.71
157,610.39,2,16,671.68
158,536.07,2,21,717.11
159,286.06,4,3,425.62
160,485.75,2,1,531.13
161,371.86,4,18,531.07
162,609.74,2,14,666.38
163,340.99,8,9,572.49
164,500.07,3,24,659.0
165,233.65,3,2,329.45
166,645.77,6,7,664.77
167,497.49,7,22,647.56
168,302.93,3,6,293.55
169,135.28,7,30,553.87
170,147.75,3,16,364.53
171,255.02,2,2,240.58
172,195.48,2,17,364.89
173,1019.58,7,21,995.25
174,267.46,3,13,343.94
175,145.77,4,2,332.9
176,101.2,4,4,511.87
177,30.73,3,18,241.38
178,622.74,6,9,832.83
179,230.14,2,20,322.21
180,265.85,7,6,573.0
181,583.93,3,2,566.98
182,243.51,5,3,358.28
