user_id,recency_days,frequency_90d,monetary_90d,cluster
0,4,4,200.69,2
1,5,3,147.29,2
2,3,3,193.87,2
3,3,2,261.42,2
4,26,18,1101.78,3
5,5,3,133.49,2
6,34,15,1013.67,3
7,7,3,193.98,2
8,33,1,180.54,1
9,4,15,1189.38,0
10,59,1,122.97,1
11,3,18,1468.44,0
12,7,18,1221.17,0
13,39,14,754.63,3
14,39,1,78.1,1
15,4,29,1310.11,0
16,5,2,219.67,2
17,7,11,1661.35,0
18,8,3,267.63,2
19,4,3,220.33,2
20,18,13,1525.91,3
21,21,18,791.32,3
22,37,17,958.33,3
23,4,4,215.18,2
24,66,1,79.12,1
25,4,3,247.4,2
26,59,2,144.97,1
27,32,19,892.28,3
28,4,18,1795.19,0
29,22,11,1357.65,3
30,63,2,110.91,1
31,3,3,197.65,2
32,15,12,787.08,3
33,52,1,74.93,1
34,39,1,95.49,1
35,48,2,95.47,1
36,46,1,181.87,1
37,5,2,283.2,2
38,25,13,1751.64,3
39,25,15,930.29,3
40,5,16,1021.29,0
41,4,3,211.46,2
42,45,1,123.3,1
43,5,2,210.09,2
44,4,12,1160.67,0
45,4,4,241.94,2
46,6,19,1410.2,0
47,21,22,1447.68,3
48,7,2,271.87,2
49,4,3,173.17,2
50,22,21,1654.15,3
51,25,14,1142.09,3
52,6,12,2798.45,0
53,43,1,90.09,1
54,5,2,210.83,2
55,30,1,130.2,1
56,4,3,216.01,2
57,46,1,85.41,1
58,3,3,176.64,2
59,4,3,220.4,2
60,4,16,2016.88,0
61,5,14,1240.55,0
62,20,16,1057.15,3
63,6,17,1057.96,0
64,67,2,70.52,1
65,24,21,804.79,3
66,3,16,1984.53,0
67,3,12,2065.15,0
68,3,13,887.08,0
69,26,18,609.73,3
70,4,16,1907.43,0
71,2,11,2581.34,0
72,38,1,96.78,1
73,49,1,88.67,1
74,52,14,1105.3,3
75,6,2,141.49,2
76,4,3,213.74,2
77,10,16,1504.92,0
78,4,12,895.75,0
79,7,18,1606.77,0
80,23,18,1269.24,3
81,4,14,2394.27,0
82,4,3,385.17,2
83,28,20,1423.4,3
84,7,4,305.68,2
85,8,2,374.54,2
86,3,2,254.34,2
87,30,14,939.26,3
88,5,1,160.32,2
89,30,20,1545.29,3
90,57,2,152.27,1
91,54,1,110.9,1
92,6,2,198.73,2
93,5,15,1917.37,0
94,40,1,45.08,1
95,6,4,197.6,2
96,4,15,1925.73,0
97,55,4,134.98,1
98,3,3,324.26,2
99,4,17,1342.02,0
100,4,22,1166.91,0
101,4,2,140.08,2
102,23,21,996.53,3
103,6,2,306.13,2
104,18,15,790.97,3
105,4,15,1280.53,0
106,42,1,121.67,1
107,56,1,152.25,1
108,4,4,244.66,2
109,20,14,1234.66,3
110,4,4,222.06,2
111,29,16,1141.75,3
112,32,20,3002.89,3
113,3,4,287.41,2
114,9,3,242.69,2
115,3,3,181.09,2
116,4,4,351.03,2
117,36,12,1473.91,3
118,34,18,1231.44,3
119,68,2,117.92,1
120,6,20,2140.32,0
121,5,15,1533.35,0
122,86,1,86.78,1
123,31,13,1043.59,3
124,5,3,252.31,2
125,22,14,1043.62,3
126,26,14,1014.59,3
127,26,14,1515.08,3
128,4,2,206.44,2
129,8,13,2777.12,0
130,5,15,1724.27,0
131,18,17,1514.16,3
132,27,1,103.96,1
133,5,4,167.53,2
134,37,1,72.86,1
135,5,4,304.88,2
136,31,1,113.03,1
137,3,2,208.18,2
138,48,1,167.72,1
139,4,2,213.35,2
140,35,1,99.77,1
141,25,17,719.97,3
142,30,16,1248.24,3
143,15,17,837.08,3
144,5,10,1120.7,0
145,4,4,121.64,2
146,4,3,201.04,2
147,3,3,283.4,2
148,35,1,75.13,1
149,39,11,1179.13,3
150,9,3,191.1,2
151,5,14,1218.83,0
152,4,18,3192.91,0
153,25,13,1124.22,3
154,7,15,1917.24,0
155,4,2,194.98,2
156,34,18,1039.41,3
157,6,14,1406.66,0
158,5,3,230.93,2
159,19,11,1025.53,3
160,23,16,1258.55,3
161,5,14,671.27,0
162,4,3,154.61,2
163,4,12,1133.24,0
164,7,11,1544.47,0
165,33,1,121.03,1
166,72,1,49.1,1
167,4,21,1026.76,0
168,50,1,94.83,1
169,7,18,1768.41,0
170,6,10,2255.84,0
171,37,1,83.95,1
172,29,19,973.74,3
173,29,19,1533.95,3
174,5,3,134.31,2
175,29,20,802.59,3
176,5,3,228.69,2
177,5,3,208.93,2
178,3,15,2118.18,0
179,12,11,1616.48,3
180,37,13,1130.19,3
181,62,1,72.0,1
182,40,1,79.36,1
183,50,1,95.27,1
184,3,2,349.53,2
185,4,3,271.1,2
186,3,12,1909.89,0
187,6,4,182.94,2
188,3,17,1274.32,0
189,6,12,1187.29,0
190,26,1,75.21,1
