hour,场次,胜场,负场,胜率,胜方MVP次数,败方MVP次数,MVP次数,MVP率,获胜局MVP率,场均击杀,场均死亡,场均助攻,场均评分,场均时长分钟,金牌次数,银牌次数
0,7,4,3,0.5714285714285714,3,1.0,4.0,0.5714285714285714,0.75,3.4285714285714284,2.5714285714285716,9.571428571428571,9.514285714285716,15.973809523809525,0.0,3.0
1,3,1,2,0.3333333333333333,0,2.0,2.0,0.6666666666666666,0.0,6.333333333333333,3.0,8.333333333333334,10.433333333333334,17.544444444444448,1.0,0.0
2,3,2,1,0.6666666666666666,0,0.0,0.0,0.0,0.0,2.0,2.3333333333333335,7.333333333333333,7.5,12.816666666666668,0.0,0.0
3,1,1,0,1.0,0,0.0,0.0,0.0,0.0,3.0,6.0,11.0,7.9,18.583333333333332,0.0,0.0
4,0,0,0,,0,,,,,,,,,,,
5,0,0,0,,0,,,,,,,,,,,
6,0,0,0,,0,,,,,,,,,,,
7,0,0,0,,0,,,,,,,,,,,
8,3,1,2,0.3333333333333333,0,1.0,1.0,0.3333333333333333,0.0,3.3333333333333335,3.6666666666666665,6.0,7.8,17.933333333333334,0.0,1.0
9,5,2,3,0.4,0,1.0,1.0,0.2,0.0,2.6,2.4,6.6,7.6,16.22,0.0,0.0
10,6,4,2,0.6666666666666666,1,1.0,2.0,0.3333333333333333,0.25,4.333333333333333,2.5,9.5,9.8,13.644444444444446,1.0,1.0
11,1,1,0,1.0,0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,8.8,10.766666666666667,0.0,0.0
12,15,10,5,0.6666666666666666,1,3.0,4.0,0.26666666666666666,0.1,3.3333333333333335,1.9333333333333333,8.4,9.386666666666667,14.255555555555556,1.0,5.0
13,37,20,17,0.5405405405405406,3,1.0,4.0,0.10810810810810811,0.15,3.0,2.945945945945946,7.648648648648648,7.775675675675679,15.817117117117121,2.0,3.0
14,8,5,3,0.625,1,2.0,3.0,0.375,0.2,4.625,3.75,7.25,8.837499999999999,16.664583333333333,0.0,0.0
15,11,8,3,0.7272727272727273,0,1.0,1.0,0.09090909090909091,0.0,2.6363636363636362,1.6363636363636365,7.454545454545454,8.245454545454548,14.266666666666664,1.0,1.0
16,32,17,15,0.53125,4,4.0,8.0,0.25,0.23529411764705882,3.0,2.53125,7.71875,8.159375,15.2359375,2.0,3.0
17,27,14,13,0.5185185185185185,2,3.0,5.0,0.18518518518518517,0.14285714285714285,3.185185185185185,2.814814814814815,9.518518518518519,8.462962962962964,16.620370370370367,1.0,2.0
18,24,14,10,0.5833333333333334,3,0.0,3.0,0.125,0.21428571428571427,3.5833333333333335,2.4583333333333335,5.791666666666667,7.724999999999999,14.297222222222222,1.0,2.0
19,34,18,16,0.5294117647058824,5,5.0,10.0,0.29411764705882354,0.2777777777777778,3.3529411764705883,2.823529411764706,8.470588235294118,8.358823529411765,15.323039215686276,2.0,4.0
20,18,6,12,0.3333333333333333,0,3.0,3.0,0.16666666666666666,0.0,2.3333333333333335,2.7777777777777777,8.333333333333334,7.861111111111111,16.18148148148148,1.0,1.0
21,23,14,9,0.6086956521739131,4,4.0,8.0,0.34782608695652173,0.2857142857142857,3.652173913043478,2.5652173913043477,9.173913043478262,8.873913043478261,15.107246376811595,5.0,1.0
22,52,32,20,0.6153846153846154,5,3.0,8.0,0.15384615384615385,0.15625,3.8461538461538463,2.730769230769231,8.961538461538462,8.371153846153847,15.704487179487181,5.0,3.0
23,22,13,9,0.5909090909090909,5,5.0,10.0,0.45454545454545453,0.38461538461538464,4.636363636363637,2.6818181818181817,8.409090909090908,9.368181818181817,16.7530303030303,3.0,4.0
