历史段位,场次,胜场,负场,胜率,胜方MVP次数,败方MVP次数,MVP次数,MVP率,获胜局MVP率,场均击杀,场均死亡,场均助攻,场均评分,场均时长分钟,金牌次数,银牌次数
至尊星耀III,64.0,30.0,34.0,0.46875,9.0,13.0,22.0,0.34375,0.3,3.046875,2.625,7.9375,8.41875,15.611458333333331,6.0,8.0
至圣王者,42.0,25.0,17.0,0.5952380952380952,3.0,4.0,7.0,0.16666666666666666,0.12,3.238095238095238,2.6904761904761907,7.904761904761905,8.097619047619046,15.915873015873014,1.0,4.0
至尊星耀II,37.0,19.0,18.0,0.5135135135135135,5.0,4.0,9.0,0.24324324324324326,0.2631578947368421,3.864864864864865,2.945945945945946,7.72972972972973,8.297297297297295,15.325225225225225,1.0,2.0
绝世王者,35.0,18.0,17.0,0.5142857142857142,2.0,3.0,5.0,0.14285714285714285,0.1111111111111111,3.8857142857142857,2.7142857142857144,9.057142857142857,8.685714285714285,16.801904761904765,3.0,5.0
至尊星耀IV,33.0,17.0,16.0,0.5151515151515151,1.0,6.0,7.0,0.21212121212121213,0.058823529411764705,2.878787878787879,2.757575757575758,7.96969696969697,8.048484848484847,14.360606060606061,1.0,1.0
非凡王者,33.0,18.0,15.0,0.5454545454545454,3.0,3.0,6.0,0.18181818181818182,0.16666666666666666,3.787878787878788,2.9696969696969697,8.969696969696969,8.493939393939394,16.347979797979804,4.0,3.0
最强王者,18.0,11.0,7.0,0.6111111111111112,4.0,1.0,5.0,0.2777777777777778,0.36363636363636365,4.111111111111111,2.111111111111111,7.5,8.761111111111113,14.524074074074074,2.0,3.0
至尊星耀I,16.0,10.0,6.0,0.625,1.0,1.0,2.0,0.125,0.1,3.4375,3.5,8.0,7.9,16.140625,1.0,1.0
无双王者,10.0,9.0,1.0,0.9,3.0,0.0,3.0,0.3,0.3333333333333333,3.5,1.3,8.9,9.66,13.805000000000001,2.0,2.0
永恒钻石II,10.0,7.0,3.0,0.7,2.0,0.0,2.0,0.2,0.2857142857142857,3.7,2.1,8.6,8.49,14.323333333333332,1.0,1.0
永恒钻石I,9.0,6.0,3.0,0.6666666666666666,1.0,1.0,2.0,0.2222222222222222,0.16666666666666666,4.888888888888889,2.4444444444444446,8.666666666666666,8.588888888888889,15.692592592592591,2.0,0.0
至尊星耀V,9.0,6.0,3.0,0.6666666666666666,1.0,1.0,2.0,0.2222222222222222,0.16666666666666666,1.6666666666666667,3.2222222222222223,9.666666666666666,8.122222222222224,15.240740740740742,1.0,1.0
永恒钻石IV,7.0,5.0,2.0,0.7142857142857143,2.0,1.0,3.0,0.42857142857142855,0.4,3.142857142857143,1.5714285714285714,10.571428571428571,9.528571428571428,14.421428571428573,0.0,2.0
荣耀王者,5.0,3.0,2.0,0.6,0.0,1.0,1.0,0.2,0.0,2.8,2.8,6.4,8.440000000000001,16.953333333333337,1.0,0.0
永恒钻石III,4.0,3.0,1.0,0.75,0.0,1.0,1.0,0.25,0.0,4.0,2.0,5.5,8.174999999999999,15.379166666666666,0.0,1.0
