settle_date,场次,有效变化场次,净升星,首局赛后刻度,末局赛后刻度,胜场,完整日变化,累计升星,累计掉星,掉星场次,末局段位,日初刻度
2026-07-03,1,1,1.0,57,57,1,True,1.0,0.0,0,永恒钻石IV 2星,56.0
2026-07-04,3,3,1.0,58,58,2,True,2.0,1.0,1,永恒钻石IV 3星,57.0
2026-07-05,4,4,3.0,59,61,3,True,3.0,0.0,0,永恒钻石III 1星,58.0
2026-07-06,6,6,5.0,62,66,4,True,6.0,1.0,1,永恒钻石II 1星,61.0
2026-07-07,1,1,1.0,67,67,1,True,1.0,0.0,0,永恒钻石II 2星,66.0
2026-07-09,7,7,5.0,66,72,5,True,7.0,2.0,2,永恒钻石I 2星,67.0
2026-07-10,5,5,1.0,73,73,3,True,3.0,2.0,2,永恒钻石I 3星,72.0
2026-07-11,7,7,5.0,75,78,5,True,7.0,2.0,2,至尊星耀V 3星,73.0
2026-07-12,5,5,3.0,79,81,4,True,4.0,1.0,1,至尊星耀IV 1星,78.0
2026-07-13,9,9,2.0,82,83,5,True,6.0,4.0,4,至尊星耀IV 3星,81.0
2026-07-14,7,7,-2.0,82,81,2,True,3.0,5.0,5,至尊星耀IV 1星,83.0
2026-07-16,1,1,1.0,82,82,1,True,1.0,0.0,0,至尊星耀IV 2星,81.0
2026-07-18,7,7,1.0,81,83,4,True,4.0,3.0,3,至尊星耀IV 3星,82.0
2026-07-20,2,2,0.0,82,83,1,True,1.0,1.0,1,至尊星耀IV 3星,83.0
2026-07-21,9,9,5.0,84,88,6,True,8.0,3.0,3,至尊星耀III 3星,83.0
2026-07-22,12,12,-2.0,88,86,4,True,5.0,7.0,7,至尊星耀III 1星,88.0
2026-07-23,11,11,4.0,87,90,7,True,8.0,4.0,4,至尊星耀III 5星,86.0
2026-07-24,4,4,-2.0,89,88,1,True,1.0,3.0,3,至尊星耀III 3星,90.0
2026-07-25,12,12,-2.0,87,86,4,True,6.0,8.0,8,至尊星耀III 1星,88.0
2026-07-26,19,19,4.0,87,90,9,True,11.0,7.0,7,至尊星耀III 5星,86.0
2026-07-27,13,13,2.0,91,92,7,True,8.0,6.0,6,至尊星耀II 2星,90.0
2026-07-28,13,13,1.0,91,93,7,True,7.0,6.0,6,至尊星耀II 3星,92.0
2026-07-29,18,18,1.0,94,94,8,True,11.0,10.0,10,至尊星耀II 4星,93.0
2026-07-30,12,12,7.0,93,101,9,True,10.0,3.0,3,最强王者 1星,94.0
2026-08-02,2,2,-1.0,100,100,0,True,0.0,1.0,1,最强王者 0星,101.0
2026-08-03,11,11,5.0,99,105,7,True,9.0,4.0,4,最强王者 5星,100.0
2026-08-05,1,1,1.0,106,106,1,True,1.0,0.0,0,最强王者 6星,105.0
2026-08-09,6,6,4.0,107,110,4,True,6.0,2.0,2,非凡王者 10星,106.0
2026-08-10,2,2,0.0,111,110,1,True,1.0,1.0,1,非凡王者 10星,110.0
2026-08-11,1,1,2.0,112,112,1,True,2.0,0.0,0,非凡王者 12星,110.0
2026-08-12,1,1,1.0,113,113,1,True,1.0,0.0,0,非凡王者 13星,112.0
2026-08-13,3,3,2.0,114,115,2,True,2.0,0.0,0,非凡王者 15星,113.0
2026-08-14,17,17,-1.0,114,114,7,True,9.0,10.0,10,非凡王者 14星,115.0
2026-08-15,2,2,2.0,115,116,2,True,2.0,0.0,0,非凡王者 16星,114.0
2026-08-16,1,1,1.0,117,117,1,True,1.0,0.0,0,非凡王者 17星,116.0
2026-08-17,3,3,-1.0,116,116,1,True,1.0,2.0,2,非凡王者 16星,117.0
2026-08-18,9,9,10.0,118,126,7,True,12.0,2.0,2,无双王者 26星,116.0
2026-08-19,7,7,6.0,127,132,6,True,6.0,0.0,0,绝世王者 32星,126.0
2026-08-22,7,7,5.0,133,137,6,True,6.0,1.0,1,绝世王者 37星,132.0
2026-08-24,16,16,2.0,139,139,8,True,10.0,8.0,8,绝世王者 39星,137.0
2026-08-25,10,10,-2.0,138,137,3,True,5.0,7.0,7,绝世王者 37星,139.0
2026-08-26,11,11,5.0,139,142,7,True,8.0,3.0,3,至圣王者 42星,137.0
2026-08-27,8,8,3.0,143,145,5,True,6.0,3.0,3,至圣王者 45星,142.0
2026-08-28,4,4,0.0,144,145,2,True,2.0,2.0,2,至圣王者 45星,145.0
2026-08-29,20,20,5.0,144,150,11,True,12.0,7.0,7,荣耀王者 50星,145.0
2026-09-05,1,1,1.0,151,151,1,True,1.0,0.0,0,荣耀王者 51星,150.0
2026-09-13,1,1,0.0,151,151,0,True,0.0,0.0,0,荣耀王者 51星,151.0
