英雄,场次,胜场,负场,胜率,胜方MVP次数,败方MVP次数,MVP次数,MVP率,获胜局MVP率,场均击杀,场均死亡,场均助攻,场均评分,场均时长分钟,金牌次数,银牌次数
后羿,61.0,41.0,20.0,0.6721311475409836,12.0,2.0,14.0,0.22950819672131148,0.2926829268292683,4.475409836065574,2.459016393442623,7.180327868852459,8.459016393442623,14.564480874316938,4.0,6.0
姜子牙,54.0,29.0,25.0,0.5370370370370371,7.0,10.0,17.0,0.3148148148148148,0.2413793103448276,3.0185185185185186,2.611111111111111,8.685185185185185,8.592592592592592,15.662654320987656,6.0,7.0
妲己,37.0,23.0,14.0,0.6216216216216216,4.0,4.0,8.0,0.21621621621621623,0.17391304347826086,4.081081081081081,3.27027027027027,6.351351351351352,8.500000000000004,14.348198198198197,3.0,5.0
甄姬,24.0,14.0,10.0,0.5833333333333334,3.0,5.0,8.0,0.3333333333333333,0.21428571428571427,2.625,2.25,10.041666666666666,8.983333333333333,16.92013888888889,4.0,3.0
女娲,21.0,9.0,12.0,0.42857142857142855,2.0,3.0,5.0,0.23809523809523808,0.2222222222222222,4.190476190476191,2.761904761904762,10.095238095238095,8.542857142857141,18.082539682539682,1.0,1.0
墨子,20.0,13.0,7.0,0.65,2.0,2.0,4.0,0.2,0.15384615384615385,1.8,1.8,11.2,8.95,14.122499999999999,3.0,3.0
李元芳,14.0,9.0,5.0,0.6428571428571429,1.0,1.0,2.0,0.14285714285714285,0.1111111111111111,4.357142857142857,3.0714285714285716,6.357142857142857,7.699999999999998,15.913095238095238,0.0,0.0
武则天,12.0,5.0,7.0,0.4166666666666667,1.0,0.0,1.0,0.08333333333333333,0.2,1.9166666666666667,1.5,11.0,8.200000000000001,16.48611111111111,0.0,2.0
张良,11.0,4.0,7.0,0.36363636363636365,1.0,6.0,7.0,0.6363636363636364,0.25,3.0,2.5454545454545454,11.454545454545455,9.781818181818181,16.171212121212122,2.0,2.0
王昭君,9.0,1.0,8.0,0.1111111111111111,0.0,2.0,2.0,0.2222222222222222,0.0,2.111111111111111,2.2222222222222223,8.222222222222221,8.422222222222224,16.487037037037037,2.0,1.0
马可波罗,8.0,6.0,2.0,0.75,2.0,0.0,2.0,0.25,0.3333333333333333,4.375,3.0,5.0,7.625,16.608333333333334,0.0,0.0
狄仁杰,6.0,2.0,4.0,0.3333333333333333,0.0,1.0,1.0,0.16666666666666666,0.0,2.5,4.0,4.333333333333333,6.95,15.113888888888887,0.0,0.0
周瑜,6.0,5.0,1.0,0.8333333333333334,1.0,0.0,1.0,0.16666666666666666,0.2,3.8333333333333335,2.3333333333333335,8.666666666666666,8.566666666666666,13.549999999999999,1.0,0.0
金蝉,6.0,6.0,0.0,1.0,1.0,0.0,1.0,0.16666666666666666,0.16666666666666666,3.0,2.8333333333333335,12.666666666666666,8.916666666666666,16.102777777777778,0.0,2.0
扁鹊,5.0,1.0,4.0,0.2,0.0,0.0,0.0,0.0,0.0,3.2,3.2,8.6,7.8,14.893333333333334,0.0,0.0
弈星,4.0,1.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.75,2.5,10.0,6.824999999999999,15.7375,0.0,0.0
虞姬,3.0,1.0,2.0,0.3333333333333333,0.0,2.0,2.0,0.6666666666666666,0.0,7.0,3.6666666666666665,5.333333333333333,9.6,18.516666666666666,0.0,1.0
鲁班七号,3.0,2.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,4.666666666666667,1.6666666666666667,5.666666666666667,8.866666666666667,17.894444444444442,0.0,0.0
海月,3.0,1.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,4.333333333333333,4.666666666666667,6.566666666666666,16.272222222222222,0.0,0.0
米莱狄,3.0,1.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,3.6666666666666665,7.666666666666667,7.3999999999999995,15.444444444444443,0.0,0.0
安琪拉,3.0,2.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.3333333333333333,0.0,4.333333333333333,3.3333333333333335,6.333333333333333,8.9,15.627777777777778,0.0,1.0
小乔,2.0,1.0,1.0,0.5,0.0,1.0,1.0,0.5,0.0,2.0,1.5,4.5,7.0,12.608333333333334,0.0,0.0
项羽,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,8.5,7.6,17.891666666666666,0.0,0.0
公孙离,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.5,4.0,8.5,9.15,17.583333333333336,0.0,0.0
伽罗,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,3.9,6.666666666666667,0.0,0.0
