月份,渠道,曝光量,点击量,新增用户,收入
2025-10,应用商店,525125.0,15168,723,35329.63
2025-10,信息流广告,346248.0,8107,124,8123.81
2025-10,短视频达人,921556.0,11604,447,17631.07
2025-10,老客推荐,41871.0,3093,343,40780.64
2025-10,搜索品牌词,105173.0,6098,384,46389.64
2025-10,内容社区,,2770,179,11476.78
2025-10,线下活动,26557.0,2122,83,5188.81
2025-10,异业合作,15731.0,777,32,2780.74
2025-11,应用商店,599893.0,20033,799,30321.95
2025-11,信息流广告,373959.0,9124,150,10163.18
2025-11,短视频达人,907474.0,11013,427,15289.85
2025-11,老客推荐,51400.0,4033,445,57434.03
2025-11,搜索品牌词,112611.0,6505,492,50490.4
2025-11,内容社区,63270.0,2967,197,13809.18
2025-11,线下活动,26103.0,1906,83,6282.88
2025-11,异业合作,18070.0,1087,59,4185.67
2025-12,应用商店,563963.0,16124,684,30426.03
2025-12,信息流广告,381448.0,10244,219,12889.53
2025-12,短视频达人,936351.0,9444,416,13783.4
2025-12,老客推荐,43371.0,3023,393,49245.58
2025-12,搜索品牌词,103311.0,5798,548,56523.5
2025-12,内容社区,68875.0,3525,238,18087.9
2025-12,线下活动,24566.0,2034,99,7102.72
2025-12,异业合作,16271.0,962,46,4147.65
2026-01,应用商店,541093.0,16926,655,27795.24
2026-01,信息流广告,350562.0,7817,158,10618.27
2026-01,短视频达人,887123.0,10967,440,14103.23
2026-01,老客推荐,45614.0,4098,420,50656.58
2026-01,搜索品牌词,106176.0,6974,626,52725.96
2026-01,内容社区,62933.0,3049,147,10597.81
2026-01,线下活动,21464.0,1476,74,5427.86
2026-01,异业合作,17712.0,1068,64,0.56
2026-02,应用商店,482927.0,14295,422,20030.8
2026-02,信息流广告,,8130,186,11853.4
2026-02,短视频达人,827769.0,8924,315,10723.0
2026-02,老客推荐,42449.0,3022,296,38386.49
2026-02,搜索品牌词,98610.0,5025,507,54067.52
2026-02,内容社区,62987.0,3218,215,13771.87
2026-02,线下活动,21805.0,1390,58,4130.2
2026-02,异业合作,17174.0,878,38,0.29
2026-03,应用商店,424287.0,11916,529,24530.94
2026-03,信息流广告,281211.0,6686,137,7818.78
2026-03,短视频达人,706995.0,7893,269,8483.88
2026-03,老客推荐,37231.0,3015,386,48471.43
2026-03,搜索品牌词,101139.0,6600,594,52718.04
2026-03,内容社区,52835.0,2655,143,10764.9
2026-03,线下活动,19855.0,1471,75,5412.24
2026-03,异业合作,13855.0,893,44,3373.85
2026-04,应用商店,380916.0,11734,517,22729.51
2026-04,信息流,274539.0,5951,114,7044.91
2026-04,短视频达人,676489.0,7750,343,11047.07
2026-04,老客推荐,33674.0,2554,255,29751.19
2026-04,搜索品牌词,86510.0,5730,423,32546.73
2026-04,内容社区,50657.0,2546,172,10999.3
2026-04,线下活动,19196.0,1315,51,3611.27
2026-04,异业合作,12707.0,717,40,2965.87
2026-05,应用商店,389345.0,12436,533,22690.54
2026-05,信息流广告,263386.0,5904,83,4756.24
2026-05,短视频达人,625867.0,7074,256,10449.84
2026-05,老客推荐,32586.0,2432,240,31236.11
2026-05,搜索品牌词,82215.0,4627,407,40629.14
2026-05,内容社区,48823.0,2253,134,7163.47
2026-05,线下活动,19102.0,1158,59,3515.6
2026-05,异业合作,12086.0,796,41,3150.74
2026-06,应用商店,377981.0,12367,529,18409.3
2026-06,信息流广告,308708.0,7301,147,8863.87
2026-06,短视频达人,626980.0,7461,299,10277.05
2026-06,老客推荐,35584.0,3223,419,57562.05
2026-06,搜索品牌词,79523.0,5247,415,38521.67
2026-06,内容社区,52731.0,2499,124,10214.53
2026-06,线下活动,18870.0,1258,55,3615.91
2026-06,异业合作,,870,51,4426.72
2026-07,应用商店,425679.0,11309,391,14815.05
2026-07,信息流广告,319566.0,7417,154,8853.91
2026-07,短视频达人,656163.0,6780,282,8250.85
2026-07,老客推荐,37715.0,2724,309,42651.1
2026-07,搜索品牌词,83901.0,5473,551,50480.87
2026-07,内容社区,53839.0,2554,171,13390.99
2026-07,线下活动,20031.0,1458,56,4033.33
2026-07,异业合作,13851.0,821,40,3324.02
2026-08,应用商店,523746.0,15672,658,24353.79
2026-08,信息流广告,313374.0,8101,156,8161.84
2026-08,短视频达人,807608.0,9080,236,7515.38
2026-08,老客推荐,40120.0,2803,280,38818.58
2026-08,搜索品牌词,101276.0,6477,505,45714.6
2026-08,内容社区,56071.0,2933,166,14921.0
2026-08,线下活动,21403.0,1666,94,6170.04
2026-08,异业合作,14464.0,834,51,4151.43
2026-09,应用商店,526704.0,16705,573,29114.49
2026-09,信息流广告,328991.0,9046,123,7878.36
2026-09,短视频达人,876965.0,11016,371,12829.63
2026-09,老客推荐,47125.0,4433,521,63886.26
2026-09,搜索品牌词,98463.0,5408,385,36981.64
2026-09,内容社区,68046.0,3178,198,17735.79
2026-09,线下活动,23166.0,1810,81,6112.98
2026-09,异业合作,17329.0,866,43,3805.58
2026-06,线下活动,18870.0,1258,55,3615.91
2025-11,内容社区,63270.0,2967,197,13809.18
2026-09,异业合作,17329.0,866,43,3805.58
2025-10,内容社区,,2770,179,11476.78
2026-05,线下活动,19102.0,1158,59,3515.6
2026-07,应用商店,425679.0,11309,391,14815.05
