用户ID,平台,设备档位,单次使用时长秒,周会话次数,是否付费
U000000,iOS,中端,60,5,0
U000001,安卓,低端,34,4,0
U000002,安卓,中端,927,4,0
U000003,安卓,中端,536,6,0
U000004,安卓,中端,307,4,0
U000005,iOS,高端,195,12,0
U000006,iOS,中端,120,8,0
U000007,安卓,高端,307,6,0
U000008,安卓,中端,184,8,0
U000009,安卓,低端,28,4,0
U000010,安卓,高端,239,7,0
U000011,iOS,中端,53,10,0
U000012,安卓,低端,2137,3,0
U000013,安卓,低端,130,5,0
U000014,安卓,中端,526,2,0
U000015,安卓,低端,115,6,0
U000016,iOS,中端,388,6,0
U000017,iOS,低端,1101,6,0
U000018,安卓,低端,1036,4,0
U000019,iOS,低端,946,6,0
U000020,安卓,中端,216,3,0
U000021,iOS,高端,641,6,0
U000022,iOS,中端,156,9,0
U000023,安卓,高端,553,6,0
U000024,iOS,中端,1292,7,0
U000025,iOS,中端,277,6,0
U000026,安卓,低端,853,7,0
U000027,安卓,高端,250,7,0
U000028,安卓,中端,73,4,0
U000029,安卓,低端,244,5,0
U000030,安卓,低端,54,3,0
U000031,iOS,中端,29,2,0
U000032,安卓,低端,124,4,0
U000033,iOS,中端,1374,2,0
U000034,iOS,中端,501,6,0
U000035,安卓,低端,125,9,0
U000036,安卓,低端,131,6,0
U000037,安卓,中端,29,4,0
U000038,安卓,低端,1400,2,0
U000039,iOS,中端,199,4,0
U000040,安卓,中端,248,3,0
U000041,iOS,中端,799,3,0
U000042,安卓,中端,123,5,0
U000043,安卓,高端,829,8,0
U000044,安卓,中端,456,6,0
U000045,iOS,高端,2256,10,0
U000046,安卓,中端,213,5,0
U000047,安卓,中端,92,5,0
U000048,安卓,低端,137,5,0
U000049,iOS,低端,366,6,0
U000050,安卓,低端,949,7,0
U000051,iOS,中端,3391,8,0
U000052,安卓,低端,2257,1,0
U000053,安卓,中端,90,5,0
U000054,安卓,中端,522,5,0
U000055,安卓,低端,119,4,0
U000056,安卓,中端,686,1,0
U000057,安卓,低端,55,4,0
U000058,iOS,中端,126,10,0
U000059,安卓,中端,119,2,1
U000060,安卓,低端,63,7,0
U000061,iOS,中端,563,8,0
U000062,安卓,中端,295,8,0
U000063,iOS,高端,795,5,0
U000064,安卓,低端,110,4,0
U000065,安卓,高端,449,7,0
U000066,iOS,中端,568,9,1
U000067,安卓,低端,1020,8,0
U000068,iOS,高端,239,13,0
U000069,安卓,低端,58,4,0
U000070,iOS,高端,91,5,0
U000071,安卓,中端,224,4,0
U000072,安卓,中端,414,5,0
U000073,安卓,中端,445,5,0
U000074,安卓,低端,224,8,0
U000075,iOS,中端,174,9,0
U000076,安卓,高端,71,8,0
U000077,iOS,高端,482,9,0
U000078,iOS,中端,182,6,0
U000079,安卓,低端,89,3,0
U000080,iOS,中端,160,5,0
U000081,安卓,低端,50,5,0
U000082,安卓,低端,40,11,0
U000083,iOS,高端,1203,6,0
U000084,安卓,高端,43,6,0
U000085,安卓,中端,71,6,0
U000086,安卓,低端,92,10,0
U000087,安卓,中端,23,12,0
U000088,安卓,高端,187,5,0
U000089,安卓,中端,41,4,0
U000090,iOS,中端,1601,9,1
U000091,安卓,中端,321,8,0
U000092,安卓,中端,113,4,0
U000093,安卓,中端,109,2,0
U000094,安卓,低端,58,7,0
U000095,安卓,中端,356,9,0
U000096,安卓,中端,117,3,0
U000097,iOS,中端,629,6,0
U000098,安卓,低端,840,6,0
U000099,iOS,中端,563,6,0
U000100,iOS,中端,108,7,0
U000101,iOS,中端,245,11,0
U000102,iOS,中端,514,10,1
U000103,iOS,高端,243,11,0
U000104,安卓,中端,454,4,0
U000105,安卓,中端,165,6,0
U000106,安卓,中端,180,4,0
U000107,iOS,中端,322,7,0
U000108,安卓,低端,71,4,1
U000109,安卓,中端,157,4,0
U000110,iOS,中端,313,6,0
U000111,iOS,中端,794,10,1
U000112,安卓,中端,68,5,0
U000113,安卓,低端,26,7,1
U000114,安卓,中端,168,7,0
U000115,iOS,高端,1251,13,0
U000116,安卓,低端,624,5,0
U000117,安卓,中端,165,6,0
