月份,订单量,活跃用户,客单价
2023-10,73734,23087,132.29
2023-11,77393,25377,131.45
2023-12,71752,24633,119.34
2024-01,80264,26070,124.21
2024-02,90386,29155,126.59
2024-03,98921,32282,123.07
2024-04,101403,33872,128.12
2024-05,110750,36315,123.28
2024-06,120975,39258,127.28
2024-07,122571,39168,128.2
2024-08,118752,37972,124.64
2024-09,119883,39290,130.86
2024-10,105661,34483,125.44
2024-11,106082,34133,115.3
2024-12,108517,35347,123.04
2025-01,116968,38732,125.54
2025-02,126962,41285,122.18
2025-03,135288,44016,125.97
2025-04,145995,47601,121.09
2025-05,155358,50795,123.58
2025-06,165012,52206,125.45
2025-07,166066,53705,120.61
2025-08,163170,53059,127.32
2025-09,156054,50350,125.84
2025-10,153624,49831,126.61
2025-11,142027,45362,125.06
2025-12,136655,43841,132.93
2026-01,144658,47349,122.4
2026-02,154898,50709,126.98
2026-03,168008,55425,132.35
2026-04,182403,60482,127.47
2026-05,193123,63707,126.98
2026-06,199485,64431,135.53
2026-07,182560,59294,126.32
2026-08,170636,56862,124.55
2026-09,170701,57039,132.27
