城市ID,区域,人均可支配收入万元,人均线上消费额万元,常住人口万人,物流成本指数,线上渗透率
C0000,东部,2.675,3.097,96.0,3.23,0.4126
C0001,东部,7.341,7.267,107.0,2.756,0.6995
C0002,东部,9.41,9.58,57.0,1.769,0.7906
C0003,东部,10.379,9.748,57.0,2.592,0.7917
C0004,东部,8.657,8.338,269.0,2.596,0.7788
C0005,东部,4.828,4.91,97.0,3.219,0.5392
C0006,东部,6.674,7.23,117.0,2.143,0.7049
C0007,东部,7.564,7.784,126.0,2.266,0.6747
C0008,东部,7.25,7.344,99.0,2.788,0.7152
C0009,东部,7.422,7.237,37.0,2.446,0.7033
C0010,东部,5.767,5.558,450.0,3.171,0.72
C0011,东部,6.152,6.34,104.0,2.334,0.6293
C0012,东部,3.904,4.098,34.0,2.931,0.5199
C0013,东部,9.869,9.837,173.0,1.902,0.7748
C0014,东部,6.966,6.51,87.0,2.852,0.6365
C0015,东部,8.87,8.594,51.0,2.16,0.7638
C0016,东部,8.3,8.583,235.0,2.848,0.7414
C0017,东部,7.278,7.117,212.0,2.823,0.6727
C0018,东部,6.528,6.539,116.0,2.367,0.6603
C0019,东部,8.012,8.194,118.0,2.811,0.7127
C0020,东部,6.783,6.965,86.0,2.026,0.6794
C0021,东部,6.86,7.205,145.0,2.613,0.7231
C0022,东部,7.67,7.401,248.0,2.13,0.7045
C0023,东部,9.157,9.405,28.0,1.872,0.7346
C0024,东部,8.678,8.27,111.0,2.46,0.7562
C0025,东部,7.295,7.674,109.0,2.883,0.6424
C0026,东部,8.406,8.235,107.0,2.825,0.6899
C0027,东部,7.256,7.377,55.0,2.704,0.6603
C0028,东部,4.118,4.458,186.0,2.716,0.5404
C0029,东部,6.814,6.818,131.0,2.307,0.6343
C0030,东部,3.524,3.731,48.0,3.035,0.469
C0031,东部,10.435,10.08,182.0,2.676,0.9045
C0032,东部,9.829,9.371,127.0,2.106,0.8152
C0033,东部,10.439,9.862,116.0,2.335,0.8459
C0034,东部,5.613,4.869,58.0,2.981,0.6316
C0035,东部,8.158,8.416,99.0,2.288,0.7805
C0036,东部,9.012,8.866,432.0,1.89,0.7166
C0037,东部,4.176,4.069,61.0,3.632,0.5813
C0038,东部,7.133,7.134,80.0,2.259,0.6923
C0039,东部,8.261,8.702,106.0,2.569,0.7846
C0040,东部,6.886,6.502,357.0,2.036,0.6505
C0041,东部,6.758,7.247,167.0,2.117,0.6812
C0042,东部,7.333,7.471,129.0,2.321,0.6843
C0043,东部,5.694,6.207,75.0,2.757,0.6335
C0044,东部,5.022,5.583,109.0,2.877,0.5562
C0045,东部,7.936,7.671,82.0,2.252,0.6455
C0046,东部,7.668,7.007,187.0,2.475,0.7455
C0047,东部,5.104,5.3,111.0,2.609,0.558
C0048,东部,5.994,6.048,82.0,3.52,0.6347
C0049,东部,6.846,7.045,71.0,2.646,0.6414
C0050,东部,4.484,4.283,42.0,3.023,0.505
C0051,东部,10.288,9.776,126.0,2.213,0.7878
C0052,东部,8.756,8.597,31.0,2.24,0.7832
C0053,东部,9.265,9.278,80.0,2.224,0.7832
C0054,东部,5.679,5.773,33.0,2.052,0.5714
C0055,东部,9.727,9.341,63.0,2.411,0.8772
C0056,东部,6.575,6.169,127.0,3.151,0.6529
C0057,东部,4.795,4.98,119.0,3.189,0.5875
C0058,东部,9.503,9.465,65.0,2.541,0.818
C0059,东部,4.829,4.932,99.0,2.749,0.5567
C0060,东部,6.786,6.876,86.0,2.356,0.6127
C0061,东部,8.332,8.238,88.0,2.787,0.6924
C0062,东部,8.515,8.312,251.0,2.658,0.7707
C0063,东部,11.024,10.378,77.0,2.104,0.8538
C0064,东部,9.646,9.429,58.0,1.965,0.7505
C0065,东部,4.146,4.092,252.0,3.191,0.4702
C0066,东部,5.822,6.082,34.0,3.034,0.6386
C0067,东部,6.27,6.195,187.0,2.485,0.6375
C0068,东部,7.848,7.592,87.0,2.833,0.7005
C0069,东部,6.699,6.774,72.0,2.931,0.6547
C0070,东部,7.402,7.335,285.0,2.217,0.7024
C0071,东部,3.553,3.903,143.0,2.893,0.4341
C0072,东部,9.828,9.215,71.0,2.282,0.8323
C0073,东部,6.592,6.203,151.0,2.074,0.6881
C0074,东部,5.362,5.131,178.0,2.389,0.5321
C0075,东部,6.761,6.842,250.0,2.633,0.6944
C0076,东部,7.822,8.115,59.0,1.754,0.6432
C0077,东部,7.062,6.861,58.0,2.828,0.6667
C0078,东部,4.705,4.837,73.0,2.856,0.4784
C0079,东部,9.769,9.652,73.0,1.796,0.7718
C0080,东部,6.795,6.968,83.0,2.833,0.6565
C0081,东部,6.223,5.747,61.0,2.87,0.6201
C0082,东部,7.483,7.175,82.0,1.84,0.7702
C0083,东部,7.64,7.914,82.0,2.368,0.6355
C0084,东部,8.377,8.475,163.0,2.088,0.6834
C0085,东部,10.917,11.103,278.0,1.858,0.9139
C0086,东部,3.702,4.08,333.0,2.982,0.4901
C0087,东部,7.266,7.363,287.0,2.331,0.7581
C0088,东部,6.242,6.188,63.0,2.64,0.62
C0089,东部,7.321,6.769,23.0,2.704,0.6132
C0090,东部,8.431,8.016,57.0,2.473,0.7546
C0091,东部,8.656,8.109,110.0,2.7,0.7645
C0092,东部,5.65,5.966,121.0,2.858,0.5551
C0093,东部,5.397,5.321,189.0,2.716,0.5784
C0094,东部,8.508,7.928,101.0,2.355,0.7521
C0095,东部,8.365,8.165,89.0,1.599,0.7027
C0096,东部,6.884,6.602,141.0,2.39,0.6857
C0097,东部,8.955,8.668,40.0,2.159,0.7652
C0098,东部,6.004,5.719,51.0,2.7,0.6676
C0099,东部,5.738,5.396,57.0,2.475,0.5824
C0100,东部,6.696,6.423,88.0,2.7,0.6496
C0101,东部,5.165,5.355,173.0,2.831,0.6106
C0102,东部,5.057,4.813,34.0,2.844,0.5948
