星期,小时,活跃用户数
周一,0,12426
周一,1,12459
周一,2,12904
周一,3,12422
周一,4,12169
周一,5,12920
周一,6,12023
周一,7,12641
周一,8,12423
周一,9,15349
周一,10,22688
周一,11,38022
周一,12,49418
周一,13,50113
周一,14,33682
周一,15,21035
周一,16,15554
周一,17,18806
周一,18,27338
周一,19,49507
周一,20,62655
周一,21,71638
周一,22,67957
周一,23,48945
周二,0,11734
周二,1,12828
周二,2,12531
周二,3,12394
周二,4,12649
周二,5,12282
周二,6,11792
周二,7,12436
周二,8,12332
周二,9,14858
周二,10,22532
周二,11,36919
周二,12,50610
周二,13,46842
周二,14,34640
周二,15,21827
周二,16,16785
周二,17,18646
周二,18,29502
周二,19,44071
周二,20,65913
周二,21,78882
周二,22,65302
周二,23,49745
周三,0,12436
周三,1,13194
周三,2,12062
周三,3,11783
周三,4,12178
周三,5,11898
周三,6,12240
周三,7,11603
周三,8,12721
周三,9,15682
周三,10,23542
周三,11,39565
周三,12,52329
周三,13,48034
周三,14,35100
周三,15,22796
周三,16,16363
周三,17,18708
周三,18,31824
周三,19,48306
周三,20,62405
周三,21,76827
周三,22,72508
周三,23,49860
周四,0,11950
周四,1,12426
周四,2,11590
周四,3,11844
周四,4,11968
周四,5,12135
周四,6,11920
周四,7,12253
周四,8,13316
周四,9,15327
周四,10,22893
周四,11,36245
周四,12,51280
周四,13,47638
周四,14,35800
周四,15,22287
周四,16,16539
周四,17,19417
周四,18,29443
周四,19,43874
周四,20,68753
周四,21,75036
周四,22,68970
周四,23,48260
周五,0,12576
周五,1,12386
周五,2,12553
周五,3,12587
周五,4,12099
周五,5,12442
周五,6,12103
周五,7,12940
周五,8,12998
周五,9,14935
周五,10,24226
周五,11,35942
周五,12,49347
周五,13,47633
周五,14,34953
周五,15,21835
周五,16,16342
周五,17,18839
周五,18,29467
周五,19,48322
周五,20,64387
周五,21,76765
周五,22,64917
周五,23,50738
周六,0,13142
周六,1,13819
周六,2,13135
周六,3,14178
周六,4,13235
周六,5,12962
周六,6,13349
周六,7,13798
周六,8,15157
周六,9,16840
周六,10,18395
周六,11,20142
周六,12,22464
周六,13,25041
周六,14,25886
周六,15,29864
周六,16,36022
周六,17,41943
周六,18,50674
周六,19,61540
周六,20,74560
周六,21,79686
周六,22,83435
周六,23,76016
周日,0,13214
周日,1,13178
周日,2,12575
周日,3,13161
周日,4,13570
周日,5,12428
周日,6,13853
周日,7,14630
周日,8,14619
周日,9,17093
周日,10,19212
周日,11,21615
周日,12,23203
周日,13,25745
周日,14,27457
周日,15,29989
周日,16,35781
周日,17,41822
周日,18,53868
周日,19,61010
周日,20,75460
周日,21,74794
周日,22,81238
周日,23,75442
