月份,品类,销售额
2024-10,日用百货,485590.82
2024-10,食品生鲜,339881.78
2024-10,服饰鞋包,277095.13
2024-10,数码家电,205480.87
2024-10,美妆个护,143726.67
2024-10,图书文娱,77238.39
2024-11,日用百货,451243.53
2024-11,食品生鲜,339937.27
2024-11,服饰鞋包,290630.11
2024-11,数码家电,229644.74
2024-11,美妆个护,137892.01
2024-11,图书文娱,77708.81
2024-12,日用百货,456899.33
2024-12,食品生鲜,328613.49
2024-12,服饰鞋包,284840.85
2024-12,数码家电,211764.29
2024-12,美妆个护,133887.73
2024-12,图书文娱,75533.33
2025-01,日用百货,449473.76
2025-01,食品生鲜,316121.67
2025-01,服饰鞋包,271343.48
2025-01,数码家电,221686.63
2025-01,美妆个护,139202.54
2025-01,图书文娱,76315.39
2025-02,日用百货,424517.25
2025-02,食品生鲜,319611.91
2025-02,服饰鞋包,255234.98
2025-02,数码家电,215801.74
2025-02,美妆个护,131849.76
2025-02,图书文娱,70260.79
2025-03,日用百货,410222.97
2025-03,食品生鲜,310654.8
2025-03,服饰鞋包,257368.1
2025-03,数码家电,219112.53
2025-03,美妆个护,128434.79
2025-03,图书文娱,74370.21
2025-04,日用百货,416656.66
2025-04,食品生鲜,314899.46
2025-04,服饰鞋包,260130.02
2025-04,数码家电,203781.62
2025-04,美妆个护,136055.26
2025-04,图书文娱,72679.79
2025-05,日用百货,383948.33
2025-05,食品生鲜,324147.6
2025-05,服饰鞋包,284658.19
2025-05,数码家电,223256.16
2025-05,美妆个护,138513.11
2025-05,图书文娱,79105.91
2025-06,日用百货,441275.58
2025-06,食品生鲜,335199.62
2025-06,服饰鞋包,281108.46
2025-06,数码家电,243088.73
2025-06,美妆个护,148141.6
2025-06,图书文娱,81766.87
2025-07,日用百货,463451.72
2025-07,食品生鲜,382466.37
2025-07,服饰鞋包,310549.59
2025-07,数码家电,258254.27
2025-07,美妆个护,164059.53
2025-07,图书文娱,87299.96
2025-08,日用百货,506017.84
2025-08,食品生鲜,384864.97
2025-08,服饰鞋包,321853.6
2025-08,数码家电,285665.56
2025-08,美妆个护,177958.96
2025-08,图书文娱,96897.47
2025-09,日用百货,505157.27
2025-09,食品生鲜,452336.83
2025-09,服饰鞋包,329524.66
2025-09,数码家电,299031.47
2025-09,美妆个护,183710.09
2025-09,图书文娱,106813.23
2025-10,日用百货,531181.1
2025-10,食品生鲜,455769.79
2025-10,服饰鞋包,314021.22
2025-10,数码家电,303205.07
2025-10,美妆个护,184350.38
2025-10,图书文娱,105393.31
2025-11,日用百货,524611.29
2025-11,食品生鲜,493283.11
2025-11,服饰鞋包,355903.05
2025-11,数码家电,332255.22
2025-11,美妆个护,194180.94
2025-11,图书文娱,106977.67
2025-12,日用百货,507235.17
2025-12,食品生鲜,440085.79
2025-12,服饰鞋包,355960.55
2025-12,数码家电,321642.4
2025-12,美妆个护,195079.15
2025-12,图书文娱,105698.11
2026-01,日用百货,492578.35
2026-01,食品生鲜,455929.61
2026-01,服饰鞋包,332330.65
2026-01,数码家电,317962.06
2026-01,美妆个护,187753.64
2026-01,图书文娱,105605.87
2026-02,日用百货,441688.64
2026-02,食品生鲜,416518.79
2026-02,服饰鞋包,338406.36
2026-02,数码家电,299455.3
2026-02,美妆个护,188318.1
2026-02,图书文娱,104449.78
2026-03,日用百货,464511.86
2026-03,食品生鲜,432429.76
2026-03,服饰鞋包,310681.29
2026-03,数码家电,314048.04
2026-03,美妆个护,187974.0
2026-03,图书文娱,105731.31
2026-04,日用百货,455892.37
2026-04,食品生鲜,448470.88
2026-04,服饰鞋包,316710.59
2026-04,数码家电,341867.04
2026-04,美妆个护,171580.25
2026-04,图书文娱,104579.24
2026-05,日用百货,450795.42
2026-05,食品生鲜,435997.22
2026-05,服饰鞋包,303737.56
2026-05,数码家电,341115.76
2026-05,美妆个护,191025.21
2026-05,图书文娱,104595.72
2026-06,日用百货,475895.45
2026-06,食品生鲜,497887.72
2026-06,服饰鞋包,327933.84
2026-06,数码家电,344611.95
2026-06,美妆个护,204727.75
2026-06,图书文娱,117275.42
2026-07,日用百货,499070.54
2026-07,食品生鲜,495578.6
2026-07,服饰鞋包,365989.82
2026-07,数码家电,398552.15
2026-07,美妆个护,210893.42
2026-07,图书文娱,125152.27
2026-08,日用百货,527467.37
2026-08,食品生鲜,549813.7
2026-08,服饰鞋包,383771.6
2026-08,数码家电,419217.61
2026-08,美妆个护,230850.6
2026-08,图书文娱,133817.74
2026-09,日用百货,593632.25
2026-09,食品生鲜,618040.2
2026-09,服饰鞋包,408731.48
2026-09,数码家电,458161.8
2026-09,美妆个护,249310.98
2026-09,图书文娱,144605.51
