date,开盘,最高,最低,收盘
2016-09-19,1313.57,1318.49,1309.45,1313.2
2016-09-20,1315.53,1318.03,1312.075,1314.73
2016-09-21,1326.65,1335.315,1308.015,1332.5
2016-09-22,1340.83,1343.75,1331.25,1337.41
2016-09-23,1338.65,1340.75,1333.75,1338.81
2016-09-26,1340.89,1342.25,1332.705,1338.01
2016-09-27,1325.19,1339.665,1324.845,1326.87
2016-09-28,1320.68,1327.71,1318.05,1321.4
2016-09-29,1318.12,1325.915,1316.19,1320.41
2016-09-30,1320.11,1328.26,1313.315,1316.37
2016-10-03,1311.94,1319.775,1309.45,1311.65
2016-10-04,1277.74,1313.235,1267.005,1268.48
2016-10-05,1266.57,1277.13,1262.235,1266.89
2016-10-06,1256.19,1269.65,1249.99,1254.4
2016-10-07,1243.37,1265.365,1241.46,1256.66
2016-10-10,1256.69,1265.065,1256.65,1259.59
2016-10-11,1259.34,1262.31,1252.5,1257.51
2016-10-12,1257.11,1258.91,1249.84,1253.03
2016-10-13,1255.02,1262.34,1253.15,1257.2
2016-10-14,1256.74,1259.29,1246.27,1252.76
2016-10-17,1250.63,1257.35,1250.27,1255.35
2016-10-18,1255.11,1264.855,1254.4,1262.48
2016-10-19,1262.33,1273.455,1260.25,1270.73
2016-10-20,1271.1,1274.5,1264.75,1267.06
2016-10-21,1265.86,1268.09,1261.14,1263.96
2016-10-24,1266.01,1272.05,1260.53,1262.45
2016-10-25,1262.99,1276.815,1262.185,1272.98
2016-10-26,1272.53,1276.61,1264.745,1267.55
2016-10-27,1266.4,1272.735,1265.125,1268.73
2016-10-28,1269.06,1284.28,1262.085,1267.5
2016-10-31,1275.78,1279.66,1271.25,1274.37
2016-11-01,1277.7,1292.02,1275.545,1286.99
2016-11-02,1287.37,1308.125,1287.35,1304.0
2016-11-03,1296.62,1306.73,1285.45,1298.51
2016-11-04,1299.2,1307.205,1294.75,1304.12
2016-11-07,1304.64,1304.2,1278.25,1281.47
2016-11-08,1282.11,1290.695,1272.95,1284.36
2016-11-09,1283.57,1337.55,1268.415,1289.18
2016-11-10,1288.49,1292.18,1252.35,1269.5
2016-11-11,1268.16,1265.55,1219.16,1233.9
2016-11-14,1227.23,1231.55,1211.68,1213.0
2016-11-15,1213.11,1231.65,1219.0,1224.23
2016-11-16,1223.36,1233.18,1221.55,1225.2
2016-11-17,1225.49,1231.52,1211.13,1227.59
2016-11-18,1225.41,1217.95,1202.96,1207.29
