date,开盘,最高,最低,收盘
2016-09-19,19.225,19.32,18.77,19.159
2016-09-20,19.245,19.3,19.075,19.233
2016-09-21,19.694,19.885,19.035,19.811
2016-09-22,19.981,20.074,19.697,19.878
2016-09-23,19.732,19.948,19.583,19.662
2016-09-26,19.659,19.752,19.357,19.518
2016-09-27,19.384,19.555,18.979,19.029
2016-09-28,19.054,19.214,18.915,19.057
2016-09-29,19.014,19.401,18.992,19.098
2016-09-30,19.112,19.707,19.065,19.313
2016-10-03,19.158,19.325,18.708,18.937
2016-10-04,18.831,18.913,17.72,18.065
2016-10-05,18.085,18.016,17.549,17.641
2016-10-06,17.791,17.858,17.112,17.343
2016-10-07,17.315,17.659,17.099,17.199
2016-10-10,17.519,17.822,17.544,17.678
2016-10-11,17.621,17.833,17.438,17.555
2016-10-12,17.547,17.621,17.357,17.445
2016-10-13,17.514,17.685,17.415,17.447
2016-10-14,17.456,17.588,17.316,17.387
2016-10-17,17.397,17.512,17.344,17.413
2016-10-18,17.412,17.726,17.441,17.663
2016-10-19,17.668,17.791,17.564,17.676
2016-10-20,17.701,17.75,17.44,17.526
2016-10-21,17.526,17.566,17.391,17.452
2016-10-24,17.531,17.896,17.458,17.584
2016-10-25,17.588,17.833,17.513,17.769
2016-10-26,17.755,17.877,17.565,17.663
2016-10-27,17.618,17.74,17.548,17.627
2016-10-28,17.624,17.918,17.555,17.668
2016-10-31,17.755,17.926,17.743,17.826
2016-11-01,17.881,18.503,17.846,18.374
2016-11-02,18.337,18.755,18.346,18.659
2016-11-03,18.502,18.656,18.009,18.263
2016-11-04,18.278,18.489,18.183,18.392
2016-11-07,18.422,18.43,18.01,18.145
2016-11-08,18.123,18.736,18.169,18.539
2016-11-09,18.502,19.01,18.273,18.699
2016-11-10,18.658,18.992,18.39,18.602
2016-11-11,18.564,18.852,17.194,17.789
2016-11-14,17.325,17.521,16.647,16.723
2016-11-15,16.743,17.144,16.83,17.076
2016-11-16,17.011,17.243,16.866,16.871
2016-11-17,16.942,17.094,16.588,16.985
2016-11-18,16.943,16.765,16.447,16.475
2016-11-21,16.557,16.767,16.526,16.588
2016-11-22,16.603,16.896,16.538,16.613
2016-11-23,16.598,16.745,16.177,16.27
2016-11-24,16.24,16.422,16.226,16.348
2016-11-25,16.379,16.591,16.175,16.531
2016-11-28,16.522,16.868,16.482,16.65
2016-11-29,16.581,16.727,16.422,16.576
2016-11-30,16.562,16.776,16.419,16.574
2016-12-01,16.503,16.685,16.259,16.439
2016-12-02,16.534,16.811,16.328,16.666
2016-12-05,16.732,16.988,16.493,16.665
2016-12-06,16.652,16.898,16.693,16.729
2016-12-07,16.836,17.24,16.66,17.125
2016-12-08,17.07,17.227,16.958,17.026
2016-12-09,17.026,17.124,16.798,16.912
2016-12-12,16.852,17.201,16.678,17.063
2016-12-13,17.093,17.165,16.769,16.856
2016-12-14,16.886,17.222,16.753,17.097
2016-12-15,16.925,16.951,15.882,16.048
2016-12-16,15.985,16.278,15.934,15.974
2016-12-19,16.066,16.215,15.909,16.021
2016-12-20,16.066,16.09,15.634,15.738
2016-12-21,16.066,16.186,15.634,15.918
2016-12-22,15.949,16.038,15.771,15.92
2016-12-23,15.794,15.864,15.69,15.786
2016-12-26,15.731,15.864,15.69,15.73
2016-12-27,15.731,16.057,15.715,15.844
2016-12-28,15.959,16.085,15.819,15.982
2016-12-29,15.991,16.244,15.991,16.072
2016-12-30,16.14,16.278,15.848,16.07
2017-01-02,16.14,16.278,15.848,15.918
2017-01-03,16.14,16.501,15.901,16.335
2017-01-04,16.313,16.527,16.263,16.412
2017-01-05,16.406,16.721,16.423,16.677
2017-01-06,16.566,16.674,16.308,16.491
2017-01-09,16.566,16.702,16.425,16.592
2017-01-10,16.636,16.914,16.538,16.835
2017-01-11,16.636,16.871,16.533,16.564
2017-01-12,16.727,16.992,16.73,16.878
2017-01-13,16.727,16.839,16.597,16.736
2017-01-16,16.796,16.929,16.79,16.828
2017-01-17,16.796,17.22,16.803,17.106
2017-01-18,16.796,17.335,17.04,17.277
2017-01-19,17.146,17.11,16.74,16.894
2017-01-20,17.146,17.161,16.831,17.036
2017-01-23,17.114,17.259,17.06,17.158
2017-01-24,17.114,17.29,17.043,17.176
2017-01-25,17.044,17.118,16.777,16.886
2017-01-26,16.963,17.041,16.684,16.744
2017-01-27,16.963,17.251,16.638,16.911
2017-01-30,16.963,17.28,17.065,17.184
2017-01-31,17.108,17.521,17.098,17.435
2017-02-01,17.108,17.64,17.366,17.442
2017-02-02,17.582,17.737,17.419,17.546
2017-02-03,17.582,17.546,17.269,17.503
2017-02-06,17.582,17.76,17.466,17.638
2017-02-07,17.582,17.795,17.563,17.78
2017-02-08,17.582,17.873,17.633,17.779
2017-02-09,17.78,17.846,17.618,17.665
2017-02-10,17.67,18.011,17.557,17.882
2017-02-13,17.932,18.009,17.759,17.854
2017-02-14,17.932,18.084,17.75,17.812
2017-02-15,17.932,17.994,17.763,17.87
2017-02-16,17.932,18.143,17.942,18.094
2017-02-17,18.088,18.103,17.98,18.023
2017-02-20,18.088,18.09,17.925,18.021
2017-02-21,18.032,18.09,17.841,17.993
2017-02-22,17.974,18.061,17.929,17.955
2017-02-23,18.032,18.227,17.947,18.16
2017-02-24,18.032,18.414,18.141,18.342
2017-02-27,18.347,18.492,18.23,18.409
2017-02-28,18.312,18.467,18.247,18.42
2017-03-01,18.33,18.468,18.236,18.375
2017-03-02,18.398,18.439,17.685,18.335
2017-03-03,17.773,17.989,17.641,17.723
2017-03-06,17.773,17.96,17.71,17.806
2017-03-07,17.773,17.794,17.475,17.604
2017-03-08,17.484,17.553,17.223,17.294
2017-03-09,17.484,17.292,16.938,17.13
2017-03-10,17.484,17.089,16.843,16.914
2017-03-13,16.936,17.151,16.953,16.994
2017-03-14,16.967,17.054,16.866,17.002
2017-03-15,16.875,17.357,16.824,16.855
2017-03-16,17.332,17.567,17.249,17.325
2017-03-17,17.313,17.416,17.23,17.328
2017-03-20,17.373,17.462,17.355,17.403
2017-03-21,17.373,17.603,17.331,17.523
2017-03-22,17.512,17.593,17.45,17.539
2017-03-23,17.528,17.693,17.516,17.576
2017-03-24,17.528,17.786,17.535,17.708
2017-03-27,17.79,18.135,17.789,18.031
2017-03-28,18.088,18.241,18.003,18.164
2017-03-29,18.129,18.257,18.036,18.174
2017-03-30,18.22,18.301,18.059,18.225
2017-03-31,18.118,18.268,18.047,18.187
2017-04-03,18.203,18.269,18.083,18.219
2017-04-04,18.221,18.384,18.261,18.359
2017-04-05,18.221,18.324,18.142,18.221
2017-04-06,18.221,18.348,18.166,18.22
2017-04-07,18.221,18.479,18.16,18.366
2017-04-10,18.221,18.48,17.75,17.913
2017-04-11,17.93,18.04,17.916,17.95
2017-04-12,17.94,18.499,17.91,18.301
2017-04-13,18.429,18.606,18.423,18.456
2017-04-14,18.514,18.557,18.539,18.534
2017-04-17,18.514,18.656,18.367,18.488
2017-04-18,18.407,18.449,18.087,18.245
2017-04-19,18.407,18.345,18.105,18.118
2017-04-20,18.17,18.242,17.872,17.877
2017-04-21,18.011,18.056,17.813,17.869
2017-04-24,17.945,17.95,17.642,17.876
2017-04-25,17.919,18.013,17.555,17.692
2017-04-26,17.616,17.662,17.324,17.453
2017-04-27,17.475,17.505,17.236,17.296
2017-04-28,17.475,17.43,17.168,17.212
2017-05-01,17.22,17.283,16.795,17.011
2017-05-02,16.85,17.011,16.787,16.839
2017-05-03,16.83,16.893,16.399,16.533
2017-05-04,16.47,16.645,16.209,16.274
2017-05-05,16.33,16.523,16.226,16.307
2017-05-08,16.27,16.451,16.224,16.258
2017-05-09,16.273,16.32,16.063,16.134
2017-05-10,16.195,16.347,16.15,16.235
2017-05-11,16.188,16.395,16.177,16.243
2017-05-12,16.331,16.49,16.316,16.442
2017-05-15,16.462,16.824,16.427,16.675
2017-05-16,16.638,16.877,16.622,16.74
2017-05-17,16.84,17.042,16.772,16.893
2017-05-18,16.907,16.961,16.447,16.709
2017-05-19,16.58,16.885,16.582,16.764
2017-05-22,16.857,17.222,16.844,17.156
2017-05-23,17.123,17.313,17.039,17.126
2017-05-24,17.05,17.24,16.905,17.073
2017-05-25,17.207,17.27,17.139,17.194
2017-05-26,17.145,17.393,17.112,17.31
2017-05-29,17.335,17.457,17.321,17.434
2017-05-30,17.414,17.476,17.223,17.391
2017-05-31,17.386,17.432,17.24,17.36
2017-06-01,17.32,17.384,17.013,17.189
2017-06-02,17.273,17.586,17.135,17.516
2017-06-05,17.542,17.658,17.505,17.535
2017-06-06,17.551,17.754,17.528,17.702
2017-06-07,17.715,17.736,17.52,17.62
2017-06-08,17.575,17.694,17.305,17.445
2017-06-09,17.46,17.502,17.182,17.219
2017-06-12,17.192,17.235,16.916,16.942
2017-06-13,16.954,16.979,16.731,16.796
2017-06-14,16.829,17.365,16.815,17.181
2017-06-15,16.9,17.09,16.662,16.75
2017-06-16,16.747,16.836,16.641,16.673
2017-06-19,16.684,16.719,16.484,16.56
2017-06-20,16.498,16.646,16.404,16.459
2017-06-21,16.454,16.541,16.362,16.415
2017-06-22,16.44,16.684,16.45,16.591
2017-06-23,16.567,16.797,16.555,16.703
2017-06-26,16.712,16.767,16.295,16.575
2017-06-27,16.593,16.76,16.535,16.596
2017-06-28,16.674,16.872,16.656,16.806
2017-06-29,16.809,16.904,16.607,16.65
2017-06-30,16.623,16.705,16.527,16.653
2017-07-03,16.631,16.652,16.105,16.149
2017-07-04,16.134,16.211,16.05,16.074
2017-07-05,16.068,16.226,15.887,15.984
2017-07-06,16.075,16.112,15.941,15.979
2017-07-07,16.035,16.178,15.367,15.437
2017-07-10,15.61,15.746,15.189,15.604
2017-07-11,15.67,15.867,15.466,15.746
2017-07-12,15.832,16.03,15.75,15.95
2017-07-13,15.897,15.99,15.696,15.763
2017-07-14,15.711,16.091,15.614,15.92
2017-07-17,15.98,16.205,15.972,16.115
2017-07-18,16.102,16.339,16.097,16.289
2017-07-19,16.299,16.371,16.16,16.298
2017-07-20,16.265,16.426,16.143,16.361
2017-07-21,16.314,16.529,16.307,16.455
2017-07-24,16.516,16.596,16.428,16.497
2017-07-25,16.474,16.626,16.252,16.5
2017-07-26,16.477,16.701,16.308,16.443
2017-07-27,16.634,16.823,16.558,16.614
2017-07-28,16.566,16.779,16.525,16.71
2017-07-31,16.766,16.883,16.681,16.839
2017-08-01,16.837,16.858,16.612,16.739
2017-08-02,16.7,16.943,16.478,16.72
2017-08-03,16.571,16.701,16.443,16.632
2017-08-04,16.672,16.756,16.201,16.306
2017-08-07,16.265,16.315,16.131,16.263
2017-08-08,16.256,16.482,16.235,16.384
2017-08-09,16.462,16.962,16.45,16.864
2017-08-10,16.942,17.249,16.865,17.071
2017-08-11,17.135,17.204,16.898,17.068
2017-08-14,17.098,17.225,16.94,17.109
2017-08-15,17.061,17.078,16.583,16.665
2017-08-16,16.637,17.139,16.629,16.951
2017-08-17,17.117,17.183,16.979,17.04
2017-08-18,17.044,17.322,16.921,17.049
2017-08-21,16.92,17.132,16.847,16.996
2017-08-22,17.005,17.122,16.884,17.009
2017-08-23,16.973,17.11,16.923,16.999
2017-08-24,17.085,17.108,16.833,16.965
2017-08-25,16.957,17.186,16.738,17.057
2017-08-28,17.07,17.485,17.03,17.361
2017-08-29,17.462,17.669,17.282,17.527
2017-08-30,17.393,17.485,17.313,17.414
2017-08-31,17.434,17.627,17.283,17.539
2017-09-01,17.571,17.756,17.446,17.692
2017-09-04,17.788,17.95,17.783,17.903
2017-09-05,17.866,18.011,17.785,17.912
2017-09-06,17.893,17.997,17.817,17.971
2017-09-07,17.864,18.152,17.799,18.023
2017-09-08,18.109,18.218,17.9,18.044
2017-09-11,17.797,17.923,17.711,17.878
2017-09-12,17.818,17.91,17.725,17.829
2017-09-13,17.911,17.962,17.67,17.715
2017-09-14,17.768,17.806,17.61,17.702
2017-09-15,17.814,17.851,17.582,17.659
2017-09-18,17.585,17.628,17.065,17.191
2017-09-19,17.204,17.332,17.119,17.282
2017-09-20,17.29,17.4,16.971,17.295
2017-09-21,17.159,17.198,16.836,17.031
2017-09-22,16.993,17.068,16.912,16.971
2017-09-25,16.985,17.191,16.843,17.041
2017-09-26,17.155,17.251,16.789,16.891
2017-09-27,16.81,16.917,16.725,16.828
2017-09-28,16.774,16.902,16.684,16.789
2017-09-29,16.855,16.886,16.629,16.759
2017-10-02,16.639,16.734,16.548,16.66
2017-10-03,16.587,16.67,16.558,16.644
2017-10-04,16.631,16.886,16.52,16.617
2017-10-05,16.6,16.748,16.549,16.654
2017-10-06,16.605,16.868,16.334,16.835
2017-10-09,16.803,16.999,16.784,16.882
2017-10-10,16.946,17.253,16.94,17.156
2017-10-11,17.121,17.239,17.065,17.102
2017-10-12,17.161,17.267,17.118,17.194
2017-10-13,17.231,17.455,17.186,17.323
2017-10-16,17.393,17.469,17.109,17.366
2017-10-17,17.244,17.257,16.969,16.988
2017-10-18,17.03,17.109,16.907,16.993
2017-10-19,17.005,17.293,16.917,17.22
2017-10-20,17.258,17.293,16.934,16.999
2017-10-23,16.984,17.115,16.862,17.016
2017-10-24,17.083,17.15,16.884,16.934
2017-10-25,16.944,17.04,16.817,16.921
2017-10-26,16.955,17.037,16.747,16.913
2017-10-27,16.797,16.886,16.609,16.735
2017-10-30,16.838,16.901,16.693,16.791
2017-10-31,16.846,16.902,16.643,16.673
2017-11-01,16.715,17.201,16.671,17.09
2017-11-02,17.126,17.243,17.043,17.116
2017-11-03,17.118,17.182,16.786,16.82
2017-11-06,16.844,17.265,16.805,16.988
2017-11-07,17.206,17.262,16.924,17.023
2017-11-08,16.978,17.256,16.932,17.153
2017-11-09,17.044,17.146,16.919,16.945
2017-11-10,16.988,17.103,16.799,17.053
2017-11-13,16.866,17.076,16.833,17.033
2017-11-14,17.038,17.098,16.875,17.006
2017-11-15,17.021,17.207,16.951,17.017
2017-11-16,16.984,17.133,16.962,17.07
2017-11-17,17.069,17.384,17.034,17.112
2017-11-20,17.271,17.35,16.846,17.007
2017-11-21,16.913,17.058,16.896,16.995
2017-11-22,16.956,17.174,16.954,17.097
2017-11-23,17.123,17.168,17.03,17.103
2017-11-24,17.076,17.16,16.975,17.037
2017-11-27,17.055,17.199,17.014,17.067
2017-11-28,17.052,17.121,16.772,16.868
2017-11-29,16.865,16.932,16.498,16.66
2017-11-30,16.548,16.597,16.32,16.362
2017-12-01,16.436,16.557,16.246,16.335
2017-12-04,16.353,16.449,16.25,16.269
2017-12-05,16.32,16.367,16.03,16.074
2017-12-06,16.104,16.148,15.922,15.952
2017-12-07,15.975,15.992,15.645,15.787
2017-12-08,15.739,15.897,15.619,15.775
2017-12-11,15.842,15.888,15.692,15.776
2017-12-12,15.711,15.82,15.623,15.641
2017-12-13,15.726,16.155,15.674,15.786
2017-12-14,16.032,16.129,15.833,15.87
2017-12-15,15.906,16.086,15.873,16.014
2017-12-18,16.052,16.176,16.013,16.14
2017-12-19,16.126,16.227,16.055,16.101
2017-12-20,16.125,16.267,16.101,16.182
2017-12-21,16.179,16.252,16.091,16.197
2017-12-22,16.117,16.427,16.108,16.333
2017-12-25,16.359,16.367,16.359,16.359
2017-12-26,16.323,16.574,16.308,16.495
2017-12-27,16.524,16.728,16.487,16.69
2017-12-28,16.673,16.89,16.643,16.802
2017-12-29,16.843,17.122,16.82,16.939
2018-01-01,16.928,17.122,16.82,16.928
2018-01-02,16.978,17.215,16.94,17.131
2018-01-03,17.18,17.248,17.029,17.182
2018-01-04,17.12,17.278,16.99,17.253
2018-01-05,17.19,17.291,17.102,17.219
2018-01-08,17.236,17.269,17.043,17.138
2018-01-09,17.119,17.15,16.917,16.951
2018-01-10,16.962,17.194,16.91,17.016
2018-01-11,16.98,17.051,16.877,16.956
2018-01-12,16.98,17.288,16.966,17.114
2018-01-15,17.211,17.429,17.19,17.341
2018-01-16,17.322,17.382,16.807,17.13
2018-01-17,17.192,17.297,16.992,17.083
2018-01-18,16.99,17.134,16.913,16.989
2018-01-19,16.954,17.133,16.936,16.994
2018-01-22,17.042,17.099,16.951,17.021
2018-01-23,16.99,17.099,16.75,16.941
2018-01-24,17.032,17.626,16.996,17.375
2018-01-25,17.546,17.704,17.151,17.506
2018-01-26,17.298,17.546,17.251,17.365
2018-01-29,17.405,17.487,17.111,17.167
2018-01-30,17.179,17.339,17.079,17.178
2018-01-31,17.111,17.392,17.1,17.264
2018-02-01,17.305,17.402,17.104,17.152
2018-02-02,17.218,17.257,16.563,16.738
2018-02-05,16.589,16.909,16.562,16.805
2018-02-06,16.712,16.994,16.587,16.642
2018-02-07,16.642,16.781,16.268,16.411
2018-02-08,16.382,16.475,16.251,16.352
2018-02-09,16.395,16.454,16.19,16.251
2018-02-12,16.349,16.625,16.314,16.504
2018-02-13,16.551,16.691,16.457,16.554
2018-02-14,16.572,16.935,16.386,16.785
2018-02-15,16.85,16.985,16.647,16.664
2018-02-16,16.861,16.951,16.622,16.798
2018-02-19,16.638,16.736,16.618,16.688
2018-02-20,16.688,16.706,16.431,16.586
2018-02-21,16.451,16.777,16.393,16.624
2018-02-22,16.494,16.69,16.406,16.611
2018-02-23,16.616,16.64,16.503,16.521
2018-02-26,16.513,16.77,16.47,16.584
2018-02-27,16.645,16.702,16.338,16.363
2018-02-28,16.426,16.512,16.358,16.445
2018-03-01,16.411,16.552,16.173,16.254
2018-03-02,16.446,16.581,16.391,16.455
2018-03-05,16.519,16.603,16.359,16.398
2018-03-06,16.417,16.868,16.395,16.814
2018-03-07,16.796,16.838,16.428,16.495
2018-03-08,16.498,16.573,16.432,16.453
2018-03-09,16.488,16.694,16.358,16.605
2018-03-12,16.592,16.627,16.433,16.484
2018-03-13,16.522,16.667,16.46,16.584
2018-03-14,16.596,16.661,16.514,16.524
2018-03-15,16.529,16.578,16.377,16.413
2018-03-16,16.395,16.502,16.216,16.264
2018-03-19,16.321,16.361,16.222,16.347
2018-03-20,16.321,16.351,16.123,16.177
2018-03-21,16.177,16.657,16.171,16.468
2018-03-22,16.564,16.614,16.348,16.364
2018-03-23,16.389,16.673,16.376,16.573
2018-03-26,16.59,16.792,16.533,16.72
2018-03-27,16.688,16.808,16.477,16.531
2018-03-28,16.52,16.569,16.252,16.277
2018-03-29,16.301,16.369,16.225,16.314
2018-03-30,16.36,16.382,16.349,16.358
2018-04-02,16.357,16.682,16.339,16.584
2018-04-03,16.579,16.626,16.361,16.401
2018-04-04,16.417,16.536,16.252,16.28
2018-04-05,16.273,16.536,16.189,16.369
2018-04-06,16.369,16.499,16.189,16.386
2018-04-09,16.414,16.558,16.325,16.448
2018-04-10,16.449,16.653,16.325,16.588
2018-04-11,16.579,16.874,16.436,16.79
2018-04-12,16.785,16.874,16.454,16.515
2018-04-13,16.51,16.699,16.443,16.641
2018-04-16,16.656,16.777,16.558,16.703
2018-04-17,16.709,16.807,16.558,16.744
2018-04-18,16.775,17.267,16.591,17.208
2018-04-19,17.207,17.358,16.732,17.179
2018-04-20,17.185,17.357,17.046,17.18
2018-04-23,17.107,17.133,16.598,16.628
2018-04-24,16.627,17.133,16.559,16.708
2018-04-25,16.702,16.759,16.506,16.552
2018-04-26,16.552,16.748,16.427,16.47
2018-04-27,16.471,16.621,16.427,16.459
2018-04-30,16.501,16.552,16.203,16.331
2018-05-01,16.336,16.552,16.055,16.112
2018-05-02,16.117,16.535,16.055,16.397
2018-05-03,16.395,16.59,16.15,16.419
2018-05-04,16.419,16.59,16.36,16.432
2018-05-07,16.503,16.581,16.408,16.484
2018-05-08,16.478,16.581,16.316,16.4
2018-05-09,16.401,16.624,16.316,16.537
2018-05-10,16.536,16.759,16.355,16.703
2018-05-11,16.703,16.834,16.474,16.734
2018-05-14,16.661,16.739,16.503,16.64
2018-05-15,16.646,16.739,16.205,16.27
2018-05-16,16.274,16.556,16.192,16.298
2018-05-17,16.302,16.495,16.192,16.457
2018-05-18,16.458,16.495,16.331,16.412
2018-05-21,16.436,16.526,16.275,16.468
2018-05-22,16.468,16.673,16.275,16.577
2018-05-23,16.581,16.673,16.323,16.386
2018-05-24,16.386,16.707,16.323,16.613
2018-05-25,16.624,16.719,16.409,16.537
2018-05-28,16.49,16.516,16.433,16.459
2018-05-29,16.464,16.516,16.319,16.387
2018-05-30,16.397,16.562,16.319,16.543
2018-05-31,16.505,16.599,16.32,16.492
2018-06-01,16.492,16.599,16.341,16.46
2018-06-04,16.406,16.549,16.374,16.428
2018-06-05,16.438,16.549,16.364,16.477
2018-06-06,16.48,16.747,16.364,16.725
2018-06-07,16.726,16.904,16.475,16.851
2018-06-08,16.846,16.904,16.626,16.754
2018-06-11,16.783,16.948,16.746,16.912
2018-06-12,16.912,16.948,16.73,16.897
2018-06-13,16.897,17.115,16.73,16.953
2018-06-14,16.957,17.32,16.803,17.203
2018-06-15,17.201,17.32,16.461,16.566
2018-06-18,16.528,16.631,16.423,16.463
2018-06-19,16.453,16.631,16.243,16.362
2018-06-20,16.355,16.549,16.243,16.323
2018-06-21,16.328,16.372,16.197,16.305
2018-06-22,16.3,16.519,16.197,16.395
2018-06-25,16.446,16.529,16.292,16.32
2018-06-26,16.313,16.529,16.151,16.284
2018-06-27,16.281,16.36,15.977,16.163
2018-06-28,16.165,16.308,15.924,15.983
2018-06-29,15.982,16.17,15.924,16.128
2018-07-02,16.084,16.133,15.773,15.854
2018-07-03,15.849,16.133,15.786,16.022
2018-07-04,16.013,16.151,15.786,16.056
2018-07-05,16.055,16.151,15.929,16.037
2018-07-06,16.038,16.106,15.929,15.97
2018-07-09,16.037,16.217,16.029,16.096
2018-07-10,16.088,16.217,15.905,16.075
2018-07-11,16.08,16.164,15.785,15.831
2018-07-12,15.834,16.078,15.762,15.971
2018-07-13,15.976,15.997,15.688,15.837
2018-07-16,15.793,15.88,15.743,15.751
2018-07-17,15.752,15.88,15.548,15.6
2018-07-18,15.6,15.865,15.401,15.472
2018-07-19,15.475,15.618,15.18,15.274
2018-07-20,15.271,15.579,15.18,15.479
2018-07-23,15.511,15.56,15.345,15.399
2018-07-24,15.394,15.601,15.33,15.486
2018-07-25,15.488,15.634,15.33,15.539
2018-07-26,15.544,15.671,15.374,15.456
2018-07-27,15.461,15.671,15.329,15.519
2018-07-30,15.467,15.548,15.4,15.501
2018-07-31,15.501,15.61,15.366,15.561
2018-08-01,15.558,15.587,15.366,15.416
2018-08-02,15.421,15.54,15.292,15.38
2018-08-03,15.302,15.554,15.248,15.498
2018-08-06,15.414,15.492,15.28,15.344
2018-08-07,15.291,15.493,15.282,15.388
2018-08-08,15.387,15.493,15.282,15.357
2018-08-09,15.359,15.511,15.285,15.43
2018-08-10,15.43,15.511,15.291,15.312
2018-08-13,15.297,15.345,14.98,15.058
2018-08-14,15.072,15.345,14.98,15.052
2018-08-15,15.053,15.113,14.369,14.437
2018-08-16,14.432,15.083,14.338,14.778
2018-08-17,14.772,14.837,14.338,14.664
2018-08-20,14.766,14.849,14.648,14.672
2018-08-21,14.668,14.851,14.648,14.752
2018-08-22,14.754,14.88,14.694,14.744
2018-08-23,14.744,14.88,14.483,14.584
2018-08-24,14.584,14.88,14.46,14.855
2018-08-27,14.852,14.921,14.751,14.868
2018-08-28,14.868,15.001,14.674,14.86
2018-08-29,14.86,15.001,14.667,14.714
2018-08-30,14.713,14.788,14.511,14.55
2018-08-31,14.543,14.776,14.489,14.513
2018-09-03,14.528,14.554,14.398,14.508
2018-09-04,14.508,14.554,14.01,14.091
2018-09-05,14.094,14.55,14.01,14.201
2018-09-06,14.2,14.31,14.092,14.154
2018-09-07,14.166,14.31,14.08,14.2
2018-09-10,14.144,14.253,14.078,14.166
2018-09-11,14.171,14.253,13.942,14.096
2018-09-12,14.095,14.282,13.942,14.195
2018-09-13,14.199,14.355,14.075,14.218
2018-09-14,14.214,14.355,14.019,14.127
2018-09-17,14.056,14.254,14.043,14.196
2018-09-18,14.198,14.254,14.043,14.179
2018-09-19,14.179,14.343,14.076,14.259
2018-09-20,14.261,14.355,14.145,14.221
2018-09-21,14.217,14.432,14.157,14.315
2018-09-24,14.274,14.393,14.196,14.341
2018-09-25,14.341,14.562,14.196,14.496
2018-09-26,14.492,14.562,14.223,14.373
2018-09-27,14.34,14.462,14.18,14.244
2018-09-28,14.226,14.722,14.226,14.661
2018-10-01,14.661,14.695,14.35,14.451
2018-10-02,14.454,14.909,14.35,14.703
