date,开盘,收盘,最低,最高
2016-12-19,3999.0,3999.0,3999.0,3999.0
2016-12-20,3956.0,3956.0,3956.0,3956.0
2016-12-21,3932.0,3932.0,3932.0,3932.0
2016-12-22,3883.0,3883.0,3883.0,3883.0
2016-12-23,3906.0,3906.0,3906.0,3906.0
2016-12-26,3950.0,3930.0,3900.0,3950.0
2016-12-29,3968.0,3968.0,3968.0,3968.0
2017-01-03,3978.0,3978.0,3978.0,3978.0
2017-01-04,4018.0,4016.0,4016.0,4018.0
2017-01-05,4027.0,4042.0,4027.0,4058.0
2017-01-06,3998.0,3997.0,3975.0,3998.0
2017-01-09,3995.0,3995.0,3995.0,4000.0
2017-01-10,4020.0,4020.0,4020.0,4020.0
2017-01-11,4078.0,4068.0,4065.0,4078.0
2017-01-12,4038.0,4038.0,4038.0,4038.0
2017-01-13,4015.0,4015.0,4015.0,4015.0
2017-01-16,4040.0,4040.0,4040.0,4040.0
2017-01-19,4020.0,4020.0,4020.0,4020.0
2017-02-07,4085.0,4085.0,4085.0,4085.0
2017-02-08,4098.0,4080.0,4080.0,4098.0
2017-02-09,4090.0,4090.0,4090.0,4090.0
2017-02-13,4141.0,4141.0,4140.0,4145.0
2017-02-14,4140.0,4140.0,4140.0,4140.0
2017-02-20,4125.0,4125.0,4125.0,4125.0
2017-02-21,4140.0,4146.0,4140.0,4153.0
2017-02-22,4145.0,4145.0,4145.0,4145.0
2017-02-23,4140.0,4140.0,4140.0,4140.0
2017-02-27,4268.0,4268.0,4268.0,4268.0
2017-03-01,4209.0,4209.0,4209.0,4209.0
2017-03-06,4103.0,4103.0,4103.0,4103.0
2017-03-07,4093.0,4093.0,4093.0,4093.0
2017-03-08,4070.0,4070.0,4070.0,4070.0
2017-03-09,4016.0,4016.0,4016.0,4016.0
2017-03-10,3973.0,3973.0,3973.0,3973.0
2017-03-13,4005.0,4005.0,4005.0,4005.0
2017-03-14,3995.0,3995.0,3995.0,3995.0
2017-03-20,4100.0,4100.0,4100.0,4100.0
2017-03-21,4077.0,4077.0,4077.0,4077.0
2017-03-28,4151.0,4151.0,4151.0,4151.0
2017-03-29,4140.0,4140.0,4140.0,4140.0
2017-03-30,4140.0,4140.0,4140.0,4140.0
2017-04-07,4215.0,4215.0,4215.0,4215.0
2017-04-14,4212.0,4213.0,4212.0,4214.0
2017-04-26,4115.0,4108.0,4108.0,4115.0
2017-05-03,4025.0,4025.0,4025.0,4025.0
2017-05-04,3920.0,3920.0,3920.0,3920.0
2017-05-05,3920.0,3920.0,3920.0,3920.0
2017-05-09,3916.0,3916.0,3916.0,3916.0
2017-05-10,3888.0,3886.0,3886.0,3888.0
2017-05-12,3942.0,3942.0,3942.0,3942.0
2017-05-26,3995.0,3998.0,3995.0,4005.0
2017-05-31,3998.0,3999.0,3998.0,4000.0
2017-06-06,4040.0,4040.0,4040.0,4040.0
2017-06-07,4060.0,4060.0,4060.0,4060.0
2017-06-08,4052.0,4052.0,4052.0,4052.0
2017-06-09,3996.0,3996.0,3996.0,3996.0
2017-06-12,4099.0,4039.0,3980.0,4099.0
2017-06-13,3940.0,3940.0,3940.0,3940.0
2017-06-14,3955.0,3955.0,3955.0,3955.0
2017-06-15,3972.0,3971.0,3944.0,3972.0
2017-06-16,3930.0,3930.0,3930.0,3930.0
2017-06-26,3945.0,3945.0,3945.0,3945.0
2017-06-28,3952.0,3950.0,3950.0,3952.0
2017-07-03,3905.0,3905.0,3905.0,3915.0
2017-07-04,3808.0,3808.0,3808.0,3808.0
2017-07-10,3625.0,3625.0,3625.0,3625.0
2017-07-11,3653.0,3653.0,3653.0,3653.0
2017-07-14,3680.0,3680.0,3680.0,3680.0
2017-07-18,3755.0,3755.0,3755.0,3755.0
2017-07-20,3765.0,3758.0,3758.0,3765.0
