品牌,品种,日期,价格
周六福,黄金价格,2024-09-19,753.0
周六福,黄金价格,2024-09-20,758.0
周六福,黄金价格,2024-09-21,767.0
周六福,黄金价格,2024-09-23,767.0
周六福,黄金价格,2024-09-24,767.0
周六福,黄金价格,2024-09-25,773.0
周六福,黄金价格,2024-09-26,773.0
周六福,黄金价格,2024-09-27,773.0
周六福,黄金价格,2024-09-28,773.0
周六福,黄金价格,2024-09-29,773.0
周六福,黄金价格,2024-09-30,773.0
周六福,黄金价格,2024-10-01,768.0
周六福,黄金价格,2024-10-02,773.0
周六福,黄金价格,2024-10-03,773.0
周六福,黄金价格,2024-10-04,773.0
周六福,黄金价格,2024-10-05,773.0
周六福,黄金价格,2024-10-06,773.0
周六福,黄金价格,2024-10-07,773.0
周六福,黄金价格,2024-10-08,773.0
周六福,黄金价格,2024-10-09,768.0
周六福,黄金价格,2024-10-10,768.0
周六福,黄金价格,2024-10-11,768.0
周六福,黄金价格,2024-10-12,776.0
周六福,黄金价格,2024-10-14,776.0
周六福,黄金价格,2024-10-15,776.0
周六福,黄金价格,2024-10-16,786.0
周六福,黄金价格,2024-10-17,793.0
周六福,黄金价格,2024-10-18,799.0
周六福,黄金价格,2024-10-19,806.0
周六福,黄金价格,2024-10-21,806.0
周六福,黄金价格,2024-10-22,806.0
周六福,黄金价格,2024-10-23,806.0
周六福,黄金价格,2024-10-24,806.0
周六福,黄金价格,2024-10-25,806.0
周六福,黄金价格,2024-10-26,813.0
周六福,黄金价格,2024-10-28,810.0
周六福,黄金价格,2024-10-29,816.0
周六福,黄金价格,2024-10-30,826.0
周六福,黄金价格,2024-10-31,826.0
周六福,黄金价格,2024-11-01,815.0
周六福,黄金价格,2024-11-04,812.0
周六福,黄金价格,2024-11-05,812.0
周六福,黄金价格,2024-11-06,812.0
周六福,黄金价格,2024-11-07,799.0
周六福,黄金价格,2024-11-08,799.0
周六福,黄金价格,2024-11-09,799.0
周六福,黄金价格,2024-11-11,799.0
周六福,黄金价格,2024-11-12,788.0
周六福,黄金价格,2024-11-13,785.0
周六福,黄金价格,2024-11-14,775.0
周六福,黄金价格,2024-11-15,775.0
周六福,黄金价格,2024-11-16,769.0
周六福,黄金价格,2024-11-18,775.0
周六福,黄金价格,2024-11-19,782.0
周六福,黄金价格,2024-11-20,790.0
周六福,黄金价格,2024-11-21,795.0
周六福,黄金价格,2024-11-22,801.0
周六福,黄金价格,2024-11-23,812.0
周六福,黄金价格,2024-11-25,812.0
周六福,黄金价格,2024-11-26,791.0
周六福,黄金价格,2024-11-27,791.0
周六福,黄金价格,2024-11-28,791.0
周六福,黄金价格,2024-11-29,791.0
周六福,黄金价格,2024-12-01,796.0
周六福,黄金价格,2024-12-02,793.0
周六福,黄金价格,2024-12-03,793.0
周六福,黄金价格,2024-12-04,798.0
周六福,黄金价格,2024-12-05,798.0
周六福,黄金价格,2024-12-06,795.0
周六福,黄金价格,2024-12-08,795.0
周六福,黄金价格,2024-12-09,795.0
周六福,黄金价格,2024-12-10,802.0
周六福,黄金价格,2024-12-11,812.0
周六福,黄金价格,2024-12-12,815.0
周六福,黄金价格,2024-12-13,808.0
周六福,黄金价格,2024-12-15,798.0
周六福,黄金价格,2024-12-16,798.0
周六福,黄金价格,2024-12-17,802.0
周六福,黄金价格,2024-12-18,802.0
周六福,黄金价格,2024-12-19,788.0
周六福,黄金价格,2024-12-20,788.0
周六福,黄金价格,2024-12-21,795.0
周六福,黄金价格,2024-12-23,795.0
周六福,黄金价格,2024-12-24,798.0
周六福,黄金价格,2024-12-25,798.0
周六福,黄金价格,2024-12-26,798.0
周六福,黄金价格,2024-12-27,803.0
周六福,黄金价格,2024-12-28,803.0
周六福,黄金价格,2024-12-30,799.0
周六福,黄金价格,2024-12-31,799.0
周六福,黄金价格,2025-01-02,805.0
周六福,黄金价格,2025-01-03,813.0
周六福,黄金价格,2025-01-05,813.0
周六福,黄金价格,2025-01-06,813.0
周六福,黄金价格,2025-01-07,813.0
周六福,黄金价格,2025-01-08,813.0
周六福,黄金价格,2025-01-09,813.0
周六福,黄金价格,2025-01-10,821.0
周六福,黄金价格,2025-01-12,825.0
周六福,黄金价格,2025-01-13,825.0
周六福,黄金价格,2025-01-14,822.0
周六福,黄金价格,2025-01-15,822.0
周六福,黄金价格,2025-01-16,827.0
周六福,黄金价格,2025-01-17,827.0
周六福,黄金价格,2025-01-20,824.0
周六福,黄金价格,2025-01-21,824.0
周六福,黄金价格,2025-01-22,833.0
周六福,黄金价格,2025-01-23,836.0
周六福,黄金价格,2025-01-24,836.0
周六福,黄金价格,2025-01-26,836.0
周六福,黄金价格,2025-01-27,836.0
周六福,黄金价格,2025-01-28,830.0
周六福,黄金价格,2025-01-29,836.0
周六福,黄金价格,2025-01-30,836.0
周六福,黄金价格,2025-01-31,846.0
周六福,黄金价格,2025-02-01,846.0
周六福,黄金价格,2025-02-02,846.0
周六福,黄金价格,2025-02-03,846.0
周六福,黄金价格,2025-02-04,855.0
周六福,黄金价格,2025-02-05,863.0
周六福,黄金价格,2025-02-06,869.0
周六福,黄金价格,2025-02-07,869.0
周六福,黄金价格,2025-02-08,869.0
周六福,黄金价格,2025-02-10,873.0
周六福,黄金价格,2025-02-11,873.0
周六福,黄金价格,2025-02-12,886.0
周六福,黄金价格,2025-02-13,886.0
周六福,黄金价格,2025-02-14,890.0
周六福,黄金价格,2025-02-16,875.0
周六福,黄金价格,2025-02-17,875.0
周六福,黄金价格,2025-02-18,875.0
周六福,黄金价格,2025-02-19,892.0
周六福,黄金价格,2025-02-20,892.0
周六福,黄金价格,2025-02-21,892.0
周六福,黄金价格,2025-02-22,892.0
周六福,黄金价格,2025-02-24,889.0
周六福,黄金价格,2025-02-25,895.0
周六福,黄金价格,2025-02-26,886.0
周六福,黄金价格,2025-02-27,886.0
