,品牌价,上金所,溢价,溢价率%
2024-09-19,754.0,583.05,170.95000000000005,29.31995540691194
2024-09-20,760.0,588.3,171.70000000000005,29.185789563148063
2024-09-23,768.0,592.2,175.79999999999995,29.685916919959464
2024-09-24,770.0,592.0,178.0,30.067567567567565
2024-09-25,778.0,595.66,182.34000000000003,30.61142262364437
2024-09-26,774.0,597.15,176.85000000000002,29.615674453654865
2024-09-27,775.0,597.16,177.84000000000003,29.7809632259361
2024-09-30,772.0,595.25,176.75,29.693406131877364
2024-10-08,770.0,593.4,176.60000000000002,29.760701044826426
2024-10-09,771.0,588.6,182.39999999999998,30.988786952089697
2024-10-10,766.0,590.89,175.11,29.634957437086435
2024-10-11,774.0,597.3,176.70000000000005,29.58312405826219
2024-10-14,772.0,600.82,171.17999999999995,28.491062214972864
2024-10-15,774.0,603.26,170.74,28.30288764380201
2024-10-16,781.0,609.96,171.03999999999996,28.041183028395295
2024-10-17,790.0,612.66,177.34000000000003,28.94590800770412
2024-10-18,794.0,616.83,177.16999999999996,28.722662646109942
2024-10-21,803.0,624.06,178.94000000000005,28.673524981572296
2024-10-22,806.0,625.0,181.0,28.96
2024-10-23,812.0,628.68,183.32000000000005,29.159508812114282
2024-10-24,806.0,623.03,182.97000000000003,29.36776720222141
2024-10-25,808.0,621.5,186.5,30.008045052292843
2024-10-28,809.0,624.65,184.35000000000002,29.512527015128477
2024-10-29,813.0,629.5,183.5,29.15011914217633
2024-10-30,823.0,636.75,186.25,29.250098154691795
2024-10-31,825.0,634.0,191.0,30.126182965299687
2024-11-01,812.0,627.67,184.33000000000004,29.367342711934626
2024-11-04,813.0,623.48,189.51999999999998,30.397125809969843
2024-11-05,809.0,623.78,185.22000000000003,29.693161050370325
2024-11-06,812.0,624.69,187.30999999999995,29.984472298259924
2024-11-07,800.0,610.01,189.99,31.145391059162968
2024-11-08,808.0,612.85,195.14999999999998,31.843028473525326
2024-11-11,802.0,613.3,188.70000000000005,30.76797652046308
2024-11-12,788.0,602.81,185.19000000000005,30.721122741825795
2024-11-13,783.0,603.09,179.90999999999997,29.831368452469775
2024-11-14,774.0,591.12,182.88,30.937880633373933
2024-11-15,775.0,591.97,183.02999999999997,30.918796560636512
2024-11-18,776.0,598.77,177.23000000000002,29.599011306511684
2024-11-19,786.0,607.3,178.70000000000005,29.42532520994567
2024-11-20,792.0,608.0,184.0,30.263157894736842
2024-11-21,799.0,616.42,182.58000000000004,29.619415333701056
2024-11-22,801.0,623.91,177.09000000000003,28.383901524258313
2024-11-25,814.0,616.51,197.49,32.03354365703719
2024-11-26,798.0,607.0,191.0,31.466227347611202
2024-11-27,789.0,613.8,175.20000000000005,28.543499511241453
2024-11-28,791.0,611.77,179.23000000000002,29.296958007094176
2024-11-29,791.0,614.88,176.12,28.64298724954463
2024-12-02,791.0,613.18,177.82000000000005,28.9996412146515
2024-12-03,795.0,616.72,178.27999999999997,28.9077701387988
2024-12-04,797.0,615.86,181.14,29.412528821485402
2024-12-05,798.0,616.0,182.0,29.545454545454547
2024-12-06,792.0,614.09,177.90999999999997,28.971323421648286
2024-12-09,795.0,617.26,177.74,28.794997245893146
2024-12-10,804.0,619.63,184.37,29.754853703016316
2024-12-11,814.0,624.79,189.21000000000004,30.28377534851711
2024-12-12,823.0,628.83,194.16999999999996,30.87797974015234
2024-12-13,807.0,622.43,184.57000000000005,29.653133685715673
2024-12-16,796.0,618.34,177.65999999999997,28.731765695248562
2024-12-17,801.0,618.21,182.78999999999996,29.567622652496716
2024-12-18,800.0,616.5,183.5,29.764801297648013
2024-12-19,784.0,614.53,169.47000000000003,27.577172798724238
2024-12-20,786.0,611.83,174.16999999999996,28.46705784286484
2024-12-23,795.0,618.4,176.60000000000002,28.557567917205695
2024-12-24,793.0,616.34,176.65999999999997,28.66275107894992
2024-12-25,797.0,616.8,180.20000000000005,29.215304798962393
2024-12-26,800.0,618.07,181.92999999999995,29.43517724529583
2024-12-27,803.0,618.55,184.45000000000005,29.81973971384691
2024-12-30,803.0,616.5,186.5,30.251419302514194
2024-12-31,799.0,614.8,184.20000000000005,29.96096291476904
2025-01-02,803.0,621.99,181.01,29.101754047492722
2025-01-03,813.0,626.87,186.13,29.691961650740982
2025-01-06,812.0,624.32,187.67999999999995,30.061506919528437
2025-01-07,808.0,625.0,183.0,29.28
2025-01-08,816.0,628.35,187.64999999999998,29.863929338744327
2025-01-09,818.0,630.37,187.63,29.76505861636816
2025-01-10,819.0,633.82,185.17999999999995,29.216496797197934
2025-01-13,825.0,636.9,188.10000000000002,29.53367875647669
2025-01-14,818.0,632.44,185.55999999999995,29.34033267977989
2025-01-15,821.0,634.5,186.5,29.393223010244284
2025-01-16,828.0,637.04,190.96000000000004,29.97613964586212
2025-01-17,834.0,637.63,196.37,30.79685711149099
2025-01-20,824.0,637.5,186.5,29.254901960784313
2025-01-21,823.0,639.0,184.0,28.794992175273865
2025-01-22,833.0,643.48,189.51999999999998,29.45235283147883
2025-01-23,835.0,644.02,190.98000000000002,29.654358560293165
2025-01-24,838.0,645.51,192.49,29.81983238059829
2025-01-27,835.0,643.1,191.89999999999998,29.83983828331519
2025-02-05,863.0,667.87,195.13,29.216763741446687
2025-02-06,872.0,667.38,204.62,30.660193592855645
2025-02-07,870.0,668.99,201.01,30.046786947488002
2025-02-10,872.0,679.65,192.35000000000002,28.301331567718684
2025-02-11,891.0,683.52,207.48000000000002,30.354634831460675
2025-02-12,880.0,680.21,199.78999999999996,29.371811646403312
2025-02-13,887.0,683.86,203.14,29.704910361769947
2025-02-14,891.0,686.58,204.41999999999996,29.77366075329895
2025-02-17,873.0,676.28,196.72000000000003,29.088543206955702
2025-02-18,879.0,682.85,196.14999999999998,28.725195870249685
2025-02-19,891.0,686.9,204.10000000000002,29.713204250982677
2025-02-20,895.0,689.18,205.82000000000005,29.864476624394214
2025-02-21,892.0,683.47,208.52999999999997,30.510483269199813
2025-02-24,888.0,685.58,202.41999999999996,29.525365384054368
2025-02-25,894.0,685.17,208.83000000000004,30.478567362844267
2025-02-26,886.0,679.3,206.70000000000005,30.42838215810394
2025-02-27,885.0,676.52,208.48000000000002,30.816531662035125
2025-02-28,876.0,670.78,205.22000000000003,30.59423357881869
2025-03-03,876.0,671.78,204.22000000000003,30.399833278751977
2025-03-04,884.0,679.97,204.02999999999997,30.005735547156487
2025-03-05,889.0,681.57,207.42999999999995,30.434144695335757
2025-03-06,888.0,679.7,208.29999999999995,30.64587317934382
2025-03-07,882.0,679.48,202.51999999999998,29.805145110967207
2025-03-10,883.0,681.99,201.01,29.474039208786053
2025-03-11,878.0,676.71,201.28999999999996,29.74538576347327
2025-03-12,883.0,679.43,203.57000000000005,29.961879811018065
2025-03-13,891.0,683.77,207.23000000000002,30.306974567471524
2025-03-14,907.0,692.67,214.33000000000004,30.942584491893694
2025-03-17,907.0,695.4,211.60000000000002,30.428530342249072
2025-03-18,910.0,700.8,209.20000000000005,29.851598173515992
2025-03-19,916.0,707.7,208.29999999999995,29.4333757241769
2025-03-20,923.0,709.09,213.90999999999997,30.166833547222488
2025-03-21,922.0,706.55,215.45000000000005,30.493241808789197
2025-03-24,915.0,705.92,209.08000000000004,29.61808703535812
2025-03-25,914.0,704.56,209.44000000000005,29.726354036561837
2025-03-26,919.0,707.79,211.21000000000004,29.84077198038967
2025-03-27,923.0,709.29,213.71000000000004,30.13013013013014
2025-03-28,934.0,721.03,212.97000000000003,29.536912472435272
2025-03-31,935.0,730.8,204.20000000000005,27.941981390257258
2025-04-01,949.0,735.84,213.15999999999997,28.968253968253965
2025-04-02,949.0,732.5,216.5,29.55631399317406
2025-04-03,958.0,738.94,219.05999999999995,29.645167401954144
2025-04-07,912.0,713.98,198.01999999999998,27.734670438947866
2025-04-08,917.0,717.5,199.5,27.80487804878049
2025-04-09,928.0,728.88,199.12,27.318625836900452
2025-04-10,959.0,741.26,217.74,29.374308609664627
2025-04-11,991.0,757.1,233.89999999999998,30.894201558578782
2025-04-14,996.0,762.47,233.52999999999997,30.628090285519427
2025-04-15,995.0,762.9,232.10000000000002,30.42338445405689
2025-04-16,1007.0,781.62,225.38,28.834983751695198
2025-04-17,1027.0,786.0,241.0,30.661577608142494
2025-04-18,1022.0,788.62,233.38,29.59346706905734
2025-04-21,1034.0,804.11,229.89,28.589372100831973
2025-04-22,1052.0,825.8,226.20000000000005,27.391620247033188
2025-04-23,1048.0,786.99,261.01,33.165605662079564
2025-04-24,1031.0,792.47,238.52999999999997,30.099562128534828
2025-04-25,1038.0,785.6,252.39999999999998,32.128309572301426
2025-04-28,1026.0,778.4,247.60000000000002,31.808838643371022
2025-04-29,1031.0,780.05,250.95000000000005,32.17101467854626
2025-04-30,1022.0,780.19,241.80999999999995,30.993732295979175
2025-05-06,1023.0,792.2,230.79999999999995,29.134057056298907
2025-05-07,1032.0,798.51,233.49,29.24071082390953
2025-05-08,1033.0,786.5,246.5,31.341385886840435
2025-05-09,1020.0,785.5,234.5,29.853596435391474
2025-05-12,1007.0,759.0,248.0,32.674571805006586
2025-05-13,991.0,763.9,227.10000000000002,29.729022123314575
2025-05-14,992.0,758.38,233.62,30.80513726627812
2025-05-15,975.0,735.86,239.14,32.49802951648411
2025-05-16,992.0,746.4,245.60000000000002,32.90460878885317
2025-05-19,988.0,754.5,233.5,30.947647448641487
2025-05-20,982.0,753.49,228.51,30.326878923409733
2025-05-21,1007.0,773.82,233.17999999999995,30.133622806337385
2025-05-22,1011.0,778.36,232.64,29.88848347808212
2025-05-23,1004.0,776.4,227.60000000000002,29.31478619268419
2025-05-26,1013.0,773.94,239.05999999999995,30.888699382381052
2025-05-27,1015.0,768.75,246.25,32.03252032520325
2025-05-28,1005.0,769.67,235.33000000000004,30.575441422947502
2025-05-29,991.0,763.02,227.98000000000002,29.878640140494355
2025-05-30,1005.0,768.79,236.21000000000004,30.72490537077746
2025-06-03,1024.0,778.5,245.5,31.535003211303792
2025-06-04,1015.0,779.46,235.53999999999996,30.218356297949857
2025-06-05,1023.0,781.25,241.75,30.944
2025-06-06,1016.0,779.88,236.12,30.27645278760835
2025-06-09,1001.0,772.3,228.70000000000005,29.612844749449703
2025-06-10,1003.0,772.68,230.32000000000005,29.80794119169644
2025-06-11,1009.0,774.69,234.30999999999995,30.245646645755066
2025-06-12,1020.0,780.54,239.46000000000004,30.678760857867637
2025-06-13,1033.0,792.07,240.92999999999995,30.41776610653098
2025-06-16,1037.0,788.2,248.79999999999995,31.565592489215927
2025-06-17,1024.0,783.19,240.80999999999995,30.74732823452801
2025-06-18,1023.0,781.85,241.14999999999998,30.843512182643725
2025-06-19,1023.0,777.41,245.59000000000003,31.590795075957352
2025-06-20,1020.0,777.4,242.60000000000002,31.20658605608439
2025-06-23,1018.0,777.98,240.01999999999998,30.851692845574437
2025-06-24,1013.0,768.87,244.13,31.751791590255827
2025-06-25,1005.0,771.49,233.51,30.26740463259407
2025-06-26,1006.0,773.64,232.36,30.0346414352929
2025-06-27,996.0,763.3,232.70000000000005,30.486047425651787
2025-06-30,985.0,764.43,220.57000000000005,28.85417893070655
2025-07-01,1000.0,772.88,227.12,29.386191905599834
2025-07-02,1007.0,770.7,236.29999999999995,30.66043856234591
2025-07-03,1010.0,776.14,233.86,30.131161903780246
2025-07-04,1004.0,771.9,232.10000000000002,30.068661743749193
2025-07-07,999.0,767.75,231.25,30.120481927710845
2025-07-08,1007.0,771.48,235.51999999999998,30.528335148027164
2025-07-09,999.0,763.38,235.62,30.865361942937987
2025-07-10,999.0,769.73,229.26999999999998,29.785769035895697
2025-07-11,1004.0,769.66,234.34000000000003,30.447210456565244
2025-07-14,1012.0,777.4,234.60000000000002,30.177514792899412
2025-07-15,1007.0,776.02,230.98000000000002,29.764696786165306
2025-07-16,1003.0,772.4,230.60000000000002,29.854997410668048
2025-07-17,1009.0,770.91,238.09000000000003,30.884279617594796
2025-07-18,1007.0,773.5,233.5,30.187459599224304
2025-07-21,1012.0,777.34,234.65999999999997,30.187562713870374
2025-07-22,1021.0,780.35,240.64999999999998,30.838726212596907
2025-07-23,1029.0,788.5,240.5,30.500951173113506
2025-07-24,1015.0,775.34,239.65999999999997,30.910310315474497
2025-07-25,1008.0,774.21,233.78999999999996,30.197233308792182
2025-07-28,1000.0,771.8,228.20000000000005,29.567245400362797
2025-07-29,994.0,767.69,226.30999999999995,29.479347132306
2025-07-30,1001.0,769.68,231.32000000000005,30.054048435713554
2025-07-31,991.0,767.36,223.64,29.144078398665552
2025-08-01,995.0,767.29,227.71000000000004,29.67717551382138
2025-08-04,1010.0,776.01,233.99,30.152961946366673
2025-08-05,1014.0,779.85,234.14999999999998,30.02500480861704
2025-08-06,1015.0,779.14,235.86,30.271838180558053
2025-08-07,1014.0,782.08,231.91999999999996,29.65425531914893
2025-08-08,1017.0,783.18,233.82000000000005,29.855205699839125
2025-08-11,1013.0,775.54,237.46000000000004,30.618665703896646
2025-08-12,1010.0,773.47,236.52999999999997,30.580371572265243
2025-08-13,1006.0,774.96,231.03999999999996,29.81315164653659
2025-08-14,1012.0,775.05,236.95000000000005,30.57222114702278
2025-08-15,1003.0,773.55,229.45000000000005,29.661948161075568
2025-08-18,1007.0,774.46,232.53999999999996,30.02608268987423
2025-08-19,1004.0,773.05,230.95000000000005,29.875169782032216
2025-08-20,999.0,770.24,228.76,29.69983381803074
2025-08-21,1007.0,772.0,235.0,30.440414507772022
2025-08-22,1006.0,771.87,234.13,30.332828066902458
2025-08-25,1010.0,775.85,234.14999999999998,30.179802796932393
2025-08-26,1011.0,777.1,233.89999999999998,30.099086346673527
2025-08-27,1014.0,778.07,235.92999999999995,30.322464559743974
