,品牌价,上金所,溢价,溢价率%
2024-09-19,752.0,583.05,168.95000000000005,28.976931652516946
2024-09-20,758.0,588.3,169.70000000000005,28.845826959034515
2024-09-23,763.0,592.2,170.79999999999995,28.841607565011813
2024-09-24,768.0,592.0,176.0,29.72972972972973
2024-09-25,772.0,595.66,176.34000000000003,29.60413658798644
2024-09-26,774.0,597.15,176.85000000000002,29.615674453654865
2024-09-27,773.0,597.16,175.84000000000003,29.446044611159493
2024-09-30,770.0,595.25,174.75,29.357412851742964
2024-10-08,772.0,593.4,178.60000000000002,30.097741826761045
2024-10-09,763.0,588.6,174.39999999999998,29.629629629629623
2024-10-10,763.0,590.89,172.11,29.127248726497317
2024-10-11,770.0,597.3,172.70000000000005,28.913443830570912
2024-10-14,773.0,600.82,172.17999999999995,28.65750141473319
2024-10-15,776.0,603.26,172.74,28.63441965321752
2024-10-16,784.0,609.96,174.03999999999996,28.533018558593998
2024-10-17,789.0,612.66,176.34000000000003,28.782685339339935
2024-10-18,796.0,616.83,179.16999999999996,29.04690109106236
2024-10-21,805.0,624.06,180.94000000000005,28.99400698650772
2024-10-22,807.0,625.0,182.0,29.12
2024-10-23,813.0,628.68,184.32000000000005,29.318572246611957
2024-10-24,804.0,623.03,180.97000000000003,29.0467553729355
2024-10-25,808.0,621.5,186.5,30.008045052292843
2024-10-28,809.0,624.65,184.35000000000002,29.512527015128477
2024-10-29,813.0,629.5,183.5,29.15011914217633
2024-10-30,821.0,636.75,184.25,28.936003140950138
2024-10-31,826.0,634.0,192.0,30.28391167192429
2024-11-01,815.0,627.67,187.33000000000004,29.845300874663444
2024-11-04,814.0,623.48,190.51999999999998,30.55751587861679
2024-11-05,814.0,623.78,190.22000000000003,30.494725704575337
2024-11-06,814.0,624.69,189.30999999999995,30.304631097024114
2024-11-07,801.0,610.01,190.99,31.309322797986923
2024-11-08,805.0,612.85,192.14999999999998,31.35351227869788
2024-11-11,802.0,613.3,188.70000000000005,30.76797652046308
2024-11-12,792.0,602.81,189.19000000000005,31.384681740515262
2024-11-13,789.0,603.09,185.90999999999997,30.826244839078736
2024-11-14,778.0,591.12,186.88,31.614562187034778
2024-11-15,778.0,591.97,186.02999999999997,31.425578998935748
2024-11-18,776.0,598.77,177.23000000000002,29.599011306511684
2024-11-19,785.0,607.3,177.70000000000005,29.26066194631979
2024-11-20,793.0,608.0,185.0,30.427631578947366
2024-11-21,798.0,616.42,181.58000000000004,29.4571882807177
2024-11-22,802.0,623.91,178.09000000000003,28.544181051754265
2024-11-25,809.0,616.51,192.49,31.22252680410699
2024-11-26,792.0,607.0,185.0,30.477759472817134
2024-11-27,793.0,613.8,179.20000000000005,29.19517758227437
2024-11-28,793.0,611.77,181.23000000000002,29.623878254899722
2024-11-29,793.0,614.88,178.12,28.968253968253972
2024-12-02,792.0,613.18,178.82000000000005,29.1627254639747
2024-12-03,798.0,616.72,181.27999999999997,29.39421455441691
2024-12-04,798.0,615.86,182.14,29.57490338713344
2024-12-05,798.0,616.0,182.0,29.545454545454547
2024-12-06,794.0,614.09,179.90999999999997,29.29700858180396
2024-12-09,797.0,617.26,179.74,29.119009817580928
2024-12-10,803.0,619.63,183.37,29.593467069057343
2024-12-11,810.0,624.79,185.21000000000004,29.643560236239384
2024-12-12,815.0,628.83,186.16999999999996,29.605775805861672
2024-12-13,810.0,622.43,187.57000000000005,30.135115595328
2024-12-16,800.0,618.34,181.65999999999997,29.378658990199558
2024-12-17,802.0,618.21,183.78999999999996,29.729379984147776
2024-12-18,802.0,616.5,185.5,30.08921330089213
