,品牌价,上金所,溢价,溢价率%
2024-09-19,739.0,583.05,155.95000000000005,26.747277248949498
2024-09-20,737.0,588.3,148.70000000000005,25.276219615842265
2024-09-23,745.0,592.2,152.79999999999995,25.80209388720026
2024-09-24,745.0,592.0,153.0,25.844594594594593
2024-09-25,752.0,595.66,156.34000000000003,26.24651646912669
2024-09-26,752.0,597.15,154.85000000000002,25.93150799631584
2024-09-27,752.0,597.16,154.84000000000003,25.929399156005097
2024-09-30,752.0,595.25,156.75,26.33347333053339
2024-10-08,746.0,593.4,152.60000000000002,25.71621166161106
2024-10-09,745.0,588.6,156.39999999999998,26.571525654094458
2024-10-10,745.0,590.89,154.11,26.080996462962652
2024-10-11,745.0,597.3,147.70000000000005,24.72794240750043
2024-10-14,752.0,600.82,151.17999999999995,25.16227821976631
2024-10-15,752.0,603.26,148.74,24.65603554023141
2024-10-16,758.0,609.96,148.03999999999996,24.270443963538586
2024-10-17,762.0,612.66,149.34000000000003,24.37567329350701
2024-10-18,770.0,616.83,153.16999999999996,24.831801306680926
2024-10-21,778.0,624.06,153.94000000000005,24.66749991987951
2024-10-22,778.0,625.0,153.0,24.48
2024-10-23,787.0,628.68,158.32000000000005,25.18292294967234
2024-10-24,780.0,623.03,156.97000000000003,25.194613421504584
2024-10-25,780.0,621.5,158.5,25.502815768302494
2024-10-28,787.0,624.65,162.35000000000002,25.990554710637966
2024-10-29,787.0,629.5,157.5,25.019857029388405
2024-10-30,795.0,636.75,158.25,24.852767962308597
2024-10-31,795.0,634.0,161.0,25.39432176656151
2024-11-01,783.0,627.67,155.33000000000004,24.747080472222674
2024-11-04,790.0,623.48,166.51999999999998,26.70815423109001
2024-11-05,790.0,623.78,166.22000000000003,26.647215364391297
2024-11-06,790.0,624.69,165.30999999999995,26.46272551185387
2024-11-07,780.0,610.01,169.99,27.86675628268389
2024-11-08,786.0,612.85,173.14999999999998,28.253243044790725
2024-11-11,786.0,613.3,172.70000000000005,28.15913908364586
2024-11-12,775.0,602.81,172.19000000000005,28.564555996085012
2024-11-13,775.0,603.09,171.90999999999997,28.504866603657824
2024-11-14,769.0,591.12,177.88,30.092028691297873
2024-11-15,769.0,591.97,177.02999999999997,29.905231684038036
2024-11-18,769.0,598.77,170.23000000000002,28.429948060190057
2024-11-19,769.0,607.3,161.70000000000005,26.626049728305624
2024-11-20,775.0,608.0,167.0,27.467105263157894
2024-11-21,775.0,616.42,158.58000000000004,25.725966062100525
2024-11-22,782.0,623.91,158.09000000000003,25.338590501835206
2024-11-25,790.0,616.51,173.49,28.14066276297222
2024-11-26,777.0,607.0,170.0,28.00658978583196
2024-11-27,777.0,613.8,163.20000000000005,26.588465298142726
2024-11-28,777.0,611.77,165.23000000000002,27.008516272455342
2024-11-29,777.0,614.88,162.12,26.366120218579237
2024-12-02,777.0,613.18,163.82000000000005,26.716461724126695
2024-12-03,777.0,616.72,160.27999999999997,25.98910364509015
2024-12-04,777.0,615.86,161.14,26.165037508524662
2024-12-05,777.0,616.0,161.0,26.136363636363637
2024-12-06,777.0,614.09,162.90999999999997,26.528684720480705
2024-12-09,772.0,617.26,154.74,25.068852671483654
2024-12-10,785.0,619.63,165.37,26.688507657795785
2024-12-11,780.0,624.79,155.21000000000004,24.841946894156443
2024-12-12,795.0,628.83,166.16999999999996,26.425265970135005
2024-12-13,795.0,622.43,172.57000000000005,27.725206047266372
2024-12-16,788.0,618.34,169.65999999999997,27.437979105346567
2024-12-17,788.0,618.21,169.78999999999996,27.464777341032974
2024-12-18,788.0,616.5,171.5,27.818329278183292
2024-12-19,779.0,614.53,164.47000000000003,26.76354287016094
2024-12-20,779.0,611.83,167.16999999999996,27.32294918523118
2024-12-23,779.0,618.4,160.60000000000002,25.97024579560156
2024-12-24,779.0,616.34,162.65999999999997,26.39127754161663
2024-12-25,779.0,616.8,162.20000000000005,26.29701686121921
2024-12-26,779.0,618.07,160.92999999999995,26.037503842606814
2024-12-27,779.0,618.55,160.45000000000005,25.93969768005821
2024-12-30,779.0,616.5,162.5,26.35847526358475
2024-12-31,779.0,614.8,164.20000000000005,26.70787247885492
2025-01-02,779.0,621.99,157.01,25.243171112075757
2025-01-03,788.0,626.87,161.13,25.70389394930368
2025-01-06,788.0,624.32,163.67999999999995,26.2173244490005
2025-01-07,788.0,625.0,163.0,26.08
2025-01-08,788.0,628.35,159.64999999999998,25.40781411633643
2025-01-09,795.0,630.37,164.63,26.116407823976395
2025-01-10,795.0,633.82,161.17999999999995,25.429932788488834
2025-01-13,799.0,636.9,162.10000000000002,25.451405244151363
2025-01-14,799.0,632.44,166.55999999999995,26.336095123648086
2025-01-15,799.0,634.5,164.5,25.925925925925924
2025-01-16,799.0,637.04,161.96000000000004,25.423835237975645
2025-01-17,808.0,637.63,170.37,26.719257249502064
2025-01-20,808.0,637.5,170.5,26.745098039215687
2025-01-21,808.0,639.0,169.0,26.447574334898277
2025-01-22,808.0,643.48,164.51999999999998,25.567228196680546
2025-01-23,808.0,644.02,163.98000000000002,25.461942175708835
2025-01-24,808.0,645.51,162.49,25.17234434787997
2025-01-27,805.0,643.1,161.89999999999998,25.174933913854762
2025-02-05,828.0,667.87,160.13,23.97622291763367
2025-02-06,835.0,667.38,167.62,25.116125745452365
2025-02-07,835.0,668.99,166.01,24.815019656497107
2025-02-10,832.0,679.65,152.35000000000002,22.415949385713237
2025-02-11,845.0,683.52,161.48000000000002,23.624765917603
2025-02-12,845.0,680.21,164.78999999999996,24.22634186501227
2025-02-13,845.0,683.86,161.14,23.563302430321993
2025-02-14,845.0,686.58,158.41999999999996,23.073786011826726
2025-02-17,845.0,676.28,168.72000000000003,24.948246288519556
2025-02-18,845.0,682.85,162.14999999999998,23.746064289375408
2025-02-19,855.0,686.9,168.10000000000002,24.47226670548843
2025-02-20,855.0,689.18,165.82000000000005,24.06047766911403
2025-02-21,855.0,683.47,171.52999999999997,25.096931833145565
2025-02-24,855.0,685.58,169.41999999999996,24.711922751538836
2025-02-25,855.0,685.17,169.83000000000004,24.786549323525556
2025-02-26,855.0,679.3,175.70000000000005,25.864860886206397
2025-02-27,855.0,676.52,178.48000000000002,26.382072961627156
2025-02-28,855.0,670.78,184.22000000000003,27.463549897134687
2025-03-03,843.0,671.78,171.22000000000003,25.48751079222365
2025-03-04,843.0,679.97,163.02999999999997,23.97605776725443
2025-03-05,852.0,681.57,170.42999999999995,25.005502002728985
2025-03-06,852.0,679.7,172.29999999999995,25.34941886126231
2025-03-07,852.0,679.48,172.51999999999998,25.390004120798253
2025-03-10,852.0,681.99,170.01,24.928518013460607
2025-03-11,852.0,676.71,175.28999999999996,25.903267278450144
2025-03-12,852.0,679.43,172.57000000000005,25.399231708932497
2025-03-13,852.0,683.77,168.23000000000002,24.60330228000644
2025-03-14,865.0,692.67,172.33000000000004,24.87909105345981
2025-03-17,865.0,695.4,169.60000000000002,24.388840954846135
2025-03-18,873.0,700.8,172.20000000000005,24.571917808219187
2025-03-19,873.0,707.7,165.29999999999995,23.35735481136074
2025-03-20,883.0,709.09,173.90999999999997,24.525800674103422
2025-03-21,883.0,706.55,176.45000000000005,24.97346259995755
2025-03-24,883.0,705.92,177.08000000000004,25.08499546690844
2025-03-25,883.0,704.56,178.44000000000005,25.32644487339617
2025-03-26,883.0,707.79,175.21000000000004,24.754517582898888
2025-03-27,883.0,709.29,173.71000000000004,24.49068787096957
2025-03-28,893.0,721.03,171.97000000000003,23.850602610154922
2025-03-31,893.0,730.8,162.20000000000005,22.19485495347565
2025-04-01,905.0,735.84,169.15999999999997,22.98869319417264
2025-04-02,905.0,732.5,172.5,23.549488054607508
2025-04-03,917.0,738.94,178.05999999999995,24.096679026713932
2025-04-07,905.0,713.98,191.01999999999998,26.754250819350677
2025-04-08,895.0,717.5,177.5,24.738675958188153
2025-04-09,895.0,728.88,166.12,22.791131599165844
2025-04-10,910.0,741.26,168.74,22.763942476324097
2025-04-11,935.0,757.1,177.89999999999998,23.497556465460306
2025-04-14,948.0,762.47,185.52999999999997,24.332760633205236
2025-04-15,948.0,762.9,185.10000000000002,24.262681871804958
2025-04-16,948.0,781.62,166.38,21.2865586858064
2025-04-17,986.0,786.0,200.0,25.44529262086514
2025-04-18,986.0,788.62,197.38,25.028530851360603
2025-04-21,986.0,804.11,181.89,22.62003954682817
2025-04-22,1022.0,825.8,196.20000000000005,23.758779365463802
2025-04-23,1015.0,786.99,228.01,28.97241388073546
2025-04-24,1015.0,792.47,222.52999999999997,28.080558254571148
2025-04-25,1015.0,785.6,229.39999999999998,29.200610997963338
2025-04-28,1005.0,778.4,226.60000000000002,29.11099691675232
2025-04-29,1005.0,780.05,224.95000000000005,28.837895006730346
2025-04-30,1005.0,780.19,224.80999999999995,28.814775887924725
2025-05-06,982.0,792.2,189.79999999999995,23.9585963140621
2025-05-07,1002.0,798.51,203.49,25.483713416237748
2025-05-08,1002.0,786.5,215.5,27.399872854418312
2025-05-09,995.0,785.5,209.5,26.670910248249523
2025-05-12,988.0,759.0,229.0,30.171277997364953
