code,name,price,amount,turnover,float_cap,mktcap
000001,平安银行,11.73,954180000.0,0.42,2276.29,2276.31
000002,万  科Ａ,3.65,2931910000.0,8.59,354.6,435.47
000006,深振业Ａ,7.19,162510000.0,1.7,97.06,97.06
000007,全新好,11.63,64260000.0,1.6,40.29,40.29
000008,神州高铁,2.44,72540000.0,1.1,66.28,66.28
000009,中国宝安,7.03,88200000.0,0.49,181.09,181.32
000010,*ST美丽,1.6,18400000.0,1.21,15.22,18.39
000011,深物业A,9.66,209630000.0,4.2,50.86,57.57
000012,南  玻Ａ,3.78,89620000.0,1.21,74.06,115.01
000014,沙河股份,10.97,104150000.0,4.03,26.55,26.55
000016,*ST康佳A,2.46,0.0,0.0,39.28,59.24
000017,深中华A,7.87,563630000.0,16.39,34.69,54.24
000019,深粮控股,7.2,177210000.0,5.97,29.97,82.98
000020,深华发Ａ,14.26,184250000.0,7.41,25.83,40.38
000021,深科技,37.22,3060500000.0,5.2,589.78,589.86
000025,特  力Ａ,15.28,104790000.0,1.77,60.02,65.87
000026,飞亚达,19.65,146870000.0,2.04,71.61,79.73
000027,深圳能源,6.28,108320000.0,0.36,298.76,298.76
000028,国药一致,20.03,44050000.0,0.42,105.33,122.63
000029,深深房Ａ,21.15,246540000.0,1.29,188.59,213.97
000030,富奥股份,3.96,38700000.0,0.59,66.16,68.1
000031,大悦城,2.37,228370000.0,2.31,101.59,101.59
000032,深桑达Ａ,14.49,380220000.0,2.16,176.08,176.08
000034,神州数码,23.44,324650000.0,1.63,199.04,238.32
000035,中国天楹,5.05,236290000.0,2.05,116.81,120.6
000036,华联控股,4.08,201830000.0,3.56,57.24,57.28
000037,深南电A,9.49,115650000.0,3.62,32.16,57.2
000039,中集集团,9.32,190460000.0,0.9,214.49,502.58
000042,中洲控股,8.53,50490000.0,0.91,56.65,56.71
000045,深纺织Ａ,11.33,60610000.0,1.18,51.78,57.39
000048,京基智农,18.17,386090000.0,4.03,96.17,96.34
000049,德赛电池,22.43,95970000.0,1.12,86.25,86.27
000050,深天马Ａ,6.72,197610000.0,1.21,163.68,163.68
000055,方大集团,3.78,94440000.0,3.72,25.55,40.59
000056,*ST皇庭,2.57,91540000.0,4.04,23.23,30.39
000058,深 赛 格,7.3,76120000.0,1.08,71.89,89.88
000059,华锦股份,5.75,348760000.0,3.86,91.97,91.97
000060,中金岭南,6.19,414440000.0,1.51,274.9,274.91
000061,农 产 品,6.11,97730000.0,0.9,109.63,121.28
000062,深圳华强,23.76,767830000.0,3.11,248.24,248.51
000063,中兴通讯,33.15,3140760000.0,2.35,1335.16,1585.74
000065,北方国际,10.17,257990000.0,2.41,108.31,118.12
000066,中国长城,14.84,2097910000.0,4.45,478.68,478.71
000068,华控赛格,3.33,47460000.0,1.42,33.52,33.52
000069,华侨城Ａ,1.92,312840000.0,2.4,132.45,154.32
000070,特发信息,18.98,3132140000.0,19.45,162.6,164.82
000078,ST海王,1.57,94850000.0,2.31,41.29,41.31
000088,盐 田 港,4.56,112370000.0,0.78,144.23,237.1
000089,深圳机场,6.65,149840000.0,1.11,136.38,136.38
000090,天健集团,3.65,145700000.0,2.16,68.2,68.2
000096,广聚能源,8.07,29280000.0,0.71,41.23,42.61
000099,中信海直,13.05,63840000.0,0.63,101.24,101.24
000100,TCL科技,5.08,2918480000.0,2.86,1021.84,1114.88
000151,中成股份,10.15,67920000.0,2.18,31.26,35.62
000153,丰原药业,6.3,94680000.0,3.31,29.03,29.28
000155,川能动力,11.91,192880000.0,0.88,219.88,219.88
000156,华数传媒,7.17,143540000.0,1.18,121.88,132.86
000157,中联重科,6.2,188410000.0,0.43,438.37,536.21
000158,常山北明,13.15,550290000.0,2.64,209.17,210.22
000159,国际实业,5.52,44360000.0,1.68,26.53,26.53
000166,申万宏源,4.47,274960000.0,0.27,1007.34,1119.29
000301,东方盛虹,13.9,277900000.0,0.3,918.56,918.96
000333,美的集团,80.9,5036100000.0,0.9,5570.41,6172.26
000338,潍柴动力,27.08,1699380000.0,1.26,1342.19,2339.77
000400,许继电气,20.38,217800000.0,1.05,206.87,207.58
000401,金隅冀东,3.59,36270000.0,0.39,94.47,95.36
000402,金 融 街,2.77,445020000.0,5.56,82.79,82.79
000403,派林生物,9.95,72310000.0,0.77,93.6,94.56
000404,长虹华意,6.92,38140000.0,0.8,47.95,48.16
000407,胜利股份,4.22,57970000.0,1.57,36.96,37.14
000408,藏格矿业,72.31,501960000.0,0.44,1134.47,1134.48
000409,云鼎科技,9.03,46600000.0,0.88,53.32,61.19
000410,沈阳机床,5.44,457390000.0,4.29,107.22,144.11
000411,英特集团,10.07,36540000.0,0.65,56.77,56.88
000415,渤海租赁,4.31,377480000.0,1.61,232.43,266.55
000417,合百集团,5.87,159240000.0,3.53,45.73,45.78
000419,通程控股,5.09,25550000.0,0.93,27.67,27.67
000420,吉林化纤,3.57,109380000.0,1.25,87.78,87.78
000421,南京公用,5.72,40240000.0,1.24,32.84,32.86
000422,湖北宜化,11.98,140180000.0,1.1,127.86,130.29
000423,东阿阿胶,45.6,238520000.0,0.82,291.25,291.76
000425,徐工机械,7.39,897610000.0,1.35,664.96,865.46
000426,兴业银锡,34.93,1325020000.0,2.12,620.07,620.23
000428,华天酒店,4.34,331280000.0,7.54,44.22,44.22
000429,粤高速Ａ,12.45,87980000.0,0.54,162.26,260.31
000430,张家界,7.08,103430000.0,3.97,26.24,57.32
000488,ST晨鸣,2.06,31050000.0,0.9,35.01,60.59
000498,山东路桥,5.07,50110000.0,0.68,73.48,78.71
000501,武商集团,7.33,63110000.0,1.13,56.32,56.37
000503,国新健康,6.89,77350000.0,1.15,67.47,67.47
000504,南华生物,11.01,58780000.0,1.62,36.24,36.34
000505,京粮控股,6.88,272560000.0,6.09,45.54,50.01
000506,招金黄金,18.69,658000000.0,3.8,173.58,173.63
000507,珠海港,5.06,40030000.0,0.88,45.66,46.54
000509,华塑控股,3.8,441800000.0,10.96,40.78,40.78
000510,新金路,18.53,787150000.0,6.99,112.47,120.18
000513,丽珠集团,26.7,123320000.0,0.82,151.56,237.07
000514,渝 开 发,4.4,81280000.0,2.23,37.13,37.13
000516,国际医学,4.38,146770000.0,1.53,96.57,98.06
000517,荣安地产,2.06,101260000.0,2.0,51.33,65.59
000518,四环生物,3.87,123460000.0,3.13,39.84,39.84
000519,中兵红箭,15.68,852640000.0,3.93,218.35,218.35
000520,凤凰航运,4.3,171300000.0,3.97,43.52,43.52
000521,长虹美菱,4.45,36590000.0,0.95,38.95,45.83
000523,红棉股份,3.53,584020000.0,9.42,63.36,64.79
000524,岭南控股,9.28,70880000.0,1.15,62.18,62.2
000525,红太阳,4.72,106090000.0,2.07,52.48,61.5
000526,学大教育,35.69,63980000.0,1.48,43.35,43.49
000528,柳    工,7.69,155070000.0,0.99,156.7,156.92
000529,广弘控股,5.04,26850000.0,0.95,28.72,29.42
000530,冰山冷热,5.35,97080000.0,3.03,32.11,45.11
000531,穗恒运Ａ,5.69,31070000.0,0.6,51.76,59.26
000532,华金资本,14.26,743330000.0,16.38,48.99,49.16
000533,顺钠股份,11.05,498760000.0,6.55,75.68,76.34
000534,万泽股份,23.98,294530000.0,2.42,120.99,122.19
000536,华映科技,3.7,644030000.0,6.25,102.23,102.34
000537,绿发电力,7.56,81670000.0,0.53,155.41,155.41
000538,云南白药,51.09,373040000.0,0.41,911.51,911.58
000539,粤电力Ａ,5.23,155460000.0,1.17,133.65,274.59
000541,佛山照明,4.96,28960000.0,0.48,61.03,76.17
000543,皖能电力,7.29,142880000.0,0.86,165.25,165.25
000544,中原环保,7.3,25250000.0,0.36,71.15,71.15
000545,金浦钛业,2.26,99530000.0,4.51,22.27,22.3
000546,金圆股份,4.51,56400000.0,1.8,31.42,35.07
000547,航天发展,15.02,752930000.0,3.15,238.69,240.09
000548,湖南投资,4.68,25790000.0,1.12,23.36,23.36
000550,江铃汽车,16.59,65810000.0,0.76,86.01,143.21
000551,创元科技,12.45,113890000.0,1.89,60.3,60.35
000552,甘肃能化,2.53,181540000.0,1.95,94.26,135.4
000553,安道麦A,5.68,30540000.0,0.25,123.66,132.33
000554,泰山石油,6.44,68620000.0,2.99,23.14,30.75
000555,神州信息,10.52,112420000.0,1.1,102.56,102.65
000557,西部创业,3.71,23490000.0,0.44,54.09,54.11
000558,天府文旅,3.67,97820000.0,2.09,47.29,47.31
000559,万向钱潮,11.72,1851940000.0,4.74,388.43,388.56
000560,我爱我家,3.19,1304400000.0,18.58,74.73,75.14
000561,烽火电子,8.04,133710000.0,2.16,62.41,69.47
000563,陕国投Ａ,2.96,91690000.0,0.61,151.37,151.37
000564,供销大集,1.55,424510000.0,1.83,233.97,279.9
000565,渝三峡Ａ,6.82,116230000.0,3.97,29.57,29.57
000566,海南海药,5.07,636280000.0,9.98,65.74,65.78
000567,海德股份,6.28,132610000.0,1.1,122.47,122.75
000568,泸州老窖,72.2,651140000.0,0.61,1062.11,1062.71
000570,苏常柴Ａ,5.35,53960000.0,1.82,29.73,37.75
000571,新大洲A,6.65,166600000.0,3.11,54.13,55.8
000572,海马汽车,4.25,466770000.0,6.71,69.8,69.9
000573,粤宏远Ａ,3.87,59930000.0,2.49,24.48,24.7
000576,甘化科工,8.59,107630000.0,2.92,37.26,37.49
000581,威孚高科,18.01,99300000.0,0.69,142.98,174.12
000582,北部湾港,9.91,400480000.0,1.87,213.74,249.44
000586,汇源通信,14.17,181920000.0,6.72,27.09,27.41
000589,贵州轮胎,4.27,81130000.0,1.24,65.93,66.37
000590,古汉医药,9.1,27820000.0,1.29,21.78,21.79
000591,太阳能,4.29,147790000.0,0.88,167.46,167.52
000592,平潭发展,8.5,2327590000.0,14.25,162.78,164.2
000593,德龙汇能,22.55,358180000.0,4.45,80.84,80.87
000595,新能股份,5.32,65490000.0,1.08,60.58,60.58
000596,古井贡酒,95.46,258360000.0,0.67,390.05,504.6
000597,东北制药,4.89,104330000.0,1.53,68.91,69.78
000598,兴蓉环境,7.03,130460000.0,0.62,209.75,209.78
000599,青岛双星,4.58,49710000.0,1.34,37.41,111.89
000600,建投能源,7.34,73420000.0,0.92,80.01,149.32
000601,韶能股份,6.19,163670000.0,2.52,64.97,65.87
000603,盛达资源,34.18,1008110000.0,4.38,227.88,235.83
000605,渤海股份,5.93,20970000.0,1.01,20.91,20.91
000607,华媒控股,4.53,104620000.0,2.61,40.09,46.1
000608,阳光股份,7.26,127280000.0,3.07,41.88,54.44
000609,*ST中迪,9.8,49870000.0,1.75,28.49,29.33
000610,*ST西旅,8.42,71540000.0,3.68,19.83,19.93
000612,焦作万方,11.32,429620000.0,3.19,134.96,134.96
000615,*ST美谷,3.24,20400000.0,0.68,29.98,57.91
000617,中油资本,6.97,499570000.0,0.57,881.15,881.15
000619,海螺新材,5.17,51340000.0,2.78,18.61,22.81
000620,盈新发展,3.27,1080020000.0,7.12,152.77,192.01
000623,吉林敖东,17.75,154290000.0,0.73,211.41,212.27
000625,长安汽车,7.15,224430000.0,0.38,591.09,708.77
000626,远大控股,9.1,109210000.0,2.4,45.89,46.1
000628,高新发展,60.01,856030000.0,7.49,115.36,211.4
000629,钒钛股份,2.92,181340000.0,0.67,271.28,271.3
000630,铜陵有色,6.09,690460000.0,1.02,678.61,816.64
000631,顺发恒能,3.03,77910000.0,1.12,69.69,69.69
000632,ST三木,3.98,40160000.0,2.16,18.53,18.53
000633,合金投资,5.27,42060000.0,2.08,20.3,20.3
000635,英 力 特,7.44,79560000.0,2.93,27.29,29.32
000636,风华高科,59.25,9655620000.0,14.04,679.89,679.89
000637,茂化实华,4.22,38690000.0,2.53,15.39,21.94
000639,ST西王,1.63,54840000.0,3.13,17.59,17.59
000650,仁和药业,5.33,137800000.0,1.96,70.96,74.62
000651,格力电器,38.0,1862620000.0,0.89,2094.9,2128.53
000652,泰达股份,3.42,44140000.0,0.89,49.87,49.91
000655,金岭矿业,7.22,34200000.0,0.8,42.98,42.98
000656,金科股份,1.25,360440000.0,3.83,94.84,132.36
000657,中钨高新,60.49,4593960000.0,5.22,878.79,1378.32
000659,珠海中富,2.8,58420000.0,1.62,36.0,36.0
000661,长春高新,74.13,501880000.0,1.73,292.65,302.4
000663,永安林业,6.08,31700000.0,1.71,18.62,20.47
000665,湖北广电,4.09,54490000.0,1.17,46.51,46.51
000668,荣丰控股,19.35,160710000.0,5.62,28.41,29.08
000669,ST金鸿,4.18,17090000.0,0.6,28.44,28.44
000670,盈方微,7.83,435040000.0,6.7,65.02,66.24
000672,上峰材料,15.51,267040000.0,1.79,150.35,150.35
000676,智度股份,6.77,195960000.0,2.31,85.24,85.29
000677,ST海龙,1.86,46210000.0,2.9,16.07,16.07
000678,襄阳轴承,9.02,66510000.0,1.6,41.46,41.46
000679,大连友谊,6.64,64770000.0,2.77,23.66,23.66
000680,山推股份,9.39,131210000.0,1.06,123.44,140.86
000681,视觉中国,16.41,259070000.0,2.34,110.95,114.96
000682,东方电子,10.73,88420000.0,0.61,143.85,143.86
000683,博源化工,5.78,266350000.0,1.39,192.97,214.83
000685,中山公用,10.95,91640000.0,0.67,136.5,160.72
000686,东北证券,7.81,104370000.0,0.57,182.79,182.79
000688,国城矿业,26.03,474570000.0,1.54,308.47,308.47
000690,宝新能源,5.23,233420000.0,2.04,113.72,113.8
000691,亚太实业,9.27,60000000.0,1.97,29.97,44.95
000692,惠天热电,4.25,41200000.0,1.82,22.65,22.65
000695,滨海能源,13.08,43050000.0,1.48,29.04,30.31
000697,炼石航空,9.25,55410000.0,0.92,60.41,129.14
000698,ST沈化,3.68,21750000.0,0.76,28.91,30.16
000700,模塑科技,12.4,759810000.0,6.65,113.83,113.83
000701,厦门信达,5.28,59280000.0,1.69,35.26,35.29
000702,正虹科技,5.86,52040000.0,2.6,20.31,20.31
000703,恒逸石化,16.95,1212520000.0,1.76,693.41,696.91
000705,浙江震元,7.19,43320000.0,2.16,20.27,24.02
000707,双环科技,4.54,29640000.0,1.2,25.0,26.55
000708,中信特钢,12.84,210220000.0,0.33,648.05,648.06
000709,河钢股份,2.08,129020000.0,0.6,214.98,215.01
000710,贝瑞基因,9.38,426820000.0,13.58,31.47,33.16
000711,京蓝科技,5.07,608260000.0,5.11,119.5,149.74
000712,锦龙股份,10.35,801210000.0,8.78,92.71,92.74
000713,国投丰乐,6.87,318310000.0,7.69,42.18,54.84
000715,中兴商业,5.45,39060000.0,1.48,26.5,29.45
000716,黑芝麻,5.18,143770000.0,3.79,38.11,39.0
000717,中南股份,2.21,44830000.0,0.84,53.56,53.57
000718,苏宁环球,2.08,106850000.0,2.29,47.47,63.12
000719,中原传媒,12.01,83450000.0,1.03,80.12,122.89
000720,新能泰山,4.07,171680000.0,3.39,51.14,51.14
000721,西安饮食,6.48,175020000.0,5.35,33.2,37.19
000722,湖南发展,14.36,323180000.0,4.85,66.65,91.87
000723,美锦能源,3.62,188470000.0,1.2,159.11,159.41
000725,京东方Ａ,6.07,10887240000.0,5.06,2146.79,2248.59
000726,鲁  泰Ａ,6.19,61120000.0,1.68,36.48,50.6
000727,冠捷科技,2.29,166610000.0,1.62,103.73,103.73
000728,国元证券,7.53,157180000.0,0.48,328.59,328.59
000729,燕京啤酒,11.05,319740000.0,1.17,277.31,311.45
000731,四川美丰,8.23,199440000.0,4.46,45.17,45.17
000733,振华科技,41.6,591280000.0,2.56,230.5,230.53
000735,罗 牛 山,6.09,410050000.0,5.93,70.09,70.13
000736,中交发展,4.76,162640000.0,4.7,35.56,35.56
000737,北方铜业,14.43,802680000.0,2.93,274.83,274.85
000738,航发控制,19.63,324870000.0,1.25,258.17,258.17
000739,普洛药业,24.82,497640000.0,1.76,287.41,287.53
000750,国海证券,3.7,157130000.0,0.74,214.46,236.29
000751,锌业股份,4.69,116410000.0,1.55,75.77,75.77
000752,*ST西发,8.71,8350000.0,0.36,22.97,22.97
000753,漳州发展,5.26,283530000.0,5.43,52.15,52.15
000755,山西高速,4.72,15270000.0,0.22,69.26,69.26
000756,新华制药,14.67,309280000.0,4.26,73.18,102.2
000757,浩物股份,4.29,47340000.0,2.09,22.85,22.85
000758,中色股份,5.99,105230000.0,0.89,118.77,119.19
000759,中百集团,6.83,823250000.0,18.63,44.78,44.81
000761,本钢板材,2.33,49350000.0,0.58,86.41,95.73
000762,西藏矿业,22.17,193540000.0,1.69,115.46,115.47
000766,通化金马,15.81,226480000.0,1.49,152.66,152.8
000767,晋控电力,3.44,206840000.0,2.07,100.18,105.85
000768,中航西飞,22.91,500790000.0,0.79,636.08,637.04
000776,广发证券,20.98,916910000.0,0.75,1238.67,1641.65
000777,中核科技,16.79,48570000.0,0.76,64.37,64.38
000778,新兴铸管,3.63,136220000.0,0.97,141.33,143.86
000779,甘咨询,9.0,310770000.0,7.49,41.83,41.83
000782,恒申新材,8.3,137040000.0,3.14,43.84,56.99
000783,长江证券,8.51,544190000.0,1.16,470.61,470.61
000785,居然智家,2.31,182170000.0,1.29,142.69,143.84
000786,北新建材,16.27,297610000.0,1.09,274.88,276.95
000788,北大医药,5.54,126260000.0,3.86,33.02,33.02
000789,万年青,4.15,27430000.0,0.83,33.09,33.09
000790,华神科技,4.31,232120000.0,8.76,26.84,26.88
000791,甘肃能源,7.3,132660000.0,0.94,141.3,236.8
000792,盐湖股份,24.96,996410000.0,0.76,1320.76,1320.78
000793,ST华闻,2.09,16750000.0,0.3,55.69,91.83
000795,英洛华,8.29,87490000.0,0.95,92.54,92.54
000796,凯撒旅业,3.86,219380000.0,4.35,51.37,61.91
000797,中国武夷,2.72,181570000.0,4.34,42.72,42.72
000798,中水渔业,10.4,244840000.0,6.47,38.05,38.05
000799,酒鬼酒,37.84,203490000.0,1.67,122.94,122.95
000800,一汽解放,5.93,53760000.0,0.18,291.79,291.83
000801,四川九洲,12.15,109310000.0,0.88,123.44,123.48
000802,北京文化,4.05,243200000.0,8.48,28.98,28.99
000803,山高环能,7.21,60200000.0,1.8,33.52,33.62
000807,云铝股份,26.77,1509780000.0,1.63,928.36,928.37
000809,和展能源,3.52,72000000.0,2.48,29.03,29.03
000810,创维数字,9.68,135020000.0,1.25,108.24,111.34
000811,冰轮环境,40.03,2379980000.0,5.98,394.37,397.29
000812,陕西金叶,3.83,105600000.0,3.66,28.96,28.97
000813,德展健康,3.36,148110000.0,2.12,70.45,70.46
000815,美利云,15.85,762190000.0,6.94,110.2,110.2
000816,智慧农业,2.94,113790000.0,2.72,42.32,42.54
000818,航锦科技,12.37,314420000.0,3.93,81.42,81.64
000819,岳阳兴长,12.36,52660000.0,1.18,45.24,45.24
000820,神雾节能,3.56,36740000.0,3.48,10.57,23.02
000821,ST京机,7.52,39470000.0,0.88,45.01,46.84
000822,山东海化,4.36,35010000.0,0.91,39.03,39.03
000823,超声电子,25.2,4382100000.0,30.48,149.92,149.93
000825,太钢不锈,3.44,105170000.0,0.54,195.95,195.95
000826,*ST启环,1.89,17330000.0,0.65,26.94,26.94
000828,东莞控股,10.1,39360000.0,0.37,104.99,104.99
000829,天音控股,9.77,524070000.0,5.32,100.06,100.15
000830,鲁西化工,11.98,271270000.0,1.2,228.12,228.14
000831,中国稀土,55.3,1622200000.0,2.76,586.86,586.86
000833,粤桂股份,20.04,365460000.0,4.03,90.92,171.37
000837,秦川机床,9.83,135330000.0,1.37,99.03,100.58
000838,*ST发展,2.24,91260000.0,3.9,23.6,24.65
000839,国安股份,2.91,381550000.0,3.36,114.07,114.07
000848,承德露露,8.17,67240000.0,0.82,82.57,83.33
000850,华茂股份,4.29,160110000.0,4.06,40.47,40.48
000852,石化机械,5.59,77870000.0,1.48,53.12,53.43
000856,冀东装备,8.83,35180000.0,1.77,20.04,20.04
000858,五 粮 液,70.27,1187500000.0,0.44,2727.54,2727.61
000859,国风新材,9.73,583670000.0,6.72,87.17,87.18
000860,顺鑫农业,10.67,161010000.0,2.06,79.15,79.15
000862,银星能源,5.54,99380000.0,2.51,39.51,50.85
000863,三湘印象,4.75,95070000.0,1.73,55.33,56.08
000868,安凯客车,3.99,216220000.0,5.81,37.49,37.49
000869,张  裕Ａ,16.78,48170000.0,0.64,76.36,107.94
000875,电投绿能,4.83,253290000.0,1.57,161.44,175.2
000876,新 希 望,7.28,309610000.0,0.95,327.6,361.24
000877,天山股份,3.75,52080000.0,0.2,266.64,266.64
000878,云南铜业,16.82,486840000.0,1.45,337.01,407.92
000880,潍柴重机,26.17,634490000.0,10.69,59.41,121.39
000881,中广核技,6.6,55770000.0,0.94,59.65,62.4
000882,华联股份,1.64,243040000.0,5.5,44.86,44.89
000883,湖北能源,4.44,77570000.0,0.27,287.69,314.32
000885,城发环境,11.8,28400000.0,0.38,75.77,75.77
000886,海南高速,4.79,58360000.0,1.26,46.84,47.36
000887,中鼎股份,19.54,544970000.0,2.1,256.83,257.24
000888,峨眉山Ａ,9.54,89360000.0,1.8,50.27,50.27
000889,中嘉博创,3.89,109470000.0,3.24,33.84,36.42
000890,法尔胜,7.95,219290000.0,6.59,33.35,33.35
000892,欢瑞世纪,4.73,586440000.0,17.59,33.62,46.4
000893,亚钾国际,40.29,574020000.0,1.77,326.81,372.3
000895,双汇发展,23.26,213690000.0,0.27,805.78,805.88
000897,津滨发展,1.95,91720000.0,2.95,31.54,31.54
000898,鞍钢股份,2.06,73920000.0,0.45,163.92,193.01
000899,赣能股份,9.39,74090000.0,0.81,91.62,91.62
000900,现代投资,3.58,38890000.0,0.72,54.34,54.34
000901,航天科技,14.48,148660000.0,1.29,115.58,115.58
000902,新洋丰,14.03,102360000.0,0.65,160.33,176.04
000903,ST云动,2.06,25110000.0,0.63,39.56,39.56
000905,厦门港务,9.37,154270000.0,2.23,69.51,144.51
000906,浙商中拓,6.23,59240000.0,1.36,43.84,44.21
