SECURITY_CODE,SECURITY_NAME_ABBR,CLOSE_PRICE,CHANGE_RATE,TURNOVERRATE,SUPERDEAL_INFLOW,SUPERDEAL_OUTFLOW,BIGDEAL_INFLOW,BIGDEAL_OUTFLOW,PRIME_INFLOW,TRADE_DATE
000001,平安银行,11.73,0.2564,0.4213,153564575,60043123,286981216,204163625,176339043,2026-09-21 00:00:00
000002,万  科Ａ,3.65,9.9398,8.589,1126876448,682352688,640901504,599038304,486386960,2026-09-21 00:00:00
000006,深振业Ａ,7.19,1.8414,1.6952,1679915,23495614,39677501,38783215,-20921413,2026-09-21 00:00:00
000007,全新好,11.63,2.6478,1.602,2873815,4195649,17174851,13507179,2345838,2026-09-21 00:00:00
000008,神州高铁,2.44,1.6667,1.0968,2813560,7268200,27514416,14877073,8182703,2026-09-21 00:00:00
000009,中国宝安,7.03,0.4286,0.4898,5332480,0,15253104,13686603,6898981,2026-09-21 00:00:00
000010,*ST美丽,1.6,1.2658,1.2061,1265942,1200960,4547049,5486020,-873989,2026-09-21 00:00:00
000011,深物业A,9.66,5.6893,4.1965,5795838,1208070,34329513,40807774,-1890493,2026-09-21 00:00:00
000012,南  玻Ａ,3.78,1.6129,1.213,5592744,3735674,14878222,17034166,-298874,2026-09-21 00:00:00
000014,沙河股份,10.97,4.9761,4.0267,8694944,2807093,13705465,17241085,2352231,2026-09-21 00:00:00
000016,*ST康佳A,2.46,,,0,0,0,0,0,2026-09-21 00:00:00
000017,深中华A,7.87,4.7936,16.3898,48471313,34829403,117148057,134773055,-3983088,2026-09-21 00:00:00
000019,深粮控股,7.2,0.6993,5.9689,4078404,3802838,18719560,32870346,-13875220,2026-09-21 00:00:00
000020,深华发Ａ,14.26,10.0309,7.4139,26242151,0,37156228,30421690,32976689,2026-09-21 00:00:00
000021,深科技,37.22,0.7307,5.201,294375440,316691104,670456416,748374256,-100233504,2026-09-21 00:00:00
000025,特  力Ａ,15.28,3.7339,1.7681,3498736,1072988,23739996,19646069,6519675,2026-09-21 00:00:00
000026,飞亚达,19.65,-0.7074,2.0419,8312182,11844065,30896702,36239520,-8874701,2026-09-21 00:00:00
000027,深圳能源,6.28,-0.159,0.3634,8910079,13842478,27511509,17944071,4635039,2026-09-21 00:00:00
000028,国药一致,20.03,1.0595,0.4187,488387,0,4680238,7815155,-2646530,2026-09-21 00:00:00
000029,深深房Ａ,21.15,-5.0292,1.2928,9866222,25052389,64454108,68462873,-19194932,2026-09-21 00:00:00
000030,富奥股份,3.96,0.2532,0.5857,4791682,10428495,6488088,6955438,-6104163,2026-09-21 00:00:00
000031,大悦城,2.37,6.278,2.3102,29850664,14288464,53164795,58655035,10071960,2026-09-21 00:00:00
000032,深桑达Ａ,14.49,-0.9569,2.1551,6277284,52383223,75989162,94182177,-64298954,2026-09-21 00:00:00
000034,神州数码,23.44,-0.1704,1.6326,31760499,42591555,71632489,91337250,-30535817,2026-09-21 00:00:00
000035,中国天楹,5.05,5.87,2.0523,27968607,16734727,69228963,40967105,39495738,2026-09-21 00:00:00
000036,华联控股,4.08,4.6154,3.5632,26210402,7708925,47606456,50955975,15151958,2026-09-21 00:00:00
000037,深南电A,9.49,0.9574,3.6175,2758037,1598352,19931910,17454102,3637493,2026-09-21 00:00:00
