code,name,price,pct,amount,turnover,mktcap,float_cap,main_net,main_pct,xl_net,l_net,m_net,s_net
300476,胜宏科技,248.0,9.227,14797690000.0,7.18,243731000000.0,214568000000.0,1784318832,12.0581,1574317808,210001024,-1784318832,
300308,中际旭创,941.0,1.5727,19815560000.0,1.89,1108413000000.0,1044451000000.0,1174130432,5.9253,971408128,202722304,-1174130432,
300502,新易盛,456.73,2.636,16218400000.0,2.81,637018000000.0,573070000000.0,1142789136,7.0463,1023300624,119488512,-1142789136,
002080,中材科技,66.24,9.9967,8542070000.0,7.94,111159000000.0,111159000000.0,932266608,10.9138,1203085488,-270818880,-932266608,
688041,海光信息,246.45,2.1004,5741930000.0,1.01,572833000000.0,572833000000.0,889266768,15.4872,523743632,365523136,-889266768,
688205,德科立,243.12,10.5845,3524660000.0,9.54,38714000000.0,38714000000.0,774185952,21.9648,714785952,59400000,-774185952,
600664,哈药股份,8.25,10.0,1573220000.0,7.7,20778000000.0,20778000000.0,764614968,48.6019,796571246,-31956278,-764614968,
688048,长光华芯,362.23,5.9152,5445430000.0,8.68,63854000000.0,63854000000.0,738333056,13.5588,294902560,443430496,-738333056,
600869,远东股份,22.94,7.1462,6915620000.0,13.68,50912000000.0,50912000000.0,727927008,10.5258,730756528,-2829520,-727927008,
600150,中国船舶,41.02,3.927,5333150000.0,1.75,308701000000.0,308701000000.0,717096096,13.446,348173840,368922256,-717096096,
300604,长川科技,282.53,1.001,5878320000.0,4.24,182396000000.0,138292000000.0,663913248,11.2943,592056176,71857072,-663913248,
688008,澜起科技,210.1,3.7377,7973400000.0,3.32,256435000000.0,240515000000.0,627469808,7.8695,491922816,135546992,-627469808,
000070,特发信息,18.98,7.2316,3132140000.0,19.45,16482000000.0,16260000000.0,591303888,18.8786,606831936,-15528048,-591303888,
600522,中天科技,36.95,2.6959,8703520000.0,6.94,126108000000.0,126108000000.0,589752096,6.776,577001216,12750880,-589752096,
300489,光智科技,238.81,6.3173,3779600000.0,11.89,33232000000.0,32913000000.0,567052320,15.003,321957936,245094384,-567052320,
002792,通宇通讯,34.54,10.0,2334820000.0,20.31,18093000000.0,11709000000.0,521219638,22.3238,502029430,19190208,-521219638,
600707,彩虹股份,9.85,6.6017,2847810000.0,7.99,35346000000.0,35339000000.0,514726880,18.0745,592247232,-77520352,-514726880,
300433,蓝思科技,34.83,4.0323,3718000000.0,2.18,183859000000.0,172473000000.0,513861984,13.8209,365424464,148437520,-513861984,
001389,广合科技,185.93,9.9982,2569050000.0,9.17,87894000000.0,28330000000.0,490929664,19.1094,625688880,-134759216,-490929664,
000002,万科Ａ,3.65,9.9398,2931910000.0,8.59,43547000000.0,35460000000.0,486386960,16.5894,444523760,41863200,-486386960,
600276,恒瑞医药,46.04,4.8508,5186780000.0,1.79,305577000000.0,293689000000.0,472596736,9.1116,327320592,145276144,-472596736,
000066,中国长城,14.84,5.0992,2097910000.0,4.45,47871000000.0,47868000000.0,438864195,20.9191,387714211,51149984,-438864195,
002463,沪电股份,126.0,2.0243,5569200000.0,2.31,242470000000.0,242279000000.0,422754384,7.5909,203760496,218993888,-422754384,
000988,华工科技,109.51,1.5863,5426260000.0,4.96,110113000000.0,110056000000.0,413080016,7.6126,321947072,91132944,-413080016,
000063,中兴通讯,33.15,2.1887,3140760000.0,2.35,158574000000.0,133516000000.0,403552048,12.8489,357666352,45885696,-403552048,
000559,万向钱潮,11.72,6.3521,1851940000.0,4.74,38856000000.0,38843000000.0,377322294,20.3744,296997990,80324304,-377322294,
688766,普冉股份,428.2,-0.4186,4675170000.0,7.29,63675000000.0,63675000000.0,374873168,8.0184,44393856,330479312,-374873168,
002436,兴森科技,44.33,3.3815,5545060000.0,8.29,75347000000.0,67290000000.0,350020608,6.3123,165451472,184569136,-350020608,
601318,中国平安,53.98,1.143,3163100000.0,0.55,977451000000.0,575430000000.0,349749808,11.0572,114327504,235422304,-349749808,
300209,行云科技,37.08,8.548,3786560000.0,14.1,34434000000.0,27547000000.0,334491008,8.8336,360116928,-25625920,-334491008,
002585,双星新材,12.71,10.0433,1570500000.0,14.33,14506000000.0,11269000000.0,334266778,21.2841,356590026,-22323248,-334266778,
688347,华虹宏力,231.94,-0.8803,3771380000.0,3.97,447295000000.0,94574000000.0,325859968,8.6403,155991200,169868768,-325859968,
300274,阳光电源,88.47,1.3983,4922640000.0,3.51,183417000000.0,140448000000.0,323607728,6.5739,152803360,170804368,-323607728,
603259,药明康德,167.96,4.975,8522480000.0,2.07,509540000000.0,415412000000.0,296519792,3.4793,132571664,163948128,-296519792,
300059,东方财富,18.69,1.742,3426750000.0,1.38,295717000000.0,250303000000.0,288100800,8.4074,163942592,124158208,-288100800,
301080,百普赛斯,116.2,6.1381,2455040000.0,16.83,19484000000.0,14739000000.0,288047024,11.7329,62136336,225910688,-288047024,
002916,深南电路,395.02,2.736,3091390000.0,1.17,269074000000.0,262697000000.0,282711904,9.1451,138302960,144408944,-282711904,
300548,长芯博创,243.99,2.1734,3160820000.0,4.42,71936000000.0,71791000000.0,280272240,8.8671,147760784,132511456,-280272240,
600613,神奇制药,9.25,9.9881,809650000.0,18.59,4940000000.0,4434000000.0,275466118,34.0229,238641014,36825104,-275466118,
300475,香农芯创,183.2,5.0941,7173270000.0,8.66,86020000000.0,82165000000.0,266980800,3.7219,146029280,120951520,-266980800,
603663,三祥新材,49.82,10.0022,1157010000.0,3.97,29572000000.0,29552000000.0,256881319,22.2022,239456775,17424544,-256881319,
688503,聚和材料,84.2,6.3803,1621250000.0,8.02,20379000000.0,20379000000.0,252933353,15.6011,133735609,119197744,-252933353,
003006,百亚股份,21.21,-0.1882,1059560000.0,11.57,9113000000.0,9090000000.0,250967742,23.686,-12255481,263223223,-250967742,
688025,杰普特,447.0,1.0033,1394300000.0,3.27,42487000000.0,42487000000.0,240908804,17.2781,175877156,65031648,-240908804,
600721,百花医药,13.15,10.0418,1415420000.0,29.02,5057000000.0,5057000000.0,237595613,16.7862,306647676,-69052063,-237595613,
002349,精华制药,8.71,9.9747,724680000.0,10.45,7239000000.0,7092000000.0,235226457,32.4594,222056026,13170431,-235226457,
601208,东材科技,52.75,2.8265,3832300000.0,7.18,53287000000.0,53287000000.0,227210656,5.9288,196895712,30314944,-227210656,
603256,宏和科技,148.92,0.0874,4367940000.0,3.22,134711000000.0,134711000000.0,210441968,4.8179,212592464,-2150496,-210441968,
000560,我爱我家,3.19,10.0,1304400000.0,18.58,7514000000.0,7473000000.0,208139304,15.9567,236934712,-28795408,-208139304,
603228,景旺电子,110.16,5.4667,4041090000.0,3.74,110302000000.0,108178000000.0,208002736,5.1472,216432736,-8430000,-208002736,
301486,致尚科技,219.28,2.4146,1714220000.0,10.72,28231000000.0,15990000000.0,206738142,12.0602,76451326,130286816,-206738142,
600641,先导基电,39.76,6.5952,3339720000.0,9.18,37647000000.0,37002000000.0,205725088,6.16,188572304,17152784,-205725088,
300413,芒果超媒,19.02,5.1991,2280080000.0,11.88,35581000000.0,19433000000.0,205155726,8.9977,56004686,149151040,-205155726,
002589,瑞康医药,3.6,10.0917,684960000.0,14.23,5417000000.0,4916000000.0,201601543,29.4326,165682027,35919516,-201601543,
002536,飞龙股份,53.82,0.3356,3019540000.0,10.11,30935000000.0,29349000000.0,198057488,6.5592,90407504,107649984,-198057488,
600938,中国海油,33.54,3.839,1729750000.0,1.76,1594155000000.0,100285000000.0,197283219,11.4053,330967034,-133683815,-197283219,
600900,长江电力,28.1,-0.6013,1873570000.0,0.27,687557000000.0,687557000000.0,193156543,10.3095,161779343,31377200,-193156543,
688200,华峰测控,398.38,-2.3411,2343030000.0,2.91,80121000000.0,80121000000.0,192407168,8.2119,66172224,126234944,-192407168,
000566,海南海药,5.07,9.9783,636280000.0,9.98,6578000000.0,6574000000.0,182239746,28.6414,188022287,-5782541,-182239746,
301666,大普微-UW,413.5,3.2975,1658190000.0,15.17,180375000000.0,10965000000.0,178722554,10.7782,124118842,54603712,-178722554,
603042,华脉科技,19.03,10.0,701680000.0,18.16,3973000000.0,3973000000.0,177631813,25.3152,174964638,2667175,-177631813,
300657,弘信电子,38.49,3.7466,1454820000.0,7.96,18557000000.0,18387000000.0,177577494,12.2061,102035334,75542160,-177577494,
