name,main_net,main_pct,pct
电子,19853959168.0,3.06,2.81
半导体,18220373248.0,5.46,4.35
数字芯片设计,7534763008.0,5.65,4.68
通信网络设备及器件,6753033728.0,5.79,2.86
集成电路封测,5082660384.0,14.8,4.43
通信设备,4628162816.0,2.45,2.15
通信,4600350720.0,2.32,1.81
机械设备,3958278912.0,2.43,1.93
电力设备,3311907840.0,2.27,2.1
计算机,3174622464.0,3.33,1.9
有色金属,2303207168.0,2.65,1.54
光学光电子,2172282112.0,3.9,1.84
非银金融,2061476656.0,6.86,1.43
消费电子,1903584256.0,3.04,1.83
消费电子零部件及组装,1895162880.0,3.16,1.85
半导体设备,1819642112.0,3.27,4.83
房地产,1710602224.0,9.58,2.02
工业金属,1640109664.0,5.31,1.2
房地产开发,1579995920.0,10.64,2.12
电网设备,1571162688.0,4.34,2.0
医药生物,1521523200.0,1.32,1.36
通用设备,1454735104.0,2.02,2.25
铜,1397986896.0,7.75,1.86
住宅开发,1306448512.0,10.96,2.24
计算机设备,1300820032.0,5.66,1.88
半导体材料,1285106176.0,2.89,3.11
IT服务Ⅲ,1280524864.0,3.44,1.9
IT服务Ⅱ,1280524864.0,3.44,1.9
自动化设备,1260982528.0,2.87,2.03
集成电路制造,1239664752.0,6.07,4.59
专用设备,1172856768.0,3.1,1.73
其他计算机设备,1169598352.0,6.18,2.17
分立器件,1131824144.0,4.32,4.46
证券Ⅲ,1117308192.0,5.9,1.38
证券Ⅱ,1117308192.0,5.9,1.38
医疗服务,1115881072.0,3.19,2.77
光伏设备,1073681328.0,4.43,3.15
光学元件,1045609312.0,5.7,2.44
面板,1010626304.0,3.37,1.69
其他电源设备Ⅱ,927959792.0,5.84,3.0
仪器仪表,849582784.0,4.48,2.79
能源及重型设备,786898048.0,8.11,2.22
其他电源设备Ⅲ,782448080.0,5.47,3.16
线缆部件及其他,747235872.0,4.44,2.12
保险Ⅲ,743863088.0,11.11,1.08
保险Ⅱ,743863088.0,11.11,1.08
其他电子Ⅲ,706047568.0,3.72,3.01
其他电子Ⅱ,706047568.0,3.72,3.01
制冷空调设备,661682816.0,7.24,2.38
电子化学品Ⅲ,658138288.0,1.72,2.71
电子化学品Ⅱ,658138288.0,1.72,2.71
激光设备,619477408.0,3.53,1.74
软件开发,593277536.0,1.69,1.91
公用事业,583484624.0,1.59,0.96
垂直应用软件,581579936.0,2.64,1.71
其他化学制品,554515872.0,4.89,1.84
逆变器,545770288.0,7.12,3.57
一般零售,542868256.0,5.01,1.77
电力,539692704.0,1.61,1.09
医疗研发外包,497907408.0,1.8,2.89
风力发电,464476976.0,9.1,1.17
工控设备,447191824.0,5.21,1.9
其他专用设备,440963936.0,1.83,1.62
百货,429967056.0,8.3,2.32
输变电设备,428777744.0,5.78,2.13
金属制品,409817632.0,2.6,1.83
粮油加工,357036528.0,6.99,1.77
化学制品,336721968.0,0.97,1.3
医院,330229860.0,9.7,0.83
商贸零售,324814016.0,1.78,1.55
电工仪器仪表,310555804.0,11.6,1.71
被动元件,310455360.0,1.16,2.24
建筑装饰,296991264.0,1.13,1.31
其他专业工程,277751984.0,4.95,2.61
食品饮料,272244848.0,1.28,0.85
贵金属,267800544.0,1.45,1.67
专业工程,266637184.0,3.62,1.44
农产品加工,265035664.0,3.1,0.86
光伏电池组件,255347264.0,5.1,3.25
环保,238046592.0,1.88,1.22
小金属,236550032.0,1.12,1.54
医药商业,228350550.0,6.33,1.53
金属新材料,217255456.0,2.25,2.37
航天装备Ⅲ,205636144.0,4.39,2.79
航天装备Ⅱ,205636144.0,4.39,2.79
医药流通,202183033.0,7.5,1.61
环境治理,202024960.0,2.2,1.01
商业地产,201828524.0,10.0,2.59
电池化学品,201124144.0,1.7,1.32
多元金融,200305360.0,4.55,1.58
其他医疗服务,196897219.0,15.38,6.72
磁性材料,196878432.0,5.36,2.63
生活用纸,195539666.0,12.93,3.23
冶钢原料,193675018.0,9.39,2.19
白银,192692048.0,3.95,3.9
综合环境治理,190496626.0,12.39,1.43
塑料包装,187427243.0,11.08,1.75
化学制剂,184947392.0,0.69,0.72
个护用品,182957949.0,10.68,2.68
房屋建设Ⅲ,182867488.0,8.24,1.4
