code,name,main_net,main_pct,xl_net,l_net,m_net,s_net
BK1210,交通运输,-58886778.0,,82270342.0,-141157120.0,7870963.0,67361501.0
BK0486,传媒,543418453.0,,77106112.0,466312341.0,142890384.0,-684100444.0
BK0427,公用事业,-307161766.0,,-207210210.0,-99951556.0,-105427381.0,417997304.0
BK0433,农林牧渔,-386569768.0,,104001742.0,-490571510.0,-327580292.0,748439993.0
BK1216,医药生物,6742499875.0,,5122753929.0,1619745946.0,-3425918620.0,-3108983342.0
BK1213,商贸零售,285678558.0,,386086806.0,-100408248.0,-552266035.0,252395236.0
BK1204,国防军工,325143861.0,,-42792459.0,367936320.0,456346163.0,-754710411.0
BK1206,基础化工,1373880706.0,,1149046816.0,224833890.0,-1236770662.0,-64823141.0
BK0456,家用电器,-239107405.0,,203816176.0,-442923581.0,281424428.0,-46240805.0
BK1208,建筑材料,1146136591.0,,1414018022.0,-267881431.0,-986703989.0,-155724496.0
BK1209,建筑装饰,87568336.0,,117877867.0,-30309531.0,-107569831.0,114906946.0
BK1202,房地产,886517407.0,,968219877.0,-81702470.0,-688464361.0,-198053036.0
BK0478,有色金属,-2230392381.0,,-1061800097.0,-1168592284.0,353609512.0,1878164549.0
BK1205,机械设备,-890950770.0,,-1557905292.0,666954522.0,927451404.0,-44716291.0
BK1211,汽车,873934914.0,,640986403.0,232948511.0,-358499448.0,-501174942.0
BK0437,煤炭,397349185.0,,166887755.0,230461430.0,-32363590.0,-364985607.0
BK0728,环保,-19867633.0,,-141467362.0,121599729.0,52684526.0,-25866357.0
BK1200,电力设备,-1368537314.0,,-1802836.0,-1366734478.0,-78793598.0,1455964671.0
BK1201,电子,-4295500986.0,,-3272950930.0,-1022550056.0,-2651934702.0,7082262259.0
BK0464,石油石化,323158307.0,,466972594.0,-143814287.0,-171815556.0,-149935486.0
BK1214,社会服务,118072219.0,,102021503.0,16050716.0,-208292340.0,82837187.0
BK0436,纺织服饰,-34145091.0,,61013057.0,-95158148.0,-98007136.0,134756213.0
BK1217,综合,-136143414.0,,-37820005.0,-98323409.0,-22839987.0,158983393.0
BK1035,美容护理,232329612.0,,-16135013.0,248464625.0,-136442860.0,-92226696.0
BK1207,计算机,1031136923.0,,994268487.0,36868436.0,-1119683937.0,138163778.0
BK1212,轻工制造,-137239914.0,,10928593.0,-148168507.0,-68098616.0,218326394.0
BK1215,通信,2338034252.0,,3306570747.0,-968536495.0,-3304324251.0,881127814.0
BK0479,钢铁,107885248.0,,208779494.0,-100894246.0,-74473096.0,-33412199.0
BK1283,银行,811808344.0,,402310420.0,409497924.0,-137282460.0,-674525959.0
BK1203,非银金融,1287000042.0,,906456604.0,380543438.0,-72348937.0,-1214651093.0
BK0438,食品饮料,135062145.0,,34343109.0,100719036.0,-58721373.0,-67196399.0
