排名,并列,代码,代表团,金,银,铜,合计,男金,女金,混合金,男银,女银,混合银,男铜,女铜,混合铜,男牌,女牌,混合牌
1,False,CHN,中国,32,13,8,53,13,17,2,3,10,0,3,5,0,19,32,2
2,False,JPN,日本,11,16,19,46,7,4,0,10,3,3,4,13,2,21,20,5
3,False,KOR,韩国,6,4,17,27,4,2,0,2,1,1,11,5,1,17,8,2
4,False,KAZ,哈萨克斯坦,6,1,5,12,4,2,0,0,1,0,4,1,0,8,4,0
5,False,THA,泰国,4,1,1,6,1,2,1,0,1,0,0,1,0,1,4,1
6,False,HKG,中国香港,3,5,4,12,0,3,0,3,2,0,1,2,1,4,7,1
7,False,TJK,塔吉克斯坦,2,1,1,4,2,0,0,1,0,0,1,0,0,4,0,0
8,False,IND,印度,1,4,2,7,0,1,0,2,2,0,1,1,0,3,4,0
9,False,UZB,乌兹别克斯坦,1,4,1,6,1,0,0,2,2,0,1,0,0,4,2,0
10,False,TPE,中国台北,1,3,5,9,0,0,1,2,1,0,3,2,0,5,3,1
11,True,IRI,伊朗,1,3,1,5,1,0,0,1,2,0,1,0,0,3,2,0
11,True,SGP,新加坡,1,3,1,5,0,1,0,0,3,0,0,1,0,0,5,0
13,False,MAC,中国澳门,1,3,0,4,1,0,0,2,1,0,0,0,0,3,1,0
14,True,JOR,约旦,1,1,1,3,1,0,0,0,1,0,1,0,0,2,1,0
14,True,MYA,缅甸,1,1,1,3,0,1,0,0,1,0,1,0,0,1,2,0
16,True,MAS,马来西亚,1,0,3,4,0,1,0,0,0,0,2,1,0,2,2,0
16,True,VIE,越南,1,0,3,4,0,1,0,0,0,0,0,2,1,0,3,1
18,False,KUW,科威特,1,0,2,3,1,0,0,0,0,0,2,0,0,3,0,0
19,False,BRN,巴林,0,2,0,2,0,0,0,1,1,0,0,0,0,1,1,0
20,False,INA,印度尼西亚,0,1,7,8,0,0,0,0,1,0,3,4,0,3,5,0
21,False,PHI,菲律宾,0,1,3,4,0,0,0,1,0,0,1,2,0,2,2,0
22,False,IRQ,伊拉克,0,1,2,3,0,0,0,1,0,0,1,0,1,2,0,1
23,True,LBN,黎巴嫩,0,1,1,2,0,0,0,1,0,0,0,1,0,1,1,0
23,True,QAT,卡塔尔,0,1,1,2,0,0,0,1,0,0,1,0,0,2,0,0
25,True,AFG,阿富汗,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
25,True,SRI,斯里兰卡,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
25,True,TKM,土库曼斯坦,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
28,False,CAM,柬埔寨,0,0,4,4,0,0,0,0,0,0,0,4,0,0,4,0
29,False,KGZ,吉尔吉斯斯坦,0,0,3,3,0,0,0,0,0,0,3,0,0,3,0,0
30,True,KSA,沙特阿拉伯,0,0,2,2,0,0,0,0,0,0,1,1,0,1,1,0
30,True,PAK,巴基斯坦,0,0,2,2,0,0,0,0,0,0,1,1,0,1,1,0
32,True,BRU,文莱,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
32,True,MGL,蒙古,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
32,True,SYR,叙利亚,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
