代表团,代码,金牌,夺金项目数,等效项目数,最大单项目,最大单项目金牌,最大单项目占比,集中度HHI,项目分布
中国,CHN,32,9,3.76,游泳,15,46.9,0.266,游泳15、射击4、武术4、空手道2、现代五项2、铁人三项2、公路自行车1、竞技体操1、排球1
日本,JPN,11,7,5.76,游泳,3,27.3,0.174,游泳3、空手道2、软式网球2、击剑1、竞技体操1、射击1、铁人三项1
哈萨克斯坦,KAZ,6,3,3.0,公路自行车,2,33.3,0.333,公路自行车2、空手道2、综合格斗2
韩国,KOR,6,5,4.5,现代五项,2,33.3,0.222,现代五项2、篮球1、击剑1、游泳1、台克球1
泰国,THA,4,2,1.6,台克球,3,75.0,0.625,台克球3、综合格斗1
中国香港,HKG,3,2,1.8,游泳,2,66.7,0.556,游泳2、武术1
塔吉克斯坦,TJK,2,1,1.0,综合格斗,2,100.0,1.0,综合格斗2
印度,IND,1,1,1.0,板球,1,100.0,1.0,板球1
伊朗,IRI,1,1,1.0,空手道,1,100.0,1.0,空手道1
约旦,JOR,1,1,1.0,空手道,1,100.0,1.0,空手道1
科威特,KUW,1,1,1.0,空手道,1,100.0,1.0,空手道1
中国澳门,MAC,1,1,1.0,武术,1,100.0,1.0,武术1
马来西亚,MAS,1,1,1.0,空手道,1,100.0,1.0,空手道1
缅甸,MYA,1,1,1.0,台克球,1,100.0,1.0,台克球1
新加坡,SGP,1,1,1.0,综合格斗,1,100.0,1.0,综合格斗1
中国台北,TPE,1,1,1.0,软式网球,1,100.0,1.0,软式网球1
乌兹别克斯坦,UZB,1,1,1.0,空手道,1,100.0,1.0,空手道1
越南,VIE,1,1,1.0,空手道,1,100.0,1.0,空手道1
