代表团,代码,金牌,游泳,空手道,武术,综合格斗,射击,台克球,现代五项,公路自行车,铁人三项,软式网球,竞技体操,击剑,排球,板球,篮球
中国,CHN,32,15,2,4,0,4,0,2,1,2,0,1,0,1,0,0
日本,JPN,11,3,2,0,0,1,0,0,0,1,2,1,1,0,0,0
韩国,KOR,6,1,0,0,0,0,1,2,0,0,0,0,1,0,0,1
哈萨克斯坦,KAZ,6,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0
泰国,THA,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
中国香港,HKG,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
塔吉克斯坦,TJK,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
印度,IND,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
乌兹别克斯坦,UZB,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
中国台北,TPE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
伊朗,IRI,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
新加坡,SGP,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
