项目,项目代码,金牌数,参与代表团数,夺金代表团数,头名,头名金牌,金牌归属
游泳,SWM,21,5,4,中国,15,中国15、日本3、中国香港2、韩国1
空手道,KTE,12,21,9,中国,2,中国2、日本2、哈萨克斯坦2、伊朗1、约旦1、科威特1、马来西亚1、乌兹别克斯坦1、越南1
武术,WSU,6,11,3,中国,4,中国4、中国香港1、中国澳门1
综合格斗,MMA,6,14,4,哈萨克斯坦,2,哈萨克斯坦2、塔吉克斯坦2、新加坡1、泰国1
射击,SHO,5,4,2,中国,4,中国4、日本1
台克球,TEQ,5,10,3,泰国,3,泰国3、韩国1、缅甸1
现代五项,MPN,4,4,2,中国,2,中国2、韩国2
公路自行车,CRD,3,7,2,哈萨克斯坦,2,哈萨克斯坦2、中国1
铁人三项,TRI,3,4,2,中国,2,中国2、日本1
软式网球,TST,3,5,2,日本,2,日本2、中国台北1
竞技体操,GAR,2,2,2,中国,1,中国1、日本1
击剑,FEN,2,5,2,日本,1,日本1、韩国1
排球,VVO,1,3,1,中国,1,中国1
板球,CKT,1,3,1,印度,1,印度1
篮球,BKB,1,3,1,韩国,1,韩国1
