姓名,代表团,项目,小项,奖牌,性别,年龄,出生日期
YU Zidi,中国,游泳,Women's 200m Butterfly,金,W,13.9,2012-10-16
YU Zidi,中国,游泳,Women's 200m Individual Medley,金,W,13.9,2012-10-16
CHANG Mohan,中国,游泳,Women's 200m Butterfly,银,W,15.6,2011-02-14
NISHIYAMA Misa,日本,竞技体操,Women's All-Around,铜,W,16.0,2010-09-07
KE Qinqin,中国,竞技体操,Women's All-Around,银,W,16.2,2010-07-16
KIM Seungwon,韩国,游泳,Women's 50m Backstroke,铜,W,16.7,2010-01-01
SUN Mingxia,中国,游泳,Women's 200m Backstroke,银,W,17.3,2009-05-20
OHASHI Shin,日本,游泳,Men's 100m Breaststroke,金,M,17.5,2009-03-05
KOJIMA Yumeki,日本,游泳,Men's 200m Individual Medley,银,M,17.7,2008-12-20
KOJIMA Yumeki,日本,游泳,Men's 400m Individual Medley,金,M,17.8,2008-12-20
MUMINOV Makhsatullo,塔吉克斯坦,空手道,Men's Kumite -55kg Final,铜,M,18.2,2008-07-23
ATAMURATOV Firdavs,乌兹别克斯坦,综合格斗,Men's Modern -60kg Final,银,M,18.2,2008-07-27
KHALIMOV Khumoyunmirzo,乌兹别克斯坦,空手道,Men's Kumite -55kg Final,银,M,18.5,2008-03-11
BUI Ngoc Nhi,越南,空手道,Women's Individual Kata Final,铜,W,18.9,2007-10-28
BAN Hyojin,韩国,射击,10m Air Rifle Women Individual,铜,W,19.0,2007-09-20
IMAFUKU Kazushi,日本,游泳,Men's 1500m Freestyle,铜,M,19.3,2007-05-21
ZHANG Zhanshuo,中国,游泳,Men's 1500m Freestyle,金,M,19.4,2007-05-14
BANI ALMARJEH Fawaz,叙利亚,空手道,Men's Kumite -75kg Final,铜,M,19.7,2007-01-10
NARITA Mio,日本,游泳,Women's 200m Individual Medley,铜,W,19.8,2006-12-18
WU Xiyao,中国,现代五项,Women's Individual,铜,W,20.0,2006-09-15
ABDELHAMID Abdelrahman,卡塔尔,空手道,Men's Kumite -60kg Final,银,M,20.0,2006-10-01
KIM Youngbeom,韩国,游泳,Men's 50m Freestyle,金,M,20.5,2006-03-31
KIM Youngbeom,韩国,游泳,Men's 100m Freestyle,银,M,20.5,2006-03-31
LI Liuchang,中国,现代五项,Men's Individual,金,M,20.6,2006-02-15
YOON Jihwan,韩国,游泳,Men's 50m Backstroke,铜,M,20.6,2006-01-30
ROBERT Adeola Fay,马来西亚,空手道,Women's Kumite -55kg Final,金,W,20.6,2006-02-07
SAEIDABADI Fatemehzahra,伊朗,空手道,Women's Kumite -55kg Final,银,W,20.7,2006-01-17
OKUZONO Misa,日本,游泳,Women's 200m Butterfly,铜,W,20.7,2006-01-19
RASHIDOV Abdul Vakhkhob,乌兹别克斯坦,空手道,Men's Kumite -67kg Final,金,M,20.7,2005-12-31
ZHANABAY Arlan,哈萨克斯坦,铁人三项,Men's Individual,铜,M,20.8,2005-12-02
LAW Zeanne Zhi Ning,新加坡,武术,Women's Taijiquan & Taijijian,铜,W,20.9,2005-10-11
NGUYEN Thi Dieu Ly,越南,空手道,Women's Kumite -68kg Final,铜,W,20.9,2005-11-09
YU Yiting,中国,游泳,Women's 100m Freestyle,银,W,21.0,2005-09-05
YU Yiting,中国,游泳,Women's 200m Individual Medley,银,W,21.0,2005-09-05
CHENG Yujie,中国,游泳,Women's 100m Freestyle,铜,W,21.0,2005-09-22
DHILLON Himanshu,印度,射击,10m Air Rifle Men Individual,银,M,21.0,2005-09-29
ZHANG Xirui,中国,铁人三项,Men's Individual,银,M,21.1,2005-08-13
SUMAYA,印度尼西亚,台克球,Women's Singles,银,W,21.1,2005-08-18
MATSUSHITA Tomoyuki,日本,游泳,Men's 200m Individual Medley,金,M,21.1,2005-08-01
MATSUSHITA Tomoyuki,日本,游泳,Men's 400m Individual Medley,银,M,21.1,2005-08-01
TAICHI Hinata,日本,射击,10m Air Rifle Women Individual,金,W,21.2,2005-07-13
DONG Zhihao,中国,游泳,Men's 100m Breaststroke,金,M,21.5,2005-03-31
PUTRA Yoga Ardika,印度尼西亚,台克球,Men's Singles,铜,M,21.5,2005-03-25
SHENG Lihao,中国,射击,10m Air Rifle Men Individual,金,M,21.8,2004-12-04
WANG Zicheng,中国,游泳,Men's 50m Backstroke,银,M,21.9,2004-11-12
HAYASHI Manami,日本,铁人三项,Women's Individual,铜,W,21.9,2004-11-05
LUBIS Leica Al Humaira,印度尼西亚,空手道,Women's Kumite +68kg Final,铜,W,22.0,2004-09-15
SAMASHEVA Bella,哈萨克斯坦,空手道,Women's Kumite -55kg Final,铜,W,22.0,2004-09-22
PAN Zhanle,中国,游泳,Men's 100m Freestyle,金,M,22.1,2004-08-04
WAN Letian,中国,游泳,Women's 50m Backstroke,金,W,22.1,2004-08-12
LI Jiaping,中国,游泳,Women's 200m Freestyle,银,W,22.3,2004-05-29
TAKEHARA Hidekazu,日本,游泳,Men's 100m Backstroke,银,M,22.4,2004-04-27
TANG Qianting,中国,游泳,Women's 50m Breaststroke,金,W,22.5,2004-03-14
KAJIMOTO Ichika,日本,游泳,Women's 1500m Freestyle,铜,W,22.5,2004-03-07
KAJIMOTO Ichika,日本,游泳,Women's 400m Freestyle,铜,W,22.5,2004-03-07
ALJA'FARI Mohammad,约旦,空手道,Men's Kumite -84kg Final,金,M,22.6,2004-02-02
SHINBAYEV Kadyrbek,哈萨克斯坦,综合格斗,Men's Modern -71kg Final,金,M,22.6,2004-02-08
KUONG Chi Hin,中国澳门,武术,Men's Changquan,金,M,22.6,2004-02-27
KALIANA SUNDRAM Thevendran,马来西亚,空手道,Men's Kumite -55kg Final,铜,M,22.6,2004-02-23
IIMURA Kazuki,日本,击剑,Men's Foil Individual,金,M,22.7,2003-12-27
BABIKR Abdulla,卡塔尔,空手道,Men's Kumite -84kg Final,铜,M,22.7,2004-01-04
MOSTAFA Dina Ahmed S,沙特阿拉伯,空手道,Women's Kumite +68kg Final,铜,W,22.7,2003-12-31
PATIL Rudrankksh Balasaheb,印度,射击,10m Air Rifle Men Individual,铜,M,22.8,2003-12-16
NAZMYRADOV Davut,土库曼斯坦,空手道,Men's Kumite -75kg Final,银,M,22.8,2003-12-04
OKA Shinnosuke,日本,竞技体操,Men's All-Around,银,M,22.9,2003-10-31
KANYBEK UULU Dastan,吉尔吉斯斯坦,综合格斗,Men's Modern -60kg Final,铜,M,22.9,2003-10-20
ALDROUS Joud,约旦,空手道,Women's Kumite -68kg Final,银,W,23.2,2003-07-10
GAN Ching Hwee,新加坡,游泳,Women's 1500m Freestyle,银,W,23.2,2003-07-22
GAN Ching Hwee,新加坡,游泳,Women's 400m Freestyle,银,W,23.2,2003-07-22
HWANG Sunwoo,韩国,游泳,Men's 100m Freestyle,铜,M,23.3,2003-05-21
CHUNG Meng-yu,中国台北,空手道,Men's Kumite -84kg Final,铜,M,23.3,2003-06-09
SHAVKATOV Nodirbek,乌兹别克斯坦,综合格斗,Men's Modern -71kg Final,铜,M,23.3,2003-06-07
HASHIMI Fariba,阿富汗,公路自行车,Women's Road Race,银,W,23.4,2003-04-22
WIDODO Eugenia Diva,印度尼西亚,武术,Women's Changquan,铜,W,23.4,2003-05-16
SEONG Seungmin,韩国,现代五项,Women's Individual,金,W,23.4,2003-05-06
LACHKAR Basma,文莱,武术,Women's Taijiquan & Taijijian,铜,W,23.5,2003-03-25
BIGABYL Zholaman,哈萨克斯坦,空手道,Men's Kumite -55kg Final,金,M,23.5,2003-03-22
CHENG Dalin,柬埔寨,综合格斗,Women's Traditional -60kg Final,铜,W,23.7,2002-12-30
PENG Xuwei,中国,游泳,Women's 200m Backstroke,金,W,23.7,2003-01-15
RAJABOV Otabek,塔吉克斯坦,综合格斗,Men's Traditional  -65kg Final,金,M,23.8,2002-12-18
JI Yuchan,韩国,游泳,Men's 50m Freestyle,铜,M,24.1,2002-08-24
TABUCHI Kaito,日本,游泳,Men's 1500m Freestyle,银,M,24.2,2002-07-01
HARI SANKAR Sureeya Sankar,马来西亚,空手道,Men's Kumite -60kg Final,铜,M,24.3,2002-06-07
LIN Xinyu,中国,铁人三项,Women's Individual,金,W,24.4,2002-04-24
POGOSIAN Diana,巴林,综合格斗,Women's Modern -54kg Final,银,W,24.6,2002-02-20
LI Bingjie,中国,游泳,Women's 1500m Freestyle,金,W,24.6,2002-03-03
LI Bingjie,中国,游泳,Women's 400m Freestyle,金,W,24.6,2002-03-03
TERAYAMA Tamaki,日本,击剑,Women's Épée Individual,铜,W,24.6,2002-01-29
YANG Jingwen,中国,击剑,Women's Épée Individual,铜,W,24.7,2002-01-02
FONG Man Hou,中国澳门,空手道,Men's Individual Kata Final,银,M,24.8,2001-11-22
SHIN Jieun,韩国,公路自行车,Women's Individual Time Trial,铜,W,24.9,2001-10-10
ZHANG Mingyu,中国,现代五项,Women's Individual,银,W,25.0,2001-10-01
YANG Chang,中国,游泳,Women's 50m Breaststroke,铜,W,25.0,2001-09-16
HUANG Anqi,中国,铁人三项,Women's Individual,银,W,25.0,2001-09-09
SIREGAR Seraf Naro,印度尼西亚,武术,Men's Changquan,铜,M,25.0,2001-09-17
DUISHEEV Yryskeldi,吉尔吉斯斯坦,综合格斗,Men's Modern -71kg Final,铜,M,25.0,2001-09-21
KHURSHEDZODA Behruz,塔吉克斯坦,综合格斗,Men's Modern -71kg Final,银,M,25.0,2001-09-07
HASHIMOTO Daiki,日本,竞技体操,Men's All-Around,铜,M,25.1,2001-08-07
LIU Chang-min,中国台北,武术,Men's Nanquan & Nangun,铜,M,25.1,2001-08-09
SHIMADA Sarara,日本,空手道,Women's Kumite -61kg Final,铜,W,25.2,2001-07-05
TONG Xin,中国,武术,Women's Taijiquan & Taijijian,金,W,25.3,2001-06-02
KANAY Assel,哈萨克斯坦,空手道,Women's Kumite -61kg Final,银,W,25.3,2001-05-25
KHIN HNIN Wai,缅甸,台克球,Women's Singles,金,W,25.3,2001-05-17
NEMATI Morteza,伊朗,空手道,Men's Kumite -75kg Final,金,M,25.5,2001-03-10
AZHIKANOV Nurkanat,哈萨克斯坦,空手道,Men's Kumite -75kg Final,铜,M,25.6,2001-02-23
DY Koemyean,柬埔寨,台克球,Women's Singles,铜,W,25.7,2001-01-20
YOUN Jeonghyun,韩国,击剑,Men's Foil Individual,铜,M,25.7,2001-01-05
BERULTSEVA Sofya,哈萨克斯坦,空手道,Women's Kumite +68kg Final,金,W,25.9,2000-11-06
KHAN Asim,巴基斯坦,综合格斗,Men's Modern -60kg Final,铜,M,25.9,2000-10-09
GUO Li,中国,公路自行车,Women's Road Race,金,W,26.0,2000-10-08
SHAM Hui Yu Lydia,中国香港,武术,Women's Changquan,金,W,26.1,2000-08-03
SHIH Cheng-chung,中国台北,空手道,Men's Kumite -67kg Final,铜,M,26.1,2000-08-13
KIRIA Tikanah Abdul Rahman,新加坡,击剑,Women's Épée Individual,银,W,26.2,2000-06-25
ZHANG Hao,中国,公路自行车,Women's Individual Time Trial,银,W,26.3,2000-06-10
ZHANG Boheng,中国,竞技体操,Men's All-Around,金,M,26.5,2000-03-04
LI Qiaoqiao,中国,空手道,Women's Kumite -68kg Final,金,W,26.5,2000-03-15
LATISHEVA Darya,乌兹别克斯坦,武术,Women's Nanquan & Nandao,银,W,26.5,2000-03-22
VANN Chakriya,柬埔寨,空手道,Women's Kumite -61kg Final,铜,W,26.6,2000-02-09
ZHANG Yaling,中国,武术,Women's Nanquan & Nandao,金,W,26.6,2000-03-01
LAU Chi Lung,中国香港,武术,Men's Nanquan & Nangun,银,M,26.6,2000-02-19
BUTSUWAN Maneevan,泰国,空手道,Women's Kumite +68kg Final,银,W,26.6,2000-02-24
ZHANYBEK UULU Syimyk,吉尔吉斯斯坦,综合格斗,Men's Traditional  -77kg Final,铜,M,26.9,1999-10-13
SUGIHARA Aiko,日本,竞技体操,Women's All-Around,金,W,27.0,1999-09-19
KOZAKI Yugo,日本,空手道,Men's Kumite -67kg Final,银,M,27.0,1999-09-21
SHIRAI Rio,日本,游泳,Women's 200m Backstroke,铜,W,27.0,1999-09-10
GONG Li,中国,空手道,Women's Kumite -61kg Final,金,W,27.1,1999-08-16
VALARIVAN Elavenil,印度,射击,10m Air Rifle Women Individual,银,W,27.1,1999-08-02
HOTMAULI Vallensia Fahira,印度尼西亚,综合格斗,Women's Modern -54kg Final,铜,W,27.2,1999-06-22
QIN Haiyang,中国,游泳,Men's 100m Breaststroke,铜,M,27.3,1999-05-17
LIU Yaxin,中国,游泳,Women's 200m Freestyle,铜,W,27.3,1999-06-16
LIU Dewen,中国,武术,Men's Taijiquan & Taijijian,金,M,27.5,1999-03-14
ALVAREZ Carlos,菲律宾,综合格斗,Men's Traditional  -77kg Final,铜,M,27.5,1999-04-05
ONO Maho,日本,空手道,Women's Individual Kata Final,金,W,27.6,1999-02-09
LEE Junsuk,韩国,台克球,Men's Singles,金,M,27.6,1999-02-19
LEE Bomi,韩国,综合格斗,Women's Modern -54kg Final,铜,W,27.7,1999-01-02
TAN Cheong Min,马来西亚,武术,Women's Nanquan & Nandao,铜,W,28.1,1998-08-20
ALELAYAWI Ali Jalil Mezher,伊拉克,台克球,Men's Singles,银,M,28.2,1998-06-25
LEE Jonghyeon,韩国,现代五项,Men's Individual,铜,M,28.3,1998-05-22
AN Hyeon-gi,韩国,武术,Men's Taijiquan & Taijijian,铜,M,28.3,1998-06-03
BURKUTALIN Yerkingali,哈萨克斯坦,综合格斗,Men's Traditional  -77kg Final,金,M,28.4,1998-05-11
SULTANOVA Rinata,哈萨克斯坦,公路自行车,Women's Individual Time Trial,金,W,28.5,1998-03-17
IMAMURA Shunsuke,日本,公路自行车,Men's Individual Time Trial,银,M,28.6,1998-02-14
WANG Xueer,中国,游泳,Women's 50m Backstroke,银,W,28.7,1998-01-15
SONG Chi Kuan,中国澳门,武术,Men's Changquan,银,M,28.7,1997-12-23
HAUGHEY Siobhan,中国香港,游泳,Women's 100m Freestyle,金,W,28.9,1997-10-31
HAUGHEY Siobhan,中国香港,游泳,Women's 200m Freestyle,金,W,28.9,1997-10-31
CHOI Chun Yin Ryan,中国香港,击剑,Men's Foil Individual,银,M,29.0,1997-10-09
ALBASHER Saud Abdulaziz B,沙特阿拉伯,空手道,Men's Kumite -60kg Final,铜,M,29.0,1997-09-06
SOU Cho Man,中国澳门,武术,Women's Changquan,银,W,29.2,1997-07-02
HO Ian Yentou,中国香港,游泳,Men's 50m Freestyle,银,M,29.4,1997-04-25
MATSUYAMA Kyosuke,日本,击剑,Men's Foil Individual,铜,M,29.8,1996-12-19
LEUNG Wing Yee,中国香港,公路自行车,Women's Road Race,铜,W,29.9,1996-10-29
SAINBAYAR Jambaljamts,蒙古,公路自行车,Men's Individual Time Trial,铜,M,30.0,1996-09-04
UMAROV Mirzobek,塔吉克斯坦,综合格斗,Men's Modern -60kg Final,金,M,30.0,1996-10-04
KHIOLA SOBIROVA,乌兹别克斯坦,综合格斗,Women's Traditional -60kg Final,银,W,30.1,1996-08-13
ALMASATFA Abdel Rahman,约旦,空手道,Men's Kumite -67kg Final,铜,M,30.3,1996-05-26
ADILOV Sanzhar,哈萨克斯坦,综合格斗,Men's Traditional  -65kg Final,铜,M,30.3,1996-05-20
SUN Chia-hung,中国台北,武术,Men's Taijiquan & Taijijian,银,M,30.3,1996-05-31
PHATTARABOONSORN Kanjutha,泰国,综合格斗,Women's Modern -54kg Final,金,W,30.3,1996-06-14
HOJO Takumi,日本,铁人三项,Men's Individual,金,M,30.5,1996-04-07
SAKAMOTO Yuina,日本,台克球,Women's Singles,铜,W,30.9,1995-10-23
NABIEV Mukhammad,巴林,综合格斗,Men's Traditional  -77kg Final,银,M,31.1,1995-08-20
XU Jiayu,中国,游泳,Men's 100m Backstroke,金,M,31.1,1995-08-19
XU Jiayu,中国,游泳,Men's 50m Backstroke,金,M,31.1,1995-08-19
NISHIYAMA Kakeru,日本,空手道,Men's Individual Kata Final,金,M,31.1,1995-08-20
ASIABARI Ali Asghar,伊朗,空手道,Men's Kumite -84kg Final,银,M,31.2,1995-07-15
JUN Woongtae,韩国,现代五项,Men's Individual,银,M,31.2,1995-07-29
ALMOSAWI Sayed Mohammed,科威特,空手道,Men's Individual Kata Final,铜,M,31.4,1995-05-12
SANISTYARANI Cok Istri Agung,印度尼西亚,空手道,Women's Kumite -55kg Final,铜,W,31.7,1994-12-31
SAITO Shiho,日本,武术,Women's Taijiquan & Taijijian,银,W,31.7,1994-12-23
LEE Juho,韩国,游泳,Men's 100m Backstroke,铜,M,31.7,1995-01-23
SACLAG Jean Claude,菲律宾,综合格斗,Men's Traditional  -65kg Final,银,M,32.0,1994-09-25
SHAABAN Abdullah,科威特,空手道,Men's Kumite -60kg Final,金,M,32.3,1994-06-12
MURAYAMA Daisuke,日本,综合格斗,Men's Traditional  -65kg Final,铜,M,32.5,1994-03-29
WANG Shun,中国,游泳,Men's 200m Individual Medley,铜,M,32.6,1994-02-11
WANG Shun,中国,游泳,Men's 400m Individual Medley,铜,M,32.6,1994-02-11
WONG Cheuk Lee,中国香港,空手道,Women's Kumite -68kg Final,铜,W,33.0,1993-10-07
