项目,代码,比赛天数,出奖牌天数,首日,末日,奖牌日
篮球,BKB,15,2,2026-09-10,2026-09-26,2026-09-20、2026-09-26
足球,FBL,15,2,2026-09-14,2026-10-03,2026-10-02、2026-10-03
曲棍球,HOC,14,2,2026-09-18,2026-10-03,2026-10-02、2026-10-03
沙滩排球,VBV,14,2,2026-09-20,2026-10-03,2026-10-02、2026-10-03
藤球,SPK,13,3,2026-09-20,2026-10-03,2026-09-25、2026-09-29、2026-10-03
射击,SHO,12,12,2026-09-20,2026-10-01,2026-09-20、2026-09-21、2026-09-22、2026-09-23、2026-09-24、2026-09-25、2026-09-26、2026-09-27、2026-09-28、2026-09-29、2026-09-30、2026-10-01
排球,VVO,12,2,2026-09-16,2026-10-03,2026-09-22、2026-10-03
水球,WPO,12,2,2026-09-20,2026-10-03,2026-09-24、2026-10-03
拳击,BOX,11,1,2026-09-21,2026-10-02,2026-10-02
板球,CKT,11,2,2026-09-17,2026-10-03,2026-09-22、2026-10-03
电子竞技,ELS,11,10,2026-09-22,2026-10-02,2026-09-23、2026-09-24、2026-09-25、2026-09-26、2026-09-27、2026-09-28、2026-09-29、2026-09-30、2026-10-01、2026-10-02
羽毛球,BDM,10,2,2026-09-20,2026-09-29,2026-09-24、2026-09-29
手球,HBL,10,2,2026-09-19,2026-09-29,2026-09-27、2026-09-29
壁球,SQU,10,2,2026-09-23,2026-10-02,2026-09-27、2026-10-02
乒乓球,TTE,9,4,2026-09-20,2026-09-28,2026-09-24、2026-09-26、2026-09-27、2026-09-28
射箭,ARC,8,4,2026-09-26,2026-10-03,2026-09-30、2026-10-01、2026-10-02、2026-10-03
马术,EQU,8,5,2026-09-22,2026-10-04,2026-09-23、2026-09-25、2026-09-27、2026-10-01、2026-10-04
帆船帆板,SAL,8,4,2026-09-26,2026-10-03,2026-09-30、2026-10-01、2026-10-02、2026-10-03
垒球,SBL,8,1,2026-09-26,2026-10-03,2026-10-03
田径,ATH,7,7,2026-09-23,2026-09-29,2026-09-23、2026-09-24、2026-09-25、2026-09-26、2026-09-27、2026-09-28、2026-09-29
网球,TEN,7,2,2026-09-27,2026-10-03,2026-10-02、2026-10-03
举重,WLF,7,7,2026-09-23,2026-09-29,2026-09-23、2026-09-24、2026-09-25、2026-09-26、2026-09-27、2026-09-28、2026-09-29
棒球,BBL,6,1,2026-09-21,2026-09-27,2026-09-27
击剑,FEN,6,6,2026-09-22,2026-09-27,2026-09-22、2026-09-23、2026-09-24、2026-09-25、2026-09-26、2026-09-27
卡巴迪,KAB,6,1,2026-09-21,2026-09-26,2026-09-26
板式网球,PDL,6,1,2026-09-28,2026-10-03,2026-10-03
游泳,SWM,6,6,2026-09-20,2026-09-25,2026-09-20、2026-09-21、2026-09-22、2026-09-23、2026-09-24、2026-09-25
