代表团,代码,参赛人数,覆盖项目数,金,银,铜,奖牌,人均奖牌(万分之),每金所需人数,奖牌产出率%,上榜
中国,CHN,939,51,32,13,8,53,564.4,29.3,5.6,是
日本,JPN,1082,59,11,16,19,46,425.1,98.4,4.3,是
韩国,KOR,924,56,6,4,17,27,292.2,154.0,2.9,是
哈萨克斯坦,KAZ,667,47,6,1,5,12,179.9,111.2,1.8,是
泰国,THA,804,57,4,1,1,6,74.6,201.0,0.7,是
中国香港,HKG,680,47,3,5,4,12,176.5,226.7,1.8,是
塔吉克斯坦,TJK,117,21,2,1,1,4,341.9,58.5,3.4,是
中国台北,TPE,562,45,1,3,5,9,160.1,562.0,1.6,是
印度,IND,588,37,1,4,2,7,119.0,588.0,1.2,是
乌兹别克斯坦,UZB,451,42,1,4,1,6,133.0,451.0,1.3,是
新加坡,SGP,353,34,1,3,1,5,141.6,353.0,1.4,是
伊朗,IRI,358,42,1,3,1,5,139.7,358.0,1.4,是
中国澳门,MAC,112,17,1,3,0,4,357.1,112.0,3.6,是
越南,VIE,411,30,1,0,3,4,97.3,411.0,1.0,是
马来西亚,MAS,416,34,1,0,3,4,96.2,416.0,1.0,是
缅甸,MYA,71,6,1,1,1,3,422.5,71.0,4.2,是
约旦,JOR,89,16,1,1,1,3,337.1,89.0,3.4,是
科威特,KUW,155,18,1,0,2,3,193.5,155.0,1.9,是
印度尼西亚,INA,528,45,0,1,7,8,151.5,,1.5,是
柬埔寨,CAM,69,15,0,0,4,4,579.7,,5.8,是
菲律宾,PHI,530,44,0,1,3,4,75.5,,0.8,是
伊拉克,IRQ,20,8,0,1,2,3,1500.0,,15.0,是
吉尔吉斯斯坦,KGZ,205,28,0,0,3,3,146.3,,1.5,是
黎巴嫩,LBN,48,18,0,1,1,2,416.7,,4.2,是
巴林,BRN,155,20,0,2,0,2,129.0,,1.3,是
沙特阿拉伯,KSA,171,18,0,0,2,2,117.0,,1.2,是
巴基斯坦,PAK,197,23,0,0,2,2,101.5,,1.0,是
卡塔尔,QAT,318,29,0,1,1,2,62.9,,0.6,是
文莱,BRU,7,3,0,0,1,1,1428.6,,14.3,是
叙利亚,SYR,36,11,0,0,1,1,277.8,,2.8,是
土库曼斯坦,TKM,39,9,0,1,0,1,256.4,,2.6,是
阿富汗,AFG,49,16,0,1,0,1,204.1,,2.0,是
斯里兰卡,SRI,178,27,0,1,0,1,56.2,,0.6,是
蒙古,MGL,376,34,0,0,1,1,26.6,,0.3,是
亚洲难民队,ART,2,1,0,0,0,0,0.0,,0.0,否
东帝汶,TLS,14,7,0,0,0,0,0.0,,0.0,否
不丹,BHU,16,4,0,0,0,0,0.0,,0.0,否
也门,YEM,19,9,0,0,0,0,0.0,,0.0,否
马尔代夫,MDV,65,7,0,0,0,0,0.0,,0.0,否
巴勒斯坦,PLE,76,19,0,0,0,0,0.0,,0.0,否
老挝,LAO,85,15,0,0,0,0,0.0,,0.0,否
阿曼,OMA,87,11,0,0,0,0,0.0,,0.0,否
朝鲜,PRK,121,14,0,0,0,0,0.0,,0.0,否
尼泊尔,NEP,161,22,0,0,0,0,0.0,,0.0,否
阿联酋,UAE,186,23,0,0,0,0,0.0,,0.0,否
孟加拉国,BAN,216,22,0,0,0,0,0.0,,0.0,否
