时间,项目,小项,轮次,纪录级别,记录类型,成绩,选手,选手中文,代码,代表团,地点,小项代码,项目代码
2026-09-20T00:00:00+09:00,射击,10m Air Rifle Women Individual,Final,赛会纪录,Asian Games Record,253.0,TAICHI Hinata,TAICHI Hinata,JPN,日本,Nagoya (JPN),W.ARW---------------,SHO
2026-09-20T00:00:00+09:00,射击,10m Air Rifle Women Individual,Qualification,亚洲纪录,Qualification Asian Record,636.8,WANG Zifei,王子菲,CHN,中国,Nagoya (JPN),W.ARW---------------,SHO
2026-09-20T00:00:00+09:00,射击,10m Air Rifle Women Individual,Qualification,赛会纪录,Qualification Asian Games Record,636.8,WANG Zifei,王子菲,CHN,中国,Nagoya (JPN),W.ARW---------------,SHO
2026-09-20T00:00:00+09:00,射击,10m Air Rifle Women Team,Final,世界纪录,World Record,1904.2,People's Republic of China,中国队,CHN,中国,Nagoya (JPN),W.ARTW--------------,SHO
2026-09-20T00:00:00+09:00,射击,10m Air Rifle Women Team,Final,亚洲纪录,Asian Record,1904.2,People's Republic of China,中国队,CHN,中国,Nagoya (JPN),W.ARTW--------------,SHO
2026-09-20T00:00:00+09:00,射击,10m Air Rifle Women Team,Final,赛会纪录,Asian Games Record,1904.2,People's Republic of China,中国队,CHN,中国,Nagoya (JPN),W.ARTW--------------,SHO
2026-09-20T10:59:00+09:00,游泳,Women's 50m Breaststroke,NONE,赛会纪录,GR,29.50,TANG Qianting,唐钱婷,CHN,中国,TOKYO (JPN),W.50MBR-------------,SWM
2026-09-20T17:00:00+09:00,游泳,Women's 200m Butterfly,NONE,赛会纪录,GR,2:05.08,YU Zidi,于子迪,CHN,中国,Tokio (JPN),W.200MBF------------,SWM
2026-09-20T18:01:00+09:00,游泳,Women's 50m Breaststroke,NONE,赛会纪录,GR,29.45,TANG Qianting,唐钱婷,CHN,中国,Tokio (JPN),W.50MBR-------------,SWM
2026-09-20T18:13:00+09:00,游泳,Men's 100m Backstroke,NONE,赛会纪录,GR,51.98,XU Jiayu,徐嘉余,CHN,中国,Tokio (JPN),M.100MBA------------,SWM
2026-09-20T18:33:00+09:00,游泳,Women's 4 x 100m Freestyle Relay,NONE,赛会纪录,GR,3:33.10,People's Republic of China,中国队,CHN,中国,Tokio (JPN),W.4X100MFR----------,SWM
2026-09-21T00:00:00+09:00,射击,10m Air Rifle Men Individual,Final,亚洲纪录,Asian Record,254.2,SHENG Lihao,盛李豪,CHN,中国,Nagoya (JPN),M.ARM---------------,SHO
