注册号,代表团代码,代表团,项目代码,项目,性别,类型,姓名,报名小项数,报名小项
7889120,AFG,Afghanistan,ARC,Archery,W,A,SADR Fatemeh Sadat,2,Compound Women's Individual / Recurve Women's Individual
10161997,BAN,Bangladesh,ARC,Archery,W,A,AKTER Bonna,5,Compound Women's Individual / Compound Women's Team / Compound Mixed Team / Compound Mixed Team / Compound Women's Team
13711725,BAN,Bangladesh,ARC,Archery,W,A,AKTER Mst Monira,5,Recurve Women's Individual / Recurve Women's Team / Recurve Mixed Team / Recurve Women's Team / Recurve Mixed Team
13700191,BAN,Bangladesh,ARC,Archery,M,A,ALIF Abdur Rahman,3,Recurve Men's Individual / Recurve Men's Team / Recurve Men's Team
703324,BAN,Bangladesh,ARC,Archery,M,A,BACHHAR Himu,3,Compound Men's Individual / Compound Men's Team / Compound Men's Team
ARCWRTEAM------BAN01,BAN,Bangladesh,ARC,Archery,W,T,Bangladesh,0,
ARCXCTEAM2-----BAN01,BAN,Bangladesh,ARC,Archery,X,T,Bangladesh,0,
ARCXRTEAM2-----BAN01,BAN,Bangladesh,ARC,Archery,X,T,Bangladesh,0,
ARCWCTEAM------BAN01,BAN,Bangladesh,ARC,Archery,W,T,Bangladesh,0,
ARCMRTEAM------BAN01,BAN,Bangladesh,ARC,Archery,M,T,Bangladesh,0,
ARCMCTEAM------BAN01,BAN,Bangladesh,ARC,Archery,M,T,Bangladesh,0,
788952,BAN,Bangladesh,ARC,Archery,M,A,MIA Md Rakib,3,Recurve Men's Individual / Recurve Men's Team / Recurve Men's Team
711318,BAN,Bangladesh,ARC,Archery,W,A,MONE Most Kulsum Akther,3,Compound Women's Individual / Compound Women's Team / Compound Women's Team
10157868,BAN,Bangladesh,ARC,Archery,M,A,RAHMAN Aishwarzo,3,Compound Men's Individual / Compound Men's Team / Compound Men's Team
13713283,BAN,Bangladesh,ARC,Archery,M,A,RAKIB Nawaz Ahmed,5,Compound Men's Individual / Compound Men's Team / Compound Mixed Team / Compound Mixed Team / Compound Men's Team
13701698,BAN,Bangladesh,ARC,Archery,M,A,SAHA Ramkrishna,5,Recurve Men's Individual / Recurve Men's Team / Recurve Mixed Team / Recurve Mixed Team / Recurve Men's Team
796138,BAN,Bangladesh,ARC,Archery,W,A,SHIMU Sima Aktar,3,Recurve Women's Individual / Recurve Women's Team / Recurve Women's Team
700350,BAN,Bangladesh,ARC,Archery,W,A,UDDIN Saima Salah,3,Recurve Women's Individual / Recurve Women's Team / Recurve Women's Team
10163428,BAN,Bangladesh,ARC,Archery,W,A,ZAMAN Puspita,3,Compound Women's Individual / Compound Women's Team / Compound Women's Team
ARCMRTEAM------BHU01,BHU,Bhutan,ARC,Archery,M,T,Bhutan,0,
ARCXCTEAM2-----BHU01,BHU,Bhutan,ARC,Archery,X,T,Bhutan,0,
ARCMCTEAM------BHU01,BHU,Bhutan,ARC,Archery,M,T,Bhutan,0,
14906042,BHU,Bhutan,ARC,Archery,W,A,DOLMA Dorji,3,Compound Women's Individual / Compound Mixed Team / Compound Mixed Team
3859260,BHU,Bhutan,ARC,Archery,M,A,DORJI Lam,3,Recurve Men's Individual / Recurve Men's Team / Recurve Men's Team
1521043,BHU,Bhutan,ARC,Archery,M,A,DORJI Tandin,5,Compound Men's Individual / Compound Men's Team / Compound Mixed Team / Compound Mixed Team / Compound Men's Team
14674696,BHU,Bhutan,ARC,Archery,M,A,GAYTSHEY Tshetum,3,Compound Men's Individual / Compound Men's Team / Compound Men's Team
14555832,BHU,Bhutan,ARC,Archery,M,A,NORBU Kezang,3,Compound Men's Individual / Compound Men's Team / Compound Men's Team
10284834,BHU,Bhutan,ARC,Archery,M,A,PENJOR Sonam,3,Recurve Men's Individual / Recurve Men's Team / Recurve Men's Team
16558211,BHU,Bhutan,ARC,Archery,M,A,TSHERING Kinley,3,Recurve Men's Individual / Recurve Men's Team / Recurve Men's Team
10804218,CHN,People's Republic of China,ARC,Archery,W,A,HUANG Yuwei,3,Recurve Women's Individual / Recurve Women's Team / Recurve Women's Team
10803518,CHN,People's Republic of China,ARC,Archery,M,A,LI Mengqi,5,Recurve Men's Individual / Recurve Men's Team / Recurve Mixed Team / Recurve Mixed Team / Recurve Men's Team
10813350,CHN,People's Republic of China,ARC,Archery,M,A,LIAO Jiahao,3,Compound Men's Individual / Compound Men's Team / Compound Men's Team
10813455,CHN,People's Republic of China,ARC,Archery,M,A,LIU Jinyi,5,Compound Men's Individual / Compound Men's Team / Compound Mixed Team / Compound Mixed Team / Compound Men's Team
ARCWCTEAM------CHN01,CHN,People's Republic of China,ARC,Archery,W,T,People's Republic of China,0,
ARCXCTEAM2-----CHN01,CHN,People's Republic of China,ARC,Archery,X,T,People's Republic of China,0,
ARCWRTEAM------CHN01,CHN,People's Republic of China,ARC,Archery,W,T,People's Republic of China,0,
ARCXRTEAM2-----CHN01,CHN,People's Republic of China,ARC,Archery,X,T,People's Republic of China,0,
ARCMCTEAM------CHN01,CHN,People's Republic of China,ARC,Archery,M,T,People's Republic of China,0,
ARCMRTEAM------CHN01,CHN,People's Republic of China,ARC,Archery,M,T,People's Republic of China,0,
10813612,CHN,People's Republic of China,ARC,Archery,M,A,SHI Jingyu,3,Compound Men's Individual / Compound Men's Team / Compound Men's Team
10803777,CHN,People's Republic of China,ARC,Archery,M,A,SUN Jingxuan,3,Recurve Men's Individual / Recurve Men's Team / Recurve Men's Team
10803882,CHN,People's Republic of China,ARC,Archery,M,A,WANG Yan,3,Recurve Men's Individual / Recurve Men's Team / Recurve Men's Team
10813907,CHN,People's Republic of China,ARC,Archery,W,A,WANG Yue,3,Compound Women's Individual / Compound Women's Team / Compound Women's Team
10814101,CHN,People's Republic of China,ARC,Archery,W,A,WEI Fangyao,3,Compound Women's Individual / Compound Women's Team / Compound Women's Team
10805895,CHN,People's Republic of China,ARC,Archery,W,A,WUNIER .,5,Compound Women's Individual / Compound Women's Team / Compound Mixed Team / Compound Women's Team / Compound Mixed Team
10804622,CHN,People's Republic of China,ARC,Archery,W,A,YU Qi,3,Recurve Women's Individual / Recurve Women's Team / Recurve Women's Team
10804876,CHN,People's Republic of China,ARC,Archery,W,A,ZHU Jingyi,5,Recurve Women's Individual / Recurve Women's Team / Recurve Mixed Team / Recurve Women's Team / Recurve Mixed Team
14625069,HKG,"Hong Kong, China",ARC,Archery,W,A,CHENG Hung Ting,3,Compound Women's Individual / Compound Women's Team / Compound Women's Team
ARCWCTEAM------HKG01,HKG,"Hong Kong, China",ARC,Archery,W,T,"Hong Kong, China",0,
14625338,HKG,"Hong Kong, China",ARC,Archery,M,A,KWOK Yin Chai,1,Recurve Men's Individual
14628923,HKG,"Hong Kong, China",ARC,Archery,W,A,WANG Cheuk Ying,3,Compound Women's Individual / Compound Women's Team / Compound Women's Team
14630118,HKG,"Hong Kong, China",ARC,Archery,W,A,WONG Yuk Sheung,3,Compound Women's Individual / Compound Women's Team / Compound Women's Team
10384183,INA,Indonesia,ARC,Archery,W,A,ASHRIFAH Nurisa Dian,5,Compound Women's Individual / Compound Women's Team / Compound Mixed Team / Compound Mixed Team / Compound Women's Team
15675873,INA,Indonesia,ARC,Archery,M,A,BAASITH Ahmad Khoirul,3,Recurve Men's Individual / Recurve Men's Team / Recurve Men's Team
15704396,INA,Indonesia,ARC,Archery,W,A,CHOIRUNISA Diananda,5,Recurve Women's Individual / Recurve Women's Team / Recurve Mixed Team / Recurve Mixed Team / Recurve Women's Team
15737921,INA,Indonesia,ARC,Archery,W,A,FADHLY Ratih Zilizati,3,Compound Women's Individual / Compound Women's Team / Compound Women's Team
ARCXRTEAM2-----INA01,INA,Indonesia,ARC,Archery,X,T,Indonesia,0,
ARCXCTEAM2-----INA01,INA,Indonesia,ARC,Archery,X,T,Indonesia,0,
ARCWRTEAM------INA01,INA,Indonesia,ARC,Archery,W,T,Indonesia,0,
ARCMRTEAM------INA01,INA,Indonesia,ARC,Archery,M,T,Indonesia,0,
ARCWCTEAM------INA01,INA,Indonesia,ARC,Archery,W,T,Indonesia,0,
15707086,INA,Indonesia,ARC,Archery,W,A,MAHARANI Fathiyya Erista,3,Recurve Women's Individual / Recurve Women's Team / Recurve Women's Team
10397868,INA,Indonesia,ARC,Archery,W,A,OCTAVIA Rezza,3,Recurve Women's Individual / Recurve Women's Team / Recurve Women's Team
10387365,INA,Indonesia,ARC,Archery,W,A,PEREIRA Yurike Nina Bonita,3,Compound Women's Individual / Compound Women's Team / Compound Women's Team
1024196,INA,Indonesia,ARC,Archery,M,A,PRASTYADI Alviyanto Bagas,3,Recurve Men's Individual / Recurve Men's Team / Recurve Men's Team
10386766,INA,Indonesia,ARC,Archery,M,A,RINALDI Sostar Andaru,3,Compound Men's Individual / Compound Mixed Team / Compound Mixed Team
1097793,INA,Indonesia,ARC,Archery,M,A,SALSABILLA Riau Ega Agata,5,Recurve Men's Individual / Recurve Men's Team / Recurve Mixed Team / Recurve Mixed Team / Recurve Men's Team
8774255,IND,India,ARC,Archery,W,A,BHAKAT Ankita,3,Recurve Women's Individual / Recurve Women's Team / Recurve Women's Team
10548737,IND,India,ARC,Archery,M,A,BHOGE Yashdeep Sanjay,3,Recurve Men's Individual / Recurve Men's Team / Recurve Men's Team
10541644,IND,India,ARC,Archery,M,A,BOMMADEVARA Dhiraj,3,Recurve Men's Individual / Recurve Men's Team / Recurve Men's Team
4895254,IND,India,ARC,Archery,M,A,CHAUHAN Neeraj,3,Recurve Men's Individual / Recurve Men's Team / Recurve Men's Team
12842746,IND,India,ARC,Archery,M,A,DALAL Kushal,3,Compound Men's Individual / Compound Men's Team / Compound Men's Team
ARCWRTEAM------IND01,IND,India,ARC,Archery,W,T,India,0,
ARCWCTEAM------IND01,IND,India,ARC,Archery,W,T,India,0,
ARCMRTEAM------IND01,IND,India,ARC,Archery,M,T,India,0,
ARCMCTEAM------IND01,IND,India,ARC,Archery,M,T,India,0,
4887824,IND,India,ARC,Archery,M,A,JADHAV Sahil Rajesh,3,Compound Men's Individual / Compound Men's Team / Compound Men's Team
