姓名,简写,代表团代码,金,银,铜,合计,项目,小项,奖牌
KIM Youngbeom,KIM Y,KOR,1,1,2,4,SWM,Men's 50m Freestyle,ME_GOLD
KIM Youngbeom,KIM Y,KOR,1,1,2,4,SWM,Men's 100m Freestyle,ME_SILVER
KIM Youngbeom,KIM Y,KOR,1,1,2,4,SWM,Men's 4 x 100m Medley Relay,ME_BRONZE
KIM Youngbeom,KIM Y,KOR,1,1,2,4,SWM,Men's 4 x 200m Freestyle Relay,ME_BRONZE
LI Bingjie,LI B,CHN,3,0,0,3,SWM,Women's 1500m Freestyle,ME_GOLD
LI Bingjie,LI B,CHN,3,0,0,3,SWM,Women's 4 x 100m Freestyle Relay,ME_GOLD
LI Bingjie,LI B,CHN,3,0,0,3,SWM,Women's 400m Freestyle,ME_GOLD
SHENG Lihao,SHENG L,CHN,3,0,0,3,SHO,10m Air Rifle Men Individual,ME_GOLD
SHENG Lihao,SHENG L,CHN,3,0,0,3,SHO,10m Air Rifle Men Team,ME_GOLD
SHENG Lihao,SHENG L,CHN,3,0,0,3,SHO,10m Air Rifle Mixed Team,ME_GOLD
XU Jiayu,XU J,CHN,3,0,0,3,SWM,Men's 100m Backstroke,ME_GOLD
XU Jiayu,XU J,CHN,3,0,0,3,SWM,Men's 4 x 100m Medley Relay,ME_GOLD
XU Jiayu,XU J,CHN,3,0,0,3,SWM,Men's 50m Backstroke,ME_GOLD
PAN Zhanle,PAN Z,CHN,3,0,0,3,SWM,Men's 100m Freestyle,ME_GOLD
PAN Zhanle,PAN Z,CHN,3,0,0,3,SWM,Men's 4 x 100m Medley Relay,ME_GOLD
PAN Zhanle,PAN Z,CHN,3,0,0,3,SWM,Men's 4 x 200m Freestyle Relay,ME_GOLD
ZHANG Zhanshuo,ZHANG Z,CHN,3,0,0,3,SWM,Men's 1500m Freestyle,ME_GOLD
ZHANG Zhanshuo,ZHANG Z,CHN,3,0,0,3,SWM,Men's 4 x 100m Medley Relay,ME_GOLD
ZHANG Zhanshuo,ZHANG Z,CHN,3,0,0,3,SWM,Men's 4 x 200m Freestyle Relay,ME_GOLD
HAUGHEY Siobhan,HAUGHEY S,HKG,2,1,0,3,SWM,Women's 100m Freestyle,ME_GOLD
HAUGHEY Siobhan,HAUGHEY S,HKG,2,1,0,3,SWM,Women's 200m Freestyle,ME_GOLD
HAUGHEY Siobhan,HAUGHEY S,HKG,2,1,0,3,SWM,Women's 4 x 100m Freestyle Relay,ME_SILVER
YU Yiting,YU Y,CHN,1,2,0,3,SWM,Women's 4 x 100m Freestyle Relay,ME_GOLD
YU Yiting,YU Y,CHN,1,2,0,3,SWM,Women's 100m Freestyle,ME_SILVER
YU Yiting,YU Y,CHN,1,2,0,3,SWM,Women's 200m Individual Medley,ME_SILVER
MATSUSHITA Tomoyuki,MATSUSHITA T,JPN,1,2,0,3,SWM,Men's 200m Individual Medley,ME_GOLD
MATSUSHITA Tomoyuki,MATSUSHITA T,JPN,1,2,0,3,SWM,Men's 4 x 200m Freestyle Relay,ME_SILVER
MATSUSHITA Tomoyuki,MATSUSHITA T,JPN,1,2,0,3,SWM,Men's 400m Individual Medley,ME_SILVER
WANG Shun,WANG S,CHN,1,0,2,3,SWM,Men's 4 x 200m Freestyle Relay,ME_GOLD
WANG Shun,WANG S,CHN,1,0,2,3,SWM,Men's 200m Individual Medley,ME_BRONZE
WANG Shun,WANG S,CHN,1,0,2,3,SWM,Men's 400m Individual Medley,ME_BRONZE
HWANG Sunwoo,HWANG S,KOR,0,0,3,3,SWM,Men's 100m Freestyle,ME_BRONZE
HWANG Sunwoo,HWANG S,KOR,0,0,3,3,SWM,Men's 4 x 100m Medley Relay,ME_BRONZE
HWANG Sunwoo,HWANG S,KOR,0,0,3,3,SWM,Men's 4 x 200m Freestyle Relay,ME_BRONZE
WANG Zifei,WANG Z,CHN,2,0,0,2,SHO,10m Air Rifle Mixed Team,ME_GOLD
WANG Zifei,WANG Z,CHN,2,0,0,2,SHO,10m Air Rifle Women Team,ME_GOLD
DONG Zhihao,DONG Z,CHN,2,0,0,2,SWM,Men's 100m Breaststroke,ME_GOLD
DONG Zhihao,DONG Z,CHN,2,0,0,2,SWM,Men's 4 x 100m Medley Relay,ME_GOLD
YU Zidi,YU Z,CHN,2,0,0,2,SWM,Women's 200m Butterfly,ME_GOLD
YU Zidi,YU Z,CHN,2,0,0,2,SWM,Women's 200m Individual Medley,ME_GOLD
LIN Xinyu,LIN X,CHN,2,0,0,2,TRI,Mixed Relay,ME_GOLD
LIN Xinyu,LIN X,CHN,2,0,0,2,TRI,Women's Individual,ME_GOLD
WONGKHAMCHAN Suphawadi,WONGKHAMCHAN S,THA,2,0,0,2,TEQ,Mixed Doubles,ME_GOLD
WONGKHAMCHAN Suphawadi,WONGKHAMCHAN S,THA,2,0,0,2,TEQ,Women's Doubles,ME_GOLD
ZHANG Mingyu,ZHANG M,CHN,1,1,0,2,MPN,Women's Team,ME_GOLD
ZHANG Mingyu,ZHANG M,CHN,1,1,0,2,MPN,Women's Individual,ME_SILVER
LI Liuchang,LI L,CHN,1,1,0,2,MPN,Men's Individual,ME_GOLD
LI Liuchang,LI L,CHN,1,1,0,2,MPN,Men's Team,ME_SILVER
LI Jiaping,LI J,CHN,1,1,0,2,SWM,Women's 4 x 100m Freestyle Relay,ME_GOLD
LI Jiaping,LI J,CHN,1,1,0,2,SWM,Women's 200m Freestyle,ME_SILVER
ZHANG Xirui,ZHANG X,CHN,1,1,0,2,TRI,Mixed Relay,ME_GOLD
ZHANG Xirui,ZHANG X,CHN,1,1,0,2,TRI,Men's Individual,ME_SILVER
HUANG Anqi,HUANG A,CHN,1,1,0,2,TRI,Mixed Relay,ME_GOLD
HUANG Anqi,HUANG A,CHN,1,1,0,2,TRI,Women's Individual,ME_SILVER
HOJO Takumi,HOJO T,JPN,1,1,0,2,TRI,Men's Individual,ME_GOLD
HOJO Takumi,HOJO T,JPN,1,1,0,2,TRI,Mixed Relay,ME_SILVER
TEMMA Rena,TEMMA R,JPN,1,1,0,2,TST,Women's Team,ME_GOLD
TEMMA Rena,TEMMA R,JPN,1,1,0,2,TST,Mixed Doubles,ME_SILVER
UEMATSU Toshiki,UEMATSU T,JPN,1,1,0,2,TST,Men's Team,ME_GOLD
UEMATSU Toshiki,UEMATSU T,JPN,1,1,0,2,TST,Mixed Doubles,ME_SILVER
KOJIMA Yumeki,KOJIMA Y,JPN,1,1,0,2,SWM,Men's 400m Individual Medley,ME_GOLD
KOJIMA Yumeki,KOJIMA Y,JPN,1,1,0,2,SWM,Men's 200m Individual Medley,ME_SILVER
OHASHI Shin,OHASHI S,JPN,1,1,0,2,SWM,Men's 100m Breaststroke,ME_GOLD
OHASHI Shin,OHASHI S,JPN,1,1,0,2,SWM,Men's 4 x 100m Medley Relay,ME_SILVER
JUN Woongtae,JUN W,KOR,1,1,0,2,MPN,Men's Team,ME_GOLD
JUN Woongtae,JUN W,KOR,1,1,0,2,MPN,Men's Individual,ME_SILVER
SEONG Seungmin,SEONG S,KOR,1,1,0,2,MPN,Women's Individual,ME_GOLD
SEONG Seungmin,SEONG S,KOR,1,1,0,2,MPN,Women's Team,ME_SILVER
HUANG Shih-yuan,HUANG S,TPE,1,1,0,2,TST,Mixed Doubles,ME_GOLD
HUANG Shih-yuan,HUANG S,TPE,1,1,0,2,TST,Women's Team,ME_SILVER
YU Kai-wen,YU K,TPE,1,1,0,2,TST,Mixed Doubles,ME_GOLD
YU Kai-wen,YU K,TPE,1,1,0,2,TST,Men's Team,ME_SILVER
WU Xiyao,WU X,CHN,1,0,1,2,MPN,Women's Team,ME_GOLD
WU Xiyao,WU X,CHN,1,0,1,2,MPN,Women's Individual,ME_BRONZE
QIN Haiyang,QIN H,CHN,1,0,1,2,SWM,Men's 4 x 100m Medley Relay,ME_GOLD
QIN Haiyang,QIN H,CHN,1,0,1,2,SWM,Men's 100m Breaststroke,ME_BRONZE
LIU Yaxin,LIU Y,CHN,1,0,1,2,SWM,Women's 4 x 100m Freestyle Relay,ME_GOLD
LIU Yaxin,LIU Y,CHN,1,0,1,2,SWM,Women's 200m Freestyle,ME_BRONZE
CHENG Yujie,CHENG Y,CHN,1,0,1,2,SWM,Women's 4 x 100m Freestyle Relay,ME_GOLD
CHENG Yujie,CHENG Y,CHN,1,0,1,2,SWM,Women's 100m Freestyle,ME_BRONZE
TAICHI Hinata,TAICHI H,JPN,1,0,1,2,SHO,10m Air Rifle Women Individual,ME_GOLD
TAICHI Hinata,TAICHI H,JPN,1,0,1,2,SHO,10m Air Rifle Women Team,ME_BRONZE
MAEDA Rio,MAEDA R,JPN,1,0,1,2,TST,Women's Team,ME_GOLD
MAEDA Rio,MAEDA R,JPN,1,0,1,2,TST,Mixed Doubles,ME_BRONZE
MARUYAMA Kaito,MARUYAMA K,JPN,1,0,1,2,TST,Men's Team,ME_GOLD
MARUYAMA Kaito,MARUYAMA K,JPN,1,0,1,2,TST,Mixed Doubles,ME_BRONZE
LEE Jonghyeon,LEE J,KOR,1,0,1,2,MPN,Men's Team,ME_GOLD
LEE Jonghyeon,LEE J,KOR,1,0,1,2,MPN,Men's Individual,ME_BRONZE
BUI Ngoc Nhi,BUI NN,VIE,1,0,1,2,KTE,Women's Team Kata - Final,ME_GOLD
BUI Ngoc Nhi,BUI NN,VIE,1,0,1,2,KTE,Women's Individual Kata - Final,ME_BRONZE
DHILLON Himanshu,DHILLON H,IND,0,2,0,2,SHO,10m Air Rifle Men Individual,ME_SILVER
DHILLON Himanshu,DHILLON H,IND,0,2,0,2,SHO,10m Air Rifle Men Team,ME_SILVER
VALARIVAN Elavenil,VALARIVAN E,IND,0,2,0,2,SHO,10m Air Rifle Women Individual,ME_SILVER
