排名,并列,代表团,代码,金,银,铜,合计,男金,女金,混合金
1,False,People's Republic of China,CHN,32,13,8,53,13,17,2
2,False,Japan,JPN,11,16,19,46,7,4,0
3,False,Republic of Korea,KOR,6,4,17,27,4,2,0
4,False,Kazakhstan,KAZ,6,1,5,12,4,2,0
5,False,Thailand,THA,4,1,1,6,1,2,1
6,False,"Hong Kong, China",HKG,3,5,4,12,0,3,0
7,False,Tajikistan,TJK,2,1,1,4,2,0,0
8,False,India,IND,1,4,2,7,0,1,0
9,False,Uzbekistan,UZB,1,4,1,6,1,0,0
10,False,Chinese Taipei,TPE,1,3,5,9,0,0,1
11,True,Islamic Republic of Iran,IRI,1,3,1,5,1,0,0
11,True,Singapore,SGP,1,3,1,5,0,1,0
13,False,"Macao, China",MAC,1,3,0,4,1,0,0
14,True,Jordan,JOR,1,1,1,3,1,0,0
14,True,Myanmar,MYA,1,1,1,3,0,1,0
16,True,Malaysia,MAS,1,0,3,4,0,1,0
16,True,Vietnam,VIE,1,0,3,4,0,1,0
18,False,Kuwait,KUW,1,0,2,3,1,0,0
19,False,Bahrain,BRN,0,2,0,2,0,0,0
20,False,Indonesia,INA,0,1,7,8,0,0,0
21,False,Philippines,PHI,0,1,3,4,0,0,0
22,False,Iraq,IRQ,0,1,2,3,0,0,0
23,True,Lebanon,LBN,0,1,1,2,0,0,0
23,True,Qatar,QAT,0,1,1,2,0,0,0
25,True,Afghanistan,AFG,0,1,0,1,0,0,0
25,True,Sri Lanka,SRI,0,1,0,1,0,0,0
25,True,Turkmenistan,TKM,0,1,0,1,0,0,0
28,False,Cambodia,CAM,0,0,4,4,0,0,0
29,False,Kyrgyzstan,KGZ,0,0,3,3,0,0,0
30,True,Saudi Arabia,KSA,0,0,2,2,0,0,0
30,True,Pakistan,PAK,0,0,2,2,0,0,0
32,True,Brunei Darussalam,BRU,0,0,1,1,0,0,0
32,True,Mongolia,MGL,0,0,1,1,0,0,0
32,True,Syrian Arab Republic,SYR,0,0,1,1,0,0,0
