项目,项目代码,小项,小项代码,轮次,记录类型,成绩,选手,代码,代表团,时间,地点
Shooting,SHO,10m Air Rifle Women Individual,W.ARW---------------,Final,Asian Games Record,253.0,TAICHI Hinata,JPN,Japan,2026-09-20T00:00:00+09:00,Nagoya (JPN)
Shooting,SHO,10m Air Rifle Women Individual,W.ARW---------------,Qualification,Qualification Asian Record,636.8,WANG Zifei,CHN,China,2026-09-20T00:00:00+09:00,Nagoya (JPN)
Shooting,SHO,10m Air Rifle Women Individual,W.ARW---------------,Qualification,Qualification Asian Games Record,636.8,WANG Zifei,CHN,China,2026-09-20T00:00:00+09:00,Nagoya (JPN)
Shooting,SHO,10m Air Rifle Women Team,W.ARTW--------------,Final,World Record,1904.2,People's Republic of China,CHN,China,2026-09-20T00:00:00+09:00,Nagoya (JPN)
Shooting,SHO,10m Air Rifle Women Team,W.ARTW--------------,Final,Asian Record,1904.2,People's Republic of China,CHN,China,2026-09-20T00:00:00+09:00,Nagoya (JPN)
Shooting,SHO,10m Air Rifle Women Team,W.ARTW--------------,Final,Asian Games Record,1904.2,People's Republic of China,CHN,China,2026-09-20T00:00:00+09:00,Nagoya (JPN)
Swimming,SWM,Women's 50m Breaststroke,W.50MBR-------------,NONE,GR,29.50,TANG Qianting,CHN,China,2026-09-20T10:59:00+09:00,TOKYO (JPN)
Swimming,SWM,Women's 200m Butterfly,W.200MBF------------,NONE,GR,2:05.08,YU Zidi,CHN,China,2026-09-20T17:00:00+09:00,Tokio (JPN)
Swimming,SWM,Women's 50m Breaststroke,W.50MBR-------------,NONE,GR,29.45,TANG Qianting,CHN,China,2026-09-20T18:01:00+09:00,Tokio (JPN)
Swimming,SWM,Men's 100m Backstroke,M.100MBA------------,NONE,GR,51.98,XU Jiayu,CHN,China,2026-09-20T18:13:00+09:00,Tokio (JPN)
Swimming,SWM,Women's 4 x 100m Freestyle Relay,W.4X100MFR----------,NONE,GR,3:33.10,People's Republic of China,CHN,China,2026-09-20T18:33:00+09:00,Tokio (JPN)
Shooting,SHO,10m Air Rifle Men Individual,M.ARM---------------,Final,Asian Record,254.2,SHENG Lihao,CHN,China,2026-09-21T00:00:00+09:00,Nagoya (JPN)
Shooting,SHO,10m Air Rifle Men Individual,M.ARM---------------,Final,Asian Games Record,254.2,SHENG Lihao,CHN,China,2026-09-21T00:00:00+09:00,Nagoya (JPN)
Shooting,SHO,10m Air Rifle Men Individual,M.ARM---------------,Qualification,Qualification Asian Record,635.4,SHENG Lihao,CHN,China,2026-09-21T00:00:00+09:00,Nagoya (JPN)
Shooting,SHO,10m Air Rifle Men Individual,M.ARM---------------,Qualification,Qualification Asian Games Record,635.4,SHENG Lihao,CHN,China,2026-09-21T00:00:00+09:00,Nagoya (JPN)
Shooting,SHO,10m Air Rifle Men Team,M.ARTM--------------,Final,World Record,1899.0,People's Republic of China,CHN,China,2026-09-21T00:00:00+09:00,Nagoya (JPN)
Shooting,SHO,10m Air Rifle Men Team,M.ARTM--------------,Final,Asian Record,1899.0,People's Republic of China,CHN,China,2026-09-21T00:00:00+09:00,Nagoya (JPN)
Shooting,SHO,10m Air Rifle Men Team,M.ARTM--------------,Final,Asian Games Record,1899.0,People's Republic of China,CHN,China,2026-09-21T00:00:00+09:00,Nagoya (JPN)
Swimming,SWM,Men's 50m Freestyle,M.50MFR-------------,NONE,GR,21.71,KIM Youngbeom,KOR,Korea,2026-09-21T10:20:00+09:00,Tokio (JPN)
Swimming,SWM,Men's 50m Backstroke,M.50MBA-------------,NONE,GR,24.04,XU Jiayu,CHN,China,2026-09-21T17:00:00+09:00,Tokio (JPN)
Swimming,SWM,Men's 50m Freestyle,M.50MFR-------------,NONE,GR,21.66,KIM Youngbeom,KOR,Korea,2026-09-21T17:12:00+09:00,Tokio (JPN)
Swimming,SWM,Women's 200m Individual Medley,W.200MIM------------,NONE,AR,2:06.10,YU Zidi,CHN,China,2026-09-21T17:52:00+09:00,Tokio (JPN)
Swimming,SWM,Women's 200m Individual Medley,W.200MIM------------,NONE,GR,2:06.10,YU Zidi,CHN,China,2026-09-21T17:52:00+09:00,Tokio (JPN)
Swimming,SWM,Men's 4 x 200m Freestyle Relay,M.4X200MFR----------,NONE,AR,7:00.17,People's Republic of China,CHN,China,2026-09-21T18:13:00+09:00,Tokio (JPN)
Swimming,SWM,Men's 4 x 200m Freestyle Relay,M.4X200MFR----------,NONE,GR,7:00.17,People's Republic of China,CHN,China,2026-09-21T18:13:00+09:00,Tokio (JPN)
Swimming,SWM,Men's 400m Individual Medley,M.400MIM------------,NONE,GR,4:07.02,KOJIMA Yumeki,JPN,Japan,2026-09-22T17:08:00+09:00,Tokio (JPN)
Swimming,SWM,Women's 200m Backstroke,W.200MBA------------,NONE,AR,2:05.77,PENG Xuwei,CHN,China,2026-09-22T17:20:00+09:00,Tokio (JPN)
Swimming,SWM,Women's 200m Backstroke,W.200MBA------------,NONE,GR,2:05.77,PENG Xuwei,CHN,China,2026-09-22T17:20:00+09:00,Tokio (JPN)
