代码,公司,行业,口径,营收_亿,营收同比_%,归母净利_亿,归母同比_%,扣非净利_亿,毛利率_%,归母净利率_%,研发费用_亿,研发费用率_%,销售费用_亿,销售费用率_%,销售研发合计费用率_%,经营现金流_亿,经营现金流/归母_%,合同负债_亿,合同负债/半年营收_%,资产负债率_%,货币资金_亿,境外收入_亿,境外收入占比_%,境外收入同比_%,手游收入占主营_%,页游收入占主营_%,市值_亿,PE_TTM,PB,营收2024H1_亿,归母2024H1_亿
300043,星辉娱乐,游戏Ⅱ,申万游戏Ⅱ,5.17,-54.43,0.92,-40.36,0.88,61.09,17.88,0.25,4.74,1.22,23.63,28.37,1.3,141.02,0.24,4.62,35.18,1.74,2.54,49.03,-69.14,,,56.11,23.48,3.25,6.15,-1.79
002425,凯撒文化,游戏Ⅱ,申万游戏Ⅱ,3.13,14.53,0.05,108.5,0.04,22.25,1.59,0.03,1.02,0.02,0.7,1.71,-0.07,-145.34,0.52,16.49,14.5,0.64,0.94,29.96,36.99,,,30.52,-6.18,1.23,2.39,-0.47
600715,文投控股,游戏Ⅱ,申万游戏Ⅱ,1.1,-38.42,-0.2,-538.19,-0.42,13.78,-18.1,0.21,18.94,0.01,1.29,20.23,2.41,-1216.14,,,30.89,5.08,,,,,,68.61,-98.74,6.43,2.15,-1.92
300031,宝通科技,游戏Ⅱ,申万游戏Ⅱ,19.66,22.3,1.92,37.4,1.43,41.24,9.77,0.59,3.03,4.65,23.63,26.66,1.98,103.08,1.17,5.96,34.12,15.74,14.42,73.38,19.84,43.62,,89.49,34.53,2.18,17.16,1.91
300533,冰川网络,游戏Ⅱ,申万游戏Ⅱ,11.9,-5.29,-0.23,-106.75,-0.53,92.52,-1.91,1.97,16.53,9.06,76.08,92.61,0.93,-409.61,2.89,24.3,50.85,3.56,7.46,62.72,9.32,95.84,,47.83,38.26,3.75,12.06,-5.15
603258,电魂网络,游戏Ⅱ,申万游戏Ⅱ,1.83,-5.67,-0.59,-529.4,-0.62,52.02,-32.11,0.45,24.31,0.65,35.48,59.8,-0.87,147.95,1.86,101.84,13.15,8.33,0.07,3.7,,,,35.86,-13.6,1.88,2.72,0.59
002174,游族网络,游戏Ⅱ,申万游戏Ⅱ,6.96,1.21,2.53,403.8,0.18,34.44,36.29,0.58,8.34,0.31,4.49,12.83,0.07,2.75,1.1,15.82,15.43,14.44,5.02,72.08,13.16,72.66,,141.09,-97.42,3.02,7.02,0.05
300002,神州泰岳,游戏Ⅱ,申万游戏Ⅱ,32.34,20.45,3.82,-25.03,3.66,43.88,11.81,1.71,5.29,2.57,7.93,13.23,4.64,121.61,1.5,4.65,13.69,19.96,27.79,85.93,25.49,,,162.49,24.11,2.06,30.53,6.31
002602,世纪华通,游戏Ⅱ,申万游戏Ⅱ,221.17,28.53,45.03,69.51,43.03,72.69,20.36,11.01,4.98,93.41,42.23,47.21,44.97,99.88,13.74,6.21,26.27,130.38,143.08,64.69,59.71,88.08,0.48,1077.59,14.46,3.15,92.76,11.58
002605,姚记科技,游戏Ⅱ,申万游戏Ⅱ,13.22,-8.07,2.16,-15.51,2.23,40.9,16.35,0.66,4.97,0.71,5.37,10.34,1.33,61.55,0.91,6.91,27.74,8.82,0.84,6.37,-8.48,,,70.52,16.5,1.92,19.08,2.84
