代码,公司,层级,2024年末员工数,2025年末员工数,员工增减_人,员工同比_%,2025H1支付职工现金_亿,2026H1支付职工现金_亿,职工现金同比_%,2026H1营收_亿,2026H1营收同比_%,每名2025年末员工对应2026H1营收_万元,每名2025年末员工对应2026H1归母净利_万元,口径备注
002558,巨人网络,核心,1541,1674,133,8.63,4.96,6.91,39.43,46.89,182.08,280.09,128.09,年末员工数来自年度报告；半年报通常不披露期末总人数
002174,游族网络,核心,782,566,-216,-27.62,1.72,1.55,-10.17,6.96,1.21,123.03,44.64,2024年：报告内部分项782+750与披露合计782不一致，分析沿用披露合计；2025年：报告内部分项566+540与披露合计566不一致，分析沿用披露合计
300533,冰川网络,核心,1952,2135,183,9.38,3.46,3.38,-2.3,11.9,-5.29,55.75,-1.06,年末员工数来自年度报告；半年报通常不披露期末总人数
002555,三七互娱,核心,3249,3138,-111,-3.42,9.02,8.84,-1.98,72.75,-14.28,231.82,56.29,年末员工数来自年度报告；半年报通常不披露期末总人数
300315,掌趣科技,核心,728,646,-82,-11.26,2.21,2.0,-9.34,3.34,-6.75,51.68,5.61,年末员工数来自年度报告；半年报通常不披露期末总人数
002602,世纪华通,核心,5618,6016,398,7.08,20.0,27.96,39.79,221.17,28.53,367.64,74.85,年末员工数来自年度报告；半年报通常不披露期末总人数
002624,完美世界,核心,3905,3333,-572,-14.65,11.76,11.31,-3.83,27.51,-25.47,82.54,-3.55,年末员工数来自年度报告；半年报通常不披露期末总人数
002517,恺英网络,核心,2184,2248,64,2.93,3.81,4.3,12.85,47.97,86.06,213.37,63.54,年末员工数来自年度报告；半年报通常不披露期末总人数
002425,凯撒文化,核心,749,678,-71,-9.48,0.6,0.56,-5.84,3.13,14.53,46.17,0.74,年末员工数来自年度报告；半年报通常不披露期末总人数
002919,名臣健康,核心,1267,1305,38,3.0,1.03,1.11,7.17,8.96,25.9,68.66,-0.39,年末员工数来自年度报告；半年报通常不披露期末总人数
300299,富春股份,核心,730,826,96,13.15,0.79,0.81,2.87,2.16,19.02,26.16,4.04,年末员工数来自年度报告；半年报通常不披露期末总人数
300043,星辉娱乐,核心,2055,1711,-344,-16.74,2.88,1.5,-48.05,5.17,-54.43,30.23,5.4,年末员工数来自年度报告；半年报通常不披露期末总人数
603258,电魂网络,核心,780,745,-35,-4.49,1.38,1.3,-5.67,1.83,-5.67,24.57,-7.89,年末员工数来自年度报告；半年报通常不披露期末总人数
603444,吉比特,核心,1460,995,-465,-31.85,6.11,7.49,22.65,37.27,48.01,374.56,109.7,年末员工数来自年度报告；半年报通常不披露期末总人数
300002,神州泰岳,重要,4362,4211,-151,-3.46,10.41,9.06,-13.01,32.34,20.45,76.79,9.07,年末员工数来自年度报告；半年报通常不披露期末总人数
002862,实丰文化,重要,642,720,78,12.15,0.28,0.45,61.0,2.12,11.83,29.47,0.43,年末员工数来自年度报告；半年报通常不披露期末总人数
300031,宝通科技,重要,1515,1675,160,10.56,2.88,3.46,20.15,19.66,22.3,117.34,11.46,年末员工数来自年度报告；半年报通常不披露期末总人数
301011,华立科技,重要,570,679,109,19.12,0.65,0.68,5.09,3.34,-30.59,49.17,-16.03,年末员工数来自年度报告；半年报通常不披露期末总人数
600715,文投控股,重要,410,418,8,1.95,0.58,0.61,4.07,1.1,-38.42,26.23,-4.75,年末员工数来自年度报告；半年报通常不披露期末总人数
600892,大晟文化,重要,366,509,143,39.07,0.51,0.56,9.43,1.54,41.47,30.23,-7.63,年末员工数来自年度报告；半年报通常不披露期末总人数
600633,浙数文化,重要,1654,1711,57,3.45,3.98,3.61,-9.44,17.27,22.16,100.95,17.62,年末员工数来自年度报告；半年报通常不披露期末总人数
300113,顺网科技,重要,1226,1183,-43,-3.51,2.21,2.17,-1.57,5.66,-44.02,47.81,13.38,年末员工数来自年度报告；半年报通常不披露期末总人数
002605,姚记科技,重要,1629,1654,25,1.53,2.67,2.8,5.0,13.22,-8.07,79.94,13.07,年末员工数来自年度报告；半年报通常不披露期末总人数
300494,盛天网络,重要,744,793,49,6.59,0.92,0.99,7.93,5.64,-10.87,71.1,-14.95,年末员工数来自年度报告；半年报通常不披露期末总人数
