市场,代码,公司,主体性质,来源层,分析层级,评估结论,2026H1财务可用,游戏收入_亿元,游戏收入占比_%,说明
A股,002558.SZ,巨人网络,上市主体,88家板块关键词初筛,主样本-核心,纳入主样本,是,46.84,99.90,移动端网络游戏43.68亿+电脑端2.61亿+其他游戏相关0.55亿
A股,300533.SZ,冰川网络,上市主体,88家板块关键词初筛,主样本-核心,纳入主样本,是,11.87,99.77,移动游戏充值11.41亿+客户端0.47亿
A股,002174.SZ,游族网络,上市主体,88家板块关键词初筛,主样本-核心,纳入主样本,是,6.95,99.76,移动游戏5.06亿+PC端1.89亿
A股,002555.SZ,三七互娱,上市主体,88家板块关键词初筛,主样本-核心,纳入主样本,是,72.38,99.50,移动游戏71.15亿+网页游戏1.23亿
A股,300315.SZ,掌趣科技,上市主体,88家板块关键词初筛,主样本-核心,纳入主样本,是,3.32,99.49,移动终端游戏3.08亿+页面游戏0.24亿
A股,002602.SZ,世纪华通,上市主体,88家板块关键词初筛,主样本-核心,纳入主样本,是,213.01,96.31,移动端游戏194.81亿+电脑端17.12亿+网页端1.07亿
A股,002624.SZ,完美世界,上市主体,88家板块关键词初筛,主样本-核心,纳入主样本,是,26.39,95.93,PC端14.54亿+移动端10.78亿+主机0.76亿
A股,002517.SZ,恺英网络,上市主体,88家板块关键词初筛,主样本-核心,纳入主样本,是,41.87,87.29,移动游戏41.64亿+网页游戏0.23亿
A股,002425.SZ,凯撒文化,上市主体,88家板块关键词初筛,主样本-核心,纳入主样本,是,2.51,80.27,游戏分成2.51亿
A股,002919.SZ,名臣健康,上市主体,88家板块关键词初筛,主样本-核心,纳入主样本,是,6.58,73.45,网络游戏6.58亿
A股,300299.SZ,富春股份,上市主体,88家板块关键词初筛,主样本-核心,纳入主样本,是,1.43,66.24,游戏业务1.43亿
A股,300043.SZ,星辉娱乐,上市主体,88家板块关键词初筛,主样本-核心,纳入主样本,是,3.14,60.70,游戏3.14亿
A股,300002.SZ,神州泰岳,上市主体,88家板块关键词初筛,主样本-重要,纳入主样本,是,16.68,51.58,游戏16.68亿，另有AI与云服务/物联网
A股,002862.SZ,实丰文化,上市主体,88家板块关键词初筛,主样本-重要,纳入主样本,是,1.01,47.50,游戏1.01亿，另有玩具业务；原不在申万游戏Ⅱ
A股,300031.SZ,宝通科技,上市主体,88家板块关键词初筛,主样本-重要,纳入主样本,是,8.57,43.62,移动游戏产品8.57亿，另有智能输送业务
A股,301011.SZ,华立科技,上市主体,88家板块关键词初筛,主样本-重要,纳入主样本,是,1.36,40.77,游戏游艺设备销售1.36亿（游戏产业链·线下游乐设备）
A股,600715.SH,文投控股,上市主体,88家板块关键词初筛,主样本-重要,纳入主样本,是,0.38,34.84,网络游戏开发及运营分部0.38亿，另有影城业务
A股,600892.SH,大晟文化,上市主体,88家板块关键词初筛,主样本-重要,纳入主样本,是,0.51,32.97,网络游戏业务分部0.51亿
A股,300113.SZ,顺网科技,上市主体,88家板块关键词初筛,主样本-重要,纳入主样本,是,1.76,31.14,游戏业务1.76亿，另有网络广告及增值
A股,002605.SZ,姚记科技,上市主体,88家板块关键词初筛,主样本-重要,纳入主样本,是,4.04,30.54,游戏4.04亿，另有扑克牌与数字营销
A股,300494.SZ,盛天网络,上市主体,88家板块关键词初筛,主样本-重要,纳入主样本,是,0.90,16.03,游戏运营业务0.90亿，另有网络广告与增值
A股,300148.SZ,天舟文化,上市主体,88家板块关键词初筛,观察层-披露游戏收入,保留观察,是,0.26,11.96,2026H1披露游戏相关收入0.26亿元，游戏收入占比11.96%，不并入24家主样本
A股,000917.SZ,电广传媒,上市主体,88家板块关键词初筛,观察层-披露游戏收入,保留观察,是,2.62,11.80,2026H1披露游戏相关收入2.62亿元，游戏收入占比11.80%，不并入24家主样本
A股,002148.SZ,北纬科技,上市主体,88家板块关键词初筛,观察层-披露游戏收入,保留观察,是,0.22,11.32,2026H1披露游戏相关收入0.22亿元，游戏收入占比11.32%，不并入24家主样本
A股,300052.SZ,中青宝,上市主体,88家板块关键词初筛,观察层-披露游戏收入,保留观察,是,0.13,11.19,2026H1披露游戏相关收入0.13亿元，游戏收入占比11.19%，不并入24家主样本
A股,300459.SZ,汤姆猫,上市主体,88家板块关键词初筛,观察层-边缘,保留观察,是,0.49,10.98,主要为广告业务3.14亿，游戏发行仅0.49亿，属IP+广告变现
A股,002739.SZ,儒意电影,上市主体,88家板块关键词初筛,观察层-披露游戏收入,保留观察,是,1.41,2.77,2026H1披露游戏相关收入1.41亿元，游戏收入占比2.77%，不并入24家主样本
A股,000793.SZ,ST华闻,上市主体,88家板块关键词初筛,观察层-披露游戏收入,保留观察,是,0.03,1.88,2026H1披露游戏相关收入0.03亿元，游戏收入占比1.88%，不并入24家主样本
A股,600770.SH,综艺股份,上市主体,88家板块关键词初筛,观察层-披露游戏收入,保留观察,是,0.06,1.71,2026H1披露游戏相关收入0.06亿元，游戏收入占比1.71%，不并入24家主样本
A股,300418.SZ,昆仑万维,上市主体,88家板块关键词初筛,观察层-披露游戏收入,保留观察,是,0.80,1.49,2026H1披露游戏相关收入0.80亿元，游戏收入占比1.49%，不并入24家主样本
A股,002292.SZ,奥飞娱乐,上市主体,88家板块关键词初筛,观察层-披露游戏收入,保留观察,是,0.01,0.08,2026H1披露游戏相关收入0.01亿元，游戏收入占比0.08%，不并入24家主样本
A股,300518.SZ,新迅达,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.08,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,000656.SZ,金科股份,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,000676.SZ,智度股份,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,000725.SZ,京东方A,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,000727.SZ,冠捷科技,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,001308.SZ,康冠科技,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,002024.SZ,ST易购,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
