代码,公司,层级,游戏收入占比_%,游戏收入_亿,分层依据
002558,巨人网络,核心,99.9,46.84,移动端网络游戏43.68亿+电脑端2.61亿+其他游戏相关0.55亿
002174,游族网络,核心,99.76,6.95,移动游戏5.06亿+PC端1.89亿
300533,冰川网络,核心,99.77,11.87,移动游戏充值11.41亿+客户端0.47亿
002555,三七互娱,核心,99.5,72.38,移动游戏71.15亿+网页游戏1.23亿
300315,掌趣科技,核心,99.49,3.32,移动终端游戏3.08亿+页面游戏0.24亿
002602,世纪华通,核心,96.31,213.01,移动端游戏194.81亿+电脑端17.12亿+网页端1.07亿
002624,完美世界,核心,95.93,26.39,PC端14.54亿+移动端10.78亿+主机0.76亿
002517,恺英网络,核心,87.29,41.87,移动游戏41.64亿+网页游戏0.23亿
002425,凯撒文化,核心,80.27,2.51,游戏分成2.51亿
002919,名臣健康,核心,73.45,6.58,网络游戏6.58亿
300299,富春股份,核心,66.24,1.43,游戏业务1.43亿
300043,星辉娱乐,核心,60.70,3.14,游戏3.14亿
603258,电魂网络,核心,,,纯游戏公司；主营构成未按产品拆分，仅披露境内1.76亿/境外0.07亿
603444,吉比特,核心,,,纯游戏公司；主营构成未按产品拆分，仅披露境内31.20亿/境外6.07亿
300002,神州泰岳,重要,51.58,16.68,游戏16.68亿，另有AI与云服务/物联网
002862,实丰文化,重要,47.50,1.01,游戏1.01亿，另有玩具业务；原不在申万游戏Ⅱ
300031,宝通科技,重要,43.62,8.57,移动游戏产品8.57亿，另有智能输送业务
301011,华立科技,重要,40.77,1.36,游戏游艺设备销售1.36亿（游戏产业链·线下游乐设备）
600715,文投控股,重要,34.84,0.38,网络游戏开发及运营分部0.38亿，另有影城业务
600892,大晟文化,重要,32.97,0.51,网络游戏业务分部0.51亿
600633,浙数文化,重要,32.53,5.62,按行业口径在线游戏运营业务5.62亿（边锋网络）
300113,顺网科技,重要,31.14,1.76,游戏业务1.76亿，另有网络广告及增值
002605,姚记科技,重要,30.54,4.04,游戏4.04亿，另有扑克牌与数字营销
300494,盛天网络,重要,16.03,0.90,游戏运营业务0.90亿，另有网络广告与增值
300459,汤姆猫,边缘,10.98,0.49,主要为广告业务3.14亿，游戏发行仅0.49亿，属IP+广告变现
300467,迅游科技,边缘,0.00,,主业为网络加速（加速器）1.46亿，无游戏收入，属游戏周边服务
