SECUCODE,SECURITY_CODE,INDUSTRY_CODE,ORG_CODE,SECURITY_NAME_ABBR,INDUSTRY_NAME,MARKET,SECURITY_TYPE_CODE,TRADE_MARKET_CODE,DATE_TYPE_CODE,REPORT_TYPE_CODE,DATA_STATE,NOTICE_DATE,REPORT_DATE,PARENT_NETPROFIT,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_COST,TOE_RATIO,OPERATE_COST,OPERATE_EXPENSE,OPERATE_EXPENSE_RATIO,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,OPERATE_PROFIT,TOTAL_PROFIT,INCOME_TAX,OPERATE_INCOME,INTEREST_NI,INTEREST_NI_RATIO,FEE_COMMISSION_NI,FCN_RATIO,OPERATE_TAX_ADD,MANAGE_EXPENSE_BANK,FCN_CALCULATE,INTEREST_NI_CALCULATE,EARNED_PREMIUM,EARNED_PREMIUM_RATIO,INVEST_INCOME,SURRENDER_VALUE,COMPENSATE_EXPENSE,TOI_RATIO,OPERATE_PROFIT_RATIO,PARENT_NETPROFIT_RATIO,DEDUCT_PARENT_NETPROFIT,DPN_RATIO
300031.SZ,300031,1046,10141578,宝通科技,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-29 00:00:00,2026-06-30 00:00:00,191996190.06,1965519910.21,1838767767.51,24.1822413605,1154903186.34,1154903186.34,17.7015839748,464521071.99,159086190.14,-5363294.93,189025337.16,188086090.89,34708691.6,,,,,,6136254.46,,,,,,,,,22.3015970581,5.14627363654,37.4,143477450.67,20.453077399521
002862.SZ,002862,1266,10458763,实丰文化,文娱用品,szzb,058001001,069001002001,002,001,2,2026-08-29 00:00:00,2026-06-30 00:00:00,3085206.48,212165813.25,210093100.81,14.9145150489,95088857.09,95088857.09,-12.3724009408,73318495.4,25665477.7,6111908.02,3216005.06,3152404.6,10565.34,,,,,,421206.18,,,,,,,,,11.8332685626,40.878610147788,-26.09,2109432.87,-50.51067360732
600715.SH,600715,1046,10004025,文投控股,游戏Ⅱ,shzb,058001001,069001001001,002,001,2,2026-08-29 00:00:00,2026-06-30 00:00:00,-19839905.79,109629115.72,151945615.81,-14.9022476649,94523843.28,94523843.28,-20.1381665811,1419302.21,29161292.72,1219319.28,-19793117.37,-19376088.08,-375029.48,,,,,,4861396.12,,,,,,,,,-38.4150392049,-4504.08625642694,-538.19,-42031817.41,-5721.12348946957
300043.SZ,300043,1046,10136998,星辉娱乐,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-29 00:00:00,2026-06-30 00:00:00,92468963.84,517191996.05,406005767.02,-57.3312979965,201242795.86,201242795.86,-56.520553741,122193452.47,36977863.68,15900972.21,103151199.32,103005229.12,10537313.74,,,,,,5151165.57,,,,,,,,,-54.4336895272,-46.447750705584,-40.36,87721374.78,-43.951322000967
002425.SZ,002425,1046,10092118,凯撒文化,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-29 00:00:00,2026-06-30 00:00:00,4990082.21,313043859.75,283383505.69,-14.4182593422,243377164.09,243377164.09,-12.8223030525,2177963.75,31824516.52,1871446.11,9142729.03,9140176.4,5559653.72,,,,,,951535.81,,,,,,,,,14.5348699714,116.782534340043,108.5,4248089.14,107.34996512872
603258.SH,603258,1046,10399928,电魂网络,游戏Ⅱ,shzb,058001001,069001001001,002,001,2,2026-08-28 00:00:00,2026-06-30 00:00:00,-58773680.97,183044824.24,249771840.54,17.3067120879,87831115.1,87831115.1,16.3611412838,64946482.82,49001111.56,-170524.74,-58434678.44,-59045743.25,-434638.35,,,,,,3656722.38,,,,,,,,,-5.6725914757,-393.025686907884,-529.396319190587,-62395983.06,-299.851539279307
300002.SZ,300002,1046,10102587,神州泰岳,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-28 00:00:00,2026-06-30 00:00:00,381933549.08,3233835900.61,2819621823.39,30.5474091678,1814796313.75,1814796313.75,68.2728965137,256602456.61,475679185.55,93452303.37,459862229.81,459431607.68,85628599.37,,,,,,7943395.31,,,,,,,,,20.453892238,-24.907878513948,-25.03,365548339.06,-25.07815512934
002174.SZ,002174,1046,10095099,游族网络,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-28 00:00:00,2026-06-30 00:00:00,252680601.4,696371260.31,662435220.1,3.0197276321,456520650.42,456520650.42,10.0188198293,31261995.4,107216560.41,6435782.42,261192598.7,254576813.98,1935465.74,,,,,,2910601.17,,,,,,,,,1.2099950474,336.39776203473,403.8,17787104.59,29.42412115079
300533.SZ,300533,1046,10362253,冰川网络,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-28 00:00:00,2026-06-30 00:00:00,-22682666.7,1190182414.65,1260427488.66,35.8139671017,89002049.69,89002049.69,-1.4116432039,905534859.57,48351698.29,19566827.5,-35219283.78,-35577639.36,-4131587.7,,,,,,1274529.28,,,,,,,,,-5.2924074652,-110.024682011637,-106.75,-53431006,-116.772406990535
002602.SZ,002602,1046,10173442,世纪华通,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-28 00:00:00,2026-06-30 00:00:00,4502724309.47,22117039637.96,16967106549.55,22.042671549,6040771774.63,6040771774.63,15.0939720794,9340743104.58,521675245.26,-77137942.43,5426527584.9,5389604807.99,808220301.16,,,,,,39607222.92,,,,,,,,,28.5344886749,66.695609213772,69.51,4303404700.53,66.400251002523
002605.SZ,002605,1046,10168227,姚记科技,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-28 00:00:00,2026-06-30 00:00:00,216133877.3,1322169599.86,1057377257.35,-6.3333655334,781339954.33,781339954.33,-1.8480095108,70958898,101845936.49,26882050.12,279987990.7,262262740.73,35009855.44,,,,,,10616056.91,,,,,,,,,-8.0700189871,-10.752314223555,-15.51,223344764.14,-12.203518155514
300494.SZ,300494,1046,10362228,盛天网络,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-27 00:00:00,2026-06-30 00:00:00,-118532388,563808352.3,570838520.9,-0.1358166647,482740601.22,482740601.22,-2.8604649284,25272692.23,33791677.5,963555.72,-118111620.39,-118260966.65,271421.35,,,,,,1372807.89,,,,,,,,,-10.87,-287.257538845291,-326.62,-121145220.36,-341.908713125046
300459.SZ,300459,1046,10187005,汤姆猫,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-27 00:00:00,2026-06-30 00:00:00,51590739.58,447483894.49,378159789.94,-20.52557103,57911835.88,57911835.88,-6.7022758994,90632576.91,118515112.19,30912980.03,74196823.89,74110501.57,23930475.81,,,,,,1828653.13,,,,,,,,,-3.3229921948,521.500629059526,270.12,51087841.77,264.569303416917
301011.SZ,301011,1266,10490675,华立科技,文娱用品,,058001001,069001002002,002,001,2,2026-08-27 00:00:00,2026-06-30 00:00:00,-108869452.3,333894046.57,357528855.14,-16.4042399888,270450452.31,270450452.31,-20.1261307256,29921416.11,28848291.33,4028578.09,-124613351.93,-125579542.56,-16606797.4,,,,,,2051351.09,,,,,,,,,-30.5866556879,-375.995611934431,-411.24,-106283913.4,-400.506244381865
600892.SH,600892,1046,10004063,大晟文化,游戏Ⅱ,shzb,058001001,069001001001,002,001,2,2026-08-27 00:00:00,2026-06-30 00:00:00,-38851448.96,153886970.15,198607528.22,34.897930693,39306992.51,39306992.51,20.2670147125,105257698.35,28432559.84,4113858.07,-44657537.14,-44669137.36,2838218.46,,,,,,381735.82,,,,,,,,,41.4680289571,-15.016940553765,-15.192479426189,-39649131.84,-18.361115218309
